"User ID","Value","Gene Name","Species"
"AARD","","alanine and arginine rich domain containing protein(AARD)","Homo sapiens"
"ABHD14A","","abhydrolase domain containing 14A(ABHD14A)","Homo sapiens"
"ABHD14B","","abhydrolase domain containing 14B(ABHD14B)","Homo sapiens"
"ABL2","","ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)","Homo sapiens"
"ACAA1","","acetyl-CoA acyltransferase 1(ACAA1)","Homo sapiens"
"ACAT2","","acetyl-CoA acetyltransferase 2(ACAT2)","Homo sapiens"
"ADAMTS9","","ADAM metallopeptidase with thrombospondin type 1 motif 9(ADAMTS9)","Homo sapiens"
"ADCK2","","aarF domain containing kinase 2(ADCK2)","Homo sapiens"
"ADGRE5","","adhesion G protein-coupled receptor E5(ADGRE5)","Homo sapiens"
"ADGRG3","","adhesion G protein-coupled receptor G3(ADGRG3)","Homo sapiens"
"AFF4","","ALF transcription elongation factor 4(AFF4)","Homo sapiens"
"AGER","","advanced glycosylation end-product specific receptor(AGER)","Homo sapiens"
"AGPAT4","","1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)","Homo sapiens"
"AIMP1","","aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)","Homo sapiens"
"AKR1B10","","aldo-keto reductase family 1 member B10(AKR1B10)","Homo sapiens"
"ALDH5A1","","aldehyde dehydrogenase 5 family member A1(ALDH5A1)","Homo sapiens"
"ALG3","","ALG3 alpha-1,3- mannosyltransferase(ALG3)","Homo sapiens"
"ALKAL1","","ALK and LTK ligand 1(ALKAL1)","Homo sapiens"
"ANGPTL1","","angiopoietin like 1(ANGPTL1)","Homo sapiens"
"ANKDD1A","","ankyrin repeat and death domain containing 1A(ANKDD1A)","Homo sapiens"
"ANKRD29","","ankyrin repeat domain 29(ANKRD29)","Homo sapiens"
"ANKRD37","","ankyrin repeat domain 37(ANKRD37)","Homo sapiens"
"ANXA2R","","annexin A2 receptor(ANXA2R)","Homo sapiens"
"APOE","","apolipoprotein E(APOE)","Homo sapiens"
"APPBP2","","amyloid beta precursor protein binding protein 2(APPBP2)","Homo sapiens"
"AQP5","","aquaporin 5(AQP5)","Homo sapiens"
"ARG2","","arginase 2(ARG2)","Homo sapiens"
"ARL5B","","ARF like GTPase 5B(ARL5B)","Homo sapiens"
"ARMC1","","armadillo repeat containing 1(ARMC1)","Homo sapiens"
"ARRDC2","","arrestin domain containing 2(ARRDC2)","Homo sapiens"
"ARSK","","arylsulfatase family member K(ARSK)","Homo sapiens"
"ATF3","","activating transcription factor 3(ATF3)","Homo sapiens"
"ATG101","","autophagy related 101(ATG101)","Homo sapiens"
"ATOH8","","atonal bHLH transcription factor 8(ATOH8)","Homo sapiens"
"ATP10A","","ATPase phospholipid transporting 10A (putative)(ATP10A)","Homo sapiens"
"ATP10D","","ATPase phospholipid transporting 10D (putative)(ATP10D)","Homo sapiens"
"ATP5PD","","ATP synthase peripheral stalk subunit d(ATP5PD)","Homo sapiens"
"ATP5PO","","ATP synthase peripheral stalk subunit OSCP(ATP5PO)","Homo sapiens"
"ATP6V0A2","","ATPase H+ transporting V0 subunit a2(ATP6V0A2)","Homo sapiens"
"ATXN7L3B","","ataxin 7 like 3B(ATXN7L3B)","Homo sapiens"
"AUH","","AU RNA binding methylglutaconyl-CoA hydratase(AUH)","Homo sapiens"
"BAG3","","BAG cochaperone 3(BAG3)","Homo sapiens"
"BBC3","","BCL2 binding component 3(BBC3)","Homo sapiens"
"BCAM","","basal cell adhesion molecule (Lutheran blood group)(BCAM)","Homo sapiens"
"BCCIP","","BRCA2 and CDKN1A interacting protein(BCCIP)","Homo sapiens"
"BCL2L11","","BCL2 like 11(BCL2L11)","Homo sapiens"
"BEX4","","brain expressed X-linked 4(BEX4)","Homo sapiens"
"BLK","","BLK proto-oncogene, Src family tyrosine kinase(BLK)","Homo sapiens"
"BST2","","bone marrow stromal cell antigen 2(BST2)","Homo sapiens"
"BTG2","","BTG anti-proliferation factor 2(BTG2)","Homo sapiens"
"C11orf24","","chromosome 11 open reading frame 24(C11orf24)","Homo sapiens"
"C17orf67","","chromosome 17 open reading frame 67(C17orf67)","Homo sapiens"
"C1QA","","complement C1q A chain(C1QA)","Homo sapiens"
"C2CD4B","","C2 calcium dependent domain containing 4B(C2CD4B)","Homo sapiens"
"C5orf63","","chromosome 5 open reading frame 63(C5orf63)","Homo sapiens"
"CADPS","","calcium dependent secretion activator(CADPS)","Homo sapiens"
"CAVIN2","","caveolae associated protein 2(CAVIN2)","Homo sapiens"
"CCDC122","","coiled-coil domain containing 122(CCDC122)","Homo sapiens"
"CCDC14","","coiled-coil domain containing 14(CCDC14)","Homo sapiens"
