"GO_Terms","n","mean_logFC","Direction"
"ncRNA processing",34,0.372782697915302,"Up in Old"
"chromosome segregation",30,0.404303763810345,"Up in Old"
"nucleobase-containing compound catabolic process",29,0.388352533797038,"Up in Old"
"cilium organization",28,0.854775650147516,"Up in Old"
"cellular component disassembly",27,0.308347335701501,"Up in Old"
"establishment of protein localization to organelle",27,0.357750537949352,"Up in Old"
"cilium assembly",26,0.850328129200773,"Up in Old"
"non-membrane-bounded organelle assembly",26,0.24216846851745,"Up in Old"
"positive regulation of cellular catabolic process",26,0.432514708669695,"Up in Old"
"regulation of DNA-binding transcription factor activity",26,-0.0743741304275359,"Down in Old"
"positive regulation of protein localization",24,0.561933833084807,"Up in Old"
"response to oxidative stress",24,0.435074631333156,"Up in Old"
"ribosome biogenesis",24,0.300402488963473,"Up in Old"
"DNA replication",23,0.605315387716438,"Up in Old"
"RNA splicing",23,0.431475184398898,"Up in Old"
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",23,-0.766170368876378,"Down in Old"
"leukocyte cell-cell adhesion",23,-0.171975939375919,"Down in Old"
"leukocyte mediated immunity",23,-0.874594010333042,"Down in Old"
"lipid transport",23,0.419258170642569,"Up in Old"
"negative regulation of cell cycle",23,0.337362575329704,"Up in Old"
"positive regulation of DNA-binding transcription factor activity",23,-0.151399951735165,"Down in Old"
"positive regulation of cell adhesion",23,-0.1848604220433,"Down in Old"
"rRNA metabolic process",23,0.377680754629277,"Up in Old"
"Wnt signaling pathway",22,0.455748260894186,"Up in Old"
"cell-cell signaling by wnt",22,0.455748260894186,"Up in Old"
"mitotic cell cycle phase transition",22,0.722539044398308,"Up in Old"
"positive regulation of cell activation",22,-0.0249056770198996,"Down in Old"
"positive regulation of cell development",22,0.12575026040689,"Up in Old"
"positive regulation of leukocyte activation",22,-0.0249056770198996,"Down in Old"
"positive regulation of proteolysis",22,0.26156364539651,"Up in Old"
