"KEGG_Pathways","n","mean_logFC","Direction"
"Pathways of neurodegeneration - multiple diseases",26,0.0940868564922029,"Up in Old"
"Alzheimer disease",22,0.281811219503565,"Up in Old"
"Human papillomavirus infection",17,0.197777759694375,"Up in Old"
"Lipid and atherosclerosis",17,-0.0754095156179226,"Down in Old"
"Efferocytosis",16,-0.425129154533095,"Down in Old"
"Human T-cell leukemia virus 1 infection",16,0.465953783885639,"Up in Old"
"Diabetic cardiomyopathy",15,-0.0428283818027359,"Down in Old"
"PI3K-Akt signaling pathway",15,0.209987419959491,"Up in Old"
"AMPK signaling pathway",13,0.284328402264988,"Up in Old"
"Alcoholic liver disease",13,0.0387835990418236,"Up in Old"
"Amyotrophic lateral sclerosis",13,0.0723520578786095,"Up in Old"
"Apoptosis",13,0.550561342363024,"Up in Old"
"Huntington disease",13,0.573676963128457,"Up in Old"
"cAMP signaling pathway",13,0.671551305639263,"Up in Old"
"AGE-RAGE signaling pathway in diabetic complications",12,-0.0742829155768613,"Down in Old"
"Autophagy - animal",12,0.480466246634172,"Up in Old"
"Epstein-Barr virus infection",12,0.278628867010763,"Up in Old"
"IgSF CAM signaling",12,0.332229745762648,"Up in Old"
"Shigellosis",12,0.388257250970133,"Up in Old"
"T cell receptor signaling pathway",12,-0.133357395688608,"Down in Old"
"Adrenergic signaling in cardiomyocytes",11,-0.446255349311229,"Down in Old"
"Cushing syndrome",11,0.903645657406534,"Up in Old"
"MAPK signaling pathway",11,0.016859450414608,"Up in Old"
"Cytoskeleton in muscle cells",10,-0.509050048026988,"Down in Old"
"Hepatitis B",10,0.686773633156931,"Up in Old"
"Herpes simplex virus 1 infection",10,0.243196068994806,"Up in Old"
"Salmonella infection",10,0.769764863136935,"Up in Old"
"TNF signaling pathway",10,-0.00311699523471651,"Down in Old"
"Thermogenesis",10,0.420841944404511,"Up in Old"
"ATP-dependent chromatin remodeling",9,0.488629622873204,"Up in Old"
