"KEGG_Pathways","n","Proportion","Percentage"
"Pathways of neurodegeneration - multiple diseases",414,0.0218,"2.2%"
"Alzheimer disease",331,0.0174,"1.7%"
"Amyotrophic lateral sclerosis",322,0.017,"1.7%"
"PI3K-Akt signaling pathway",296,0.0156,"1.6%"
"Human papillomavirus infection",282,0.0149,"1.5%"
"Huntington disease",270,0.0142,"1.4%"
"IgSF CAM signaling",269,0.0142,"1.4%"
"MAPK signaling pathway",259,0.0137,"1.4%"
"Lysosome biogenesis",238,0.0125,"1.2%"
"Endocytosis",233,0.0123,"1.2%"
"Prion disease",232,0.0122,"1.2%"
"Salmonella infection",231,0.0122,"1.2%"
"Parkinson disease",227,0.012,"1.2%"
"Shigellosis",221,0.0116,"1.2%"
"Ras signaling pathway",205,0.0108,"1.1%"
"Thermogenesis",202,0.0106,"1.1%"
"Regulation of actin cytoskeleton",201,0.0106,"1.1%"
"Coronavirus disease - COVID-19",199,0.0105,"1%"
"Human T-cell leukemia virus 1 infection",196,0.0103,"1%"
"Chemical carcinogenesis - reactive oxygen species",194,0.0102,"1%"
"Cytoskeleton in muscle cells",194,0.0102,"1%"
"Calcium signaling pathway",192,0.0101,"1%"
"Human cytomegalovirus infection",192,0.0101,"1%"
"Rap1 signaling pathway",188,0.0099,"1%"
"Focal adhesion",187,0.0099,"1%"
"Human immunodeficiency virus 1 infection",184,0.0097,"1%"
"Lipid and atherosclerosis",182,0.0096,"1%"
"Proteoglycans in cancer",179,0.0094,"0.9%"
"Pathogenic Escherichia coli infection",177,0.0093,"0.9%"
"Diabetic cardiomyopathy",176,0.0093,"0.9%"
