"GeneType","n","Proportion","Percentage"
"protein_coding",16610,0.769,"76.9%"
"lncRNA",2008,0.093,"9.3%"
NA,1443,0.0668,"6.7%"
"rRNA",629,0.0291,"2.9%"
"processed_pseudogene",308,0.0143,"1.4%"
"transcribed_unprocessed_pseudogene",272,0.0126,"1.3%"
"snRNA",65,0.003,"0.3%"
"transcribed_processed_pseudogene",62,0.0029,"0.3%"
"transcribed_unitary_pseudogene",46,0.0021,"0.2%"
"IG_V_gene",42,0.0019,"0.2%"
"unprocessed_pseudogene",22,0.001,"0.1%"
"IG_C_gene",20,9e-04,"0.1%"
"Mt_tRNA",17,8e-04,"0.1%"
"miRNA",15,7e-04,"0.1%"
"snoRNA",9,4e-04,"0%"
"TR_V_gene",8,4e-04,"0%"
"TR_C_gene",6,3e-04,"0%"
"misc_RNA",3,1e-04,"0%"
"rRNA_pseudogene",3,1e-04,"0%"
"ribozyme",3,1e-04,"0%"
"IG_C_pseudogene",2,1e-04,"0%"
"Mt_rRNA",2,1e-04,"0%"
"vault_RNA",2,1e-04,"0%"
"TR_V_pseudogene",1,0,"0%"
"translated_processed_pseudogene",1,0,"0%"
