"Gene","logFC","FDR","Description","GeneType"
"ENSG00000276850",-3.00116636388579,0.00912135148152909,NA,NA
"PGGHG",-1.80909830531007,0.0676202869655703,"protein-glucosylgalactosylhydroxylysine glucosidase","protein_coding"
"THUMPD3",1.13819712994531,0.0982040683510769,"THUMP domain 3 tRNA guanosine methyltransferase","protein_coding"
"ENSG00000275234",-2.59498236894169,0.0982040683510769,NA,NA
"IKZF4",-1.54388262121411,0.0982040683510769,"IKAROS family zinc finger 4","protein_coding"
"ENSG00000278291",-2.50641192422895,0.0982040683510769,NA,NA
"FAM210A",1.15639962428973,0.146454080075748,"family with sequence similarity 210 member A","protein_coding"
"SPATA6",1.44677853739109,0.150428641239989,"spermatogenesis associated 6","protein_coding"
"ANKRD37",1.44930479058722,0.220305082116957,"ankyrin repeat domain 37","protein_coding"
"TRIM52",1.1887856529593,0.220305082116957,"tripartite motif containing 52","protein_coding"
"CCDC122",1.28381410835503,0.298946475763361,"coiled-coil domain containing 122","protein_coding"
"SLFN13",1.50080430282026,0.298946475763361,"schlafen family member 13","protein_coding"
"CCDC9B",-1.55477966247806,0.308850867304643,"coiled-coil domain containing 9B","protein_coding"
"ENSG00000273748",1.87974502406243,0.308850867304643,NA,NA
"NOP2",1.15558571499336,0.308850867304643,"NOP2 nucleolar protein","protein_coding"
"CSPG5",-1.93292138224909,0.308850867304643,"chondroitin sulfate proteoglycan 5","protein_coding"
"ANXA2R",1.64211399292462,0.308850867304643,"annexin A2 receptor","protein_coding"
"MTCL3",-2.45593701536442,0.308850867304643,"MTCL family member 3","protein_coding"
"MISP3",-2.00197106134939,0.308850867304643,"MISP family member 3","protein_coding"
"MISP3",-2.00197106134939,0.308850867304643,"MISP family member 3","protein_coding"
"NTM",-2.32514233227663,0.313734917296153,"neurotrimin","protein_coding"
"WAC-AS1",1.08565781844506,0.313734917296153,"WAC antisense RNA 1 (head to head)","lncRNA"
"ENSG00000272501",1.65740994142398,0.313734917296153,NA,NA
"PLEKHO2",-1.77719300952791,0.313734917296153,"pleckstrin homology domain containing O2","protein_coding"
"MTRF1L",0.976566715259501,0.37229403449216,"mitochondrial translation release factor 1 like","protein_coding"
"SLC7A6OS",1.01259653051418,0.37229403449216,"solute carrier family 7 member 6 opposite strand","protein_coding"
"VRK1",1.04530111186418,0.37229403449216,"VRK serine/threonine kinase 1","protein_coding"
"ELP6",0.937448566447086,0.390471436179916,"elongator acetyltransferase complex subunit 6","protein_coding"
"LMNTD2-AS1",-1.64942597364678,0.443154192757671,"LMNTD2 antisense RNA 1","lncRNA"
"LMNTD2-AS1",-1.64942597364678,0.443154192757671,"LMNTD2 antisense RNA 1","lncRNA"
"CRYBB2",-2.33924209515852,0.443154192757671,"crystallin beta B2","protein_coding"
"C18orf21",0.933001062544874,0.445360699024238,"chromosome 18 open reading frame 21","protein_coding"
"ING1",1.02083777210611,0.453656640604653,"inhibitor of growth family member 1","protein_coding"
"TMEM191B",-1.63497251140393,0.453656640604653,"transmembrane protein 191B","protein_coding"
"ATF7IP2",1.16767309070861,0.475957497282881,"activating transcription factor 7 interacting protein 2","protein_coding"
"LINC02967",-2.09632591868077,0.475957497282881,"long intergenic non-protein coding RNA 2967","lncRNA"
"HCCS",0.898040824421678,0.496930814824422,"holocytochrome c synthase","protein_coding"
"PODXL2",-1.35567025240912,0.523807785662265,"podocalyxin like 2","protein_coding"
"ZNF442",1.43330579270486,0.560407609699019,"zinc finger protein 442","protein_coding"
"NETO2",1.60082652810005,0.560407609699019,"neuropilin and tolloid like 2","protein_coding"
"NUTM2A-AS1",1.06385080238495,0.615332967823742,"NUTM2A antisense RNA 1","lncRNA"
"ZNF136",0.945303932728255,0.630811990523603,"zinc finger protein 136","protein_coding"
