"CellType","n_genes"
"AT1",20
"AT2",20
"B_cell_lineage",20
"Basal",20
"Dendritic_cells",20
"EC_arterial",20
"EC_capillary",20
"EC_venous",20
"Fibroblasts",20
"Innate_lymphoid_cell_NK",20
"Lymphatic_EC_differentiating",20
"Lymphatic_EC_mature",20
"Macrophages",20
"Mast_cells",20
"Monocytes",20
"Multiciliated_lineage",20
"Myofibroblasts",20
"Rare",20
"SM_activated_stress_response",20
"Secretory",20
"Smooth_muscle_FAM83D_",20
"Submucosal_Secretory",20
"T_cell_lineage",20
"Unknown_Endothelial",20
"Unknown_Epithelial",20
"Unknown_Immune",20
"Unknown_Stroma",20
"Unknown_Unknown",20
"global_age",20
"significant_genes",1
