"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"SYNPO",-1.03092067075696,0.0912272066412865,5.25593170716636e-06,"synaptopodin",1,"Tight junction",14,"actin filament organization; regulation of supramolecular fiber organization; regulation of actin filament-based process; regulation of actin cytoskeleton organization; regulation of actin filament organization; positive regulation of cytoskeleton organization; positive regulation of supramolecular fiber organization; synapse organization; actin filament bundle assembly; actin filament bundle organization; regulation of actin filament bundle assembly; positive regulation of actin filament bundle assembly; modification of synaptic structure; modification of postsynaptic structure"
"CLIC5",-1.35929439253917,0.102272653183472,1.17846002400728e-05,"chloride intracellular channel 5",0,"No KEGG pathway",3,"sensory perception of sound; sensory perception of mechanical stimulus; female pregnancy"
"PTCHD4",2.43381515337359,0.125511990117007,2.16936089388156e-05,"patched domain containing 4",0,"No KEGG pathway",0,"No GO term"
"CXCL3",-1.93761273156182,0.360833197270292,8.31556599113422e-05,"C-X-C motif chemokine ligand 3",13,"TNF signaling pathway; NF-kappa B signaling pathway; Chemokine signaling pathway; Amoebiasis; Epithelial cell signaling in Helicobacter pylori infection; Kaposi sarcoma-associated herpesvirus infection; Lipid and atherosclerosis; IL-17 signaling pathway; Legionellosis; NOD-like receptor signaling pathway; Viral protein interaction with cytokine and cytokine receptor; Alcoholic liver disease; Rheumatoid arthritis",18,"leukocyte migration; chemotaxis; taxis; leukocyte chemotaxis; myeloid leukocyte migration; response to lipopolysaccharide; neutrophil migration; cell chemotaxis; response to molecule of bacterial origin; granulocyte migration; granulocyte chemotaxis; neutrophil chemotaxis; cellular response to biotic stimulus; response to chemokine; cellular response to chemokine; cellular response to lipopolysaccharide; cellular response to molecule of bacterial origin; chemokine-mediated signaling pathway"
"MPV17L2",0.769417027137948,0.374770718816046,0.00010795953183616,"MPV17 mitochondrial inner membrane protein like 2",1,"Peroxisome",16,"ribosome biogenesis; mitochondrial gene expression; mitochondrial translation; non-membrane-bounded organelle assembly; response to oxidative stress; cellular response to chemical stress; cellular response to oxidative stress; positive regulation of amide metabolic process; positive regulation of translation; response to reactive oxygen species; cellular response to reactive oxygen species; regulation of mitochondrial gene expression; regulation of mitochondrial translation; ribosome assembly; positive regulation of mitochondrial translation; mitochondrial ribosome assembly"
"WTIP",-1.19430406344535,0.473789095194495,0.000163780294472949,"WT1 interacting protein",2,"Hippo signaling pathway; Hippo signaling pathway - multiple species",14,"regulation of cell morphogenesis; response to oxygen levels; response to decreased oxygen levels; response to hypoxia; hippo signaling; regulation of gene silencing by regulatory ncRNA; regulation of post-transcriptional gene silencing; regulation of post-transcriptional gene silencing by regulatory ncRNA; positive regulation of post-transcriptional gene silencing; positive regulation of post-transcriptional gene silencing by RNA; positive regulation of miRNA-mediated gene silencing; regulation of miRNA-mediated gene silencing; regulation of hippo signaling; negative regulation of hippo signaling"
"EMC9",0.856169271859446,0.536911466306394,0.000288802099965336,"ER membrane protein complex subunit 9",0,"No KEGG pathway",6,"establishment of protein localization to membrane; endoplasmic reticulum organization; protein insertion into membrane; protein insertion into ER membrane; tail-anchored membrane protein insertion into ER membrane; protein insertion into ER membrane by stop-transfer membrane-anchor sequence"
"EMC9",0.856169271859446,0.536911466306394,0.000288802099965336,"ER membrane protein complex subunit 9",0,"No KEGG pathway",6,"establishment of protein localization to membrane; endoplasmic reticulum organization; protein insertion into membrane; protein insertion into ER membrane; tail-anchored membrane protein insertion into ER membrane; protein insertion into ER membrane by stop-transfer membrane-anchor sequence"
"RANGRF",0.796110967192255,0.536911466306394,0.000327255923877657,"RAN guanine nucleotide release factor",0,"No KEGG pathway",45,"small GTPase mediated signal transduction; establishment of protein localization to organelle; positive regulation of protein localization; Ras protein signal transduction; regulation of protein-containing complex assembly; protein localization to nucleus; Golgi vesicle transport; nucleocytoplasmic transport; nuclear transport; protein localization to cell periphery; protein localization to plasma membrane; protein polymerization; regulation of supramolecular fiber organization; regulation of actin filament-based process; regulation of protein polymerization; regulation of microtubule-based process; import into nucleus; protein import into nucleus; regulation of microtubule cytoskeleton organization; regulation of protein localization to membrane; regulation of protein localization to cell periphery; positive regulation of protein localization to membrane; endoplasmic reticulum to Golgi vesicle-mediated transport; regulation of protein localization to plasma membrane; microtubule polymerization or depolymerization; positive regulation of protein localization to cell periphery; microtubule polymerization; positive regulation of protein localization to plasma membrane; microtubule nucleation; protein localization to cell surface; regulation of microtubule polymerization or depolymerization; regulation of microtubule polymerization; protein exit from endoplasmic reticulum; actin filament-based movement; regulation of protein localization to cell surface; regulation of cardiac muscle cell action potential; regulation of microtubule nucleation; regulation of sodium ion transport; cardiac muscle cell contraction; regulation of actin filament-based movement; regulation of cardiac muscle cell contraction; regulation of sodium ion transmembrane transport; actin-mediated cell contraction; heart process; regulation of metal ion transport"
"PPP1R1B",1.22850801666172,0.536911466306394,0.000335753581502328,"protein phosphatase 1 regulatory inhibitor subunit 1B",4,"Dopaminergic synapse; Amphetamine addiction; cAMP signaling pathway; Cocaine addiction",24,"negative regulation of protein modification process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dephosphorylation; response to radiation; protein dephosphorylation; response to light stimulus; regulation of dephosphorylation; regulation of protein dephosphorylation; negative regulation of catalytic activity; regulation of phosphoprotein phosphatase activity; cellular response to salt; regulation of phosphatase activity; negative regulation of dephosphorylation; response to salt; negative regulation of phosphatase activity; learning; negative regulation of protein dephosphorylation; learning or memory; cognition; negative regulation of phosphoprotein phosphatase activity; response to amine; cellular response to alkaloid; locomotory behavior"
