"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"CD70",1.51441224195565,0.99918919985513,0.00109671456037459,"CD70 molecule",0,"No KEGG pathway",32,"positive regulation of cell adhesion; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; positive regulation of cell activation; regulation of cell-cell adhesion; regulation of T cell activation; extrinsic apoptotic signaling pathway; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; positive regulation of leukocyte cell-cell adhesion; regulation of leukocyte cell-cell adhesion; positive regulation of T cell activation; B cell activation; T cell proliferation; regulation of leukocyte proliferation; regulation of lymphocyte proliferation; regulation of mononuclear cell proliferation; response to tumor necrosis factor; leukocyte proliferation; mononuclear cell proliferation; positive regulation of mononuclear cell proliferation; regulation of T cell proliferation; lymphocyte proliferation; positive regulation of leukocyte proliferation; positive regulation of lymphocyte proliferation; cellular response to tumor necrosis factor; positive regulation of T cell proliferation; leukocyte mediated immunity; T cell mediated immunity; tumor necrosis factor-mediated signaling pathway; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; lymphocyte mediated immunity"
"APPBP2",1.36361439731145,0.99918919985513,0.000911777068332166,"amyloid beta precursor protein binding protein 2",0,"No KEGG pathway",1,"proteasome-mediated ubiquitin-dependent protein catabolic process"
"ENSG00000283765",1.2047767410216,0.99918919985513,0.00171361569151688,NA,0,"No KEGG pathway",0,"No GO term"
"ATP10D",1.33563352688121,0.99918919985513,0.00154867834220967,"ATPase phospholipid transporting 10D (putative)",0,"No KEGG pathway",6,"regulation of membrane lipid distribution; phospholipid transport; organophosphate ester transport; lipid translocation; phospholipid translocation; lipid transport"
"SNN",1.44564106516036,0.99918919985513,0.00178687366462385,"stannin",0,"No KEGG pathway",1,"response to toxic substance"
"BEX4",1.22189285283282,0.99918919985513,0.00209440439133606,"brain expressed X-linked 4",0,"No KEGG pathway",14,"chromosome segregation; regulation of post-translational protein modification; regulation of protein modification by small protein conjugation or removal; negative regulation of protein modification process; regulation of protein ubiquitination; protein deacylation; protein deacetylation; macromolecule deacylation; regulation of protein deacetylation; tubulin deacetylation; negative regulation of protein ubiquitination; negative regulation of post-translational protein modification; regulation of tubulin deacetylation; negative regulation of protein modification by small protein conjugation or removal"
"SYNCRIP",-1.0628008329329,0.99918919985513,0.00221720949934982,"synaptotagmin binding cytoplasmic RNA interacting protein",0,"No KEGG pathway",25,"RNA splicing; cytoplasmic translation; nuclear-transcribed mRNA catabolic process; negative regulation of catabolic process; positive regulation of amide metabolic process; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; positive regulation of translation; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; negative regulation of cellular catabolic process; response to type II interferon; ossification; nucleobase-containing compound catabolic process; cellular response to type II interferon; negative regulation of mRNA metabolic process; osteoblast differentiation; regulation of cytoplasmic translation; positive regulation of cellular catabolic process; negative regulation of RNA catabolic process; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; CRD-mediated mRNA stabilization; negative regulation of mRNA catabolic process; RNA stabilization"
"SLC38A1",-1.24658276644886,0.99918919985513,0.00242979198604833,"solute carrier family 38 member 1",2,"Glutamatergic synapse; GABAergic synapse",18,"amino acid metabolic process; regulation of trans-synaptic signaling; modulation of chemical synaptic transmission; alpha-amino acid metabolic process; vascular process in circulatory system; regulation of neurotransmitter levels; organic acid biosynthetic process; vascular transport; transport across blood-brain barrier; glutamine metabolic process; carboxylic acid biosynthetic process; amino acid biosynthetic process; glutamine family amino acid metabolic process; positive regulation of transmembrane transport; neurotransmitter transport; organic acid transmembrane transport; carboxylic acid transmembrane transport; female pregnancy"
"ACAT2",1.23065210215318,0.99918919985513,0.00208708905519771,"acetyl-CoA acetyltransferase 2",10,"Lysine degradation; Fatty acid metabolism; Valine, leucine and isoleucine degradation; Fatty acid degradation; Carbon metabolism; Terpenoid backbone biosynthesis; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Tryptophan metabolism",12,"small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; fatty acid beta-oxidation; fatty acid oxidation; fatty acid catabolic process; monocarboxylic acid catabolic process; lipid oxidation; cellular lipid catabolic process; lipid modification; fatty acid metabolic process; lipid catabolic process"
"ST8SIA4",-1.27160961557281,0.99918919985513,0.00177515033450169,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",0,"No KEGG pathway",15,"glycosylation; protein glycosylation; macromolecule glycosylation; glycoprotein metabolic process; glycoprotein biosynthetic process; membrane lipid metabolic process; membrane lipid biosynthetic process; sphingolipid metabolic process; sphingolipid biosynthetic process; liposaccharide metabolic process; glycolipid metabolic process; ceramide metabolic process; glycolipid biosynthetic process; N-glycan processing; ceramide biosynthetic process"
"NPIPB4",-1.95487084260357,0.99918919985513,0.00038258345487578,"nuclear pore complex interacting protein family member B4",0,"No KEGG pathway",0,"No GO term"
"NPIPB4",-1.95487084260357,0.99918919985513,0.00038258345487578,"nuclear pore complex interacting protein family member B4",0,"No KEGG pathway",0,"No GO term"
"TXNDC12",1.03558086109258,0.99918919985513,0.00423558914164496,"thioredoxin domain containing 12",1,"Glutathione metabolism",11,"response to endoplasmic reticulum stress; intrinsic apoptotic signaling pathway; regulation of apoptotic signaling pathway; regulation of response to endoplasmic reticulum stress; regulation of intrinsic apoptotic signaling pathway; negative regulation of apoptotic signaling pathway; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; negative regulation of intrinsic apoptotic signaling pathway; negative regulation of response to endoplasmic reticulum stress; regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway"
"HAT1",-1.16327116506147,0.99918919985513,0.00252788418672979,"histone acetyltransferase 1",0,"No KEGG pathway",9,"protein acylation; epigenetic regulation of gene expression; protein acetylation; telomere organization; negative regulation of gene expression, epigenetic; internal protein amino acid acetylation; heterochromatin organization; heterochromatin formation; constitutive heterochromatin formation"
"HAT1",-1.16327116506147,0.99918919985513,0.00252788418672979,"histone acetyltransferase 1",0,"No KEGG pathway",9,"protein acylation; epigenetic regulation of gene expression; protein acetylation; telomere organization; negative regulation of gene expression, epigenetic; internal protein amino acid acetylation; heterochromatin organization; heterochromatin formation; constitutive heterochromatin formation"
"L3MBTL2",1.46835196932847,0.99918919985513,0.00235461369709666,"L3MBTL histone methyl-lysine binding protein 2",1,"Polycomb repressive complex",0,"No GO term"
"ABHD14B",1.08838845544739,0.99918919985513,0.00527965692016061,"abhydrolase domain containing 14B",0,"No KEGG pathway",11,"ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; sulfur compound metabolic process; purine-containing compound metabolic process; purine ribonucleotide metabolic process; nucleoside bisphosphate metabolic process; ribonucleoside bisphosphate metabolic process; purine nucleoside bisphosphate metabolic process; purine ribonucleoside bisphosphate metabolic process; 3'-phosphoadenosine 5'-phosphosulfate metabolic process"
