"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"PWP2",2.86530847601121,0.56561614793722,3.45836837625937e-05,"PWP2 small subunit processome component",0,"No KEGG pathway",12,"ncRNA processing; ribosome biogenesis; rRNA metabolic process; rRNA processing; non-membrane-bounded organelle assembly; ribosomal small subunit biogenesis; maturation of SSU-rRNA; protein-RNA complex organization; ribosome assembly; protein-RNA complex assembly; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); ribosomal small subunit assembly"
"PGAM1",1.19754549942388,0.999822307017747,0.000538515882867528,"phosphoglycerate mutase 1",6,"Carbon metabolism; Central carbon metabolism in cancer; Biosynthesis of amino acids; Glucagon signaling pathway; Glycine, serine and threonine metabolism; Glycolysis / Gluconeogenesis",31,"purine nucleotide metabolic process; purine-containing compound metabolic process; small molecule catabolic process; monosaccharide metabolic process; hexose metabolic process; regulation of carbohydrate metabolic process; regulation of generation of precursor metabolites and energy; carbohydrate biosynthetic process; glucose metabolic process; regulation of small molecule metabolic process; pyridine-containing compound metabolic process; pyridine nucleotide metabolic process; nicotinamide nucleotide metabolic process; carbohydrate catabolic process; NADP metabolic process; pyruvate metabolic process; monosaccharide biosynthetic process; respiratory burst; regulation of carbohydrate catabolic process; NADPH regeneration; glycolytic process; hexose biosynthetic process; regulation of glycolytic process; monosaccharide catabolic process; gluconeogenesis; pentose-phosphate shunt; regulation of nucleotide metabolic process; hexose catabolic process; regulation of purine nucleotide metabolic process; glucose 6-phosphate metabolic process; glycolytic process through glucose-6-phosphate"
"MEMO1",1.08289825314404,0.999822307017747,0.000297387197326682,"mediator of cell motility 1",0,"No KEGG pathway",1,"regulation of microtubule-based process"
"PSEN1",-0.848557405331131,0.999822307017747,0.000530510363250506,"presenilin 1",6,"Pathways of neurodegeneration - multiple diseases; Neurotrophin signaling pathway; Alzheimer disease; Human papillomavirus infection; Wnt signaling pathway; Notch signaling pathway",224,"proteasome-mediated ubiquitin-dependent protein catabolic process; establishment of organelle localization; macroautophagy; establishment of protein localization to organelle; positive regulation of protein localization; regulation of protein catabolic process; protein localization to nucleus; nucleocytoplasmic transport; nuclear transport; vesicle localization; regulation of intracellular transport; establishment of vesicle localization; immune response-regulating signaling pathway; regulation of supramolecular fiber organization; immune response-activating signaling pathway; vacuole organization; positive regulation of proteolysis; negative regulation of protein modification process; exocytosis; positive regulation of protein catabolic process; positive regulation of establishment of protein localization; regulation of binding; regulation of proteolysis involved in protein catabolic process; positive regulation of intracellular transport; regulation of intracellular protein transport; positive regulation of protein transport; regulation of proteasomal protein catabolic process; regulation of neuron projection development; immune response-regulating cell surface receptor signaling pathway; mononuclear cell differentiation; immune response-activating cell surface receptor signaling pathway; import into nucleus; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; cell-cell signaling by wnt; regulation of protein localization to nucleus; response to oxidative stress; Wnt signaling pathway; negative regulation of phosphorylation; protein import into nucleus; regulation of ubiquitin-dependent protein catabolic process; regulation of apoptotic signaling pathway; positive regulation of intracellular protein transport; negative regulation of protein phosphorylation; synaptic vesicle cycle; vesicle-mediated transport in synapse; regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of binding; antigen receptor-mediated signaling pathway; positive regulation of supramolecular fiber organization; negative regulation of catabolic process; epithelial tube morphogenesis; regulation of Wnt signaling pathway; neural tube development; positive regulation of proteasomal protein catabolic process; regulation of protein binding; regulation of nucleocytoplasmic transport; autophagosome organization; myeloid leukocyte activation; autophagosome assembly; positive regulation of proteolysis involved in protein catabolic process; vesicle targeting; positive regulation of cytokine production; exocytic process; mitochondrial transport; hematopoietic progenitor cell differentiation; positive regulation of ubiquitin-dependent protein catabolic process; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; dendrite development; regulated exocytosis; maintenance of location; canonical Wnt signaling pathway; cell activation involved in immune response; immune system development; T cell receptor signaling pathway; negative regulation of cell projection organization; regulation of canonical Wnt signaling pathway; leukocyte activation involved in immune response; maintenance of location in cell; positive regulation of protein localization to nucleus; regulation of axonogenesis; synapse organization; positive regulation of protein binding; myeloid cell differentiation; negative regulation of neuron projection development; receptor metabolic process; protein processing; regulation of synapse organization; synaptic vesicle exocytosis; positive regulation of nucleocytoplasmic transport; regulation of synapse structure or activity; cellular response to peptide; neuron projection organization; regulation of nervous system development; coagulation; neurotransmitter secretion; signal release from synapse; regulation of protein import into nucleus; neuron apoptotic process; myeloid leukocyte differentiation; negative regulation of apoptotic signaling pathway; axonogenesis; regulation of postsynapse organization; regulation of neurogenesis; regulation of DNA binding; receptor recycling; dendritic spine development; gland development; negative regulation of axonogenesis; negative regulation of binding; regulation of carbohydrate metabolic process; membrane protein ectodomain proteolysis; heart morphogenesis; lymphocyte activation involved in immune response; negative regulation of proteolysis involved in protein catabolic process; embryonic organ development; post-embryonic development; postsynapse organization; regulation of generation of precursor metabolites and energy; Notch signaling pathway; regulation of trans-synaptic signaling; positive regulation of protein import into nucleus; modulation of chemical synaptic transmission; positive regulation of tumor necrosis factor production; gliogenesis; regulation of neuron apoptotic process; positive regulation of tumor necrosis factor superfamily cytokine production; regulation of small molecule metabolic process; intracellular calcium ion homeostasis; membrane protein proteolysis; negative regulation of ubiquitin-dependent protein catabolic process; cerebral cortex development; carbohydrate catabolic process; calcium ion homeostasis; sequestering of calcium ion; signal release; endoplasmic reticulum calcium ion homeostasis; regulation of receptor recycling; hematopoietic or lymphoid organ development; dorsal/ventral neural tube patterning; telencephalon development; pyruvate metabolic process; glial cell development; regulation of neurotransmitter levels; amide transport; neuron migration; negative regulation of cell development; thymus development; regulation of coagulation; epithelial cell proliferation; cerebral cortex cell migration; left/right pattern formation; regulation of dendritic spine development; regulation of synaptic vesicle cycle; negative regulation of neuron apoptotic process; pallium development; negative regulation of DNA binding; neural tube patterning; glial cell differentiation; specification of symmetry; determination of bilateral symmetry; cerebellum development; negative regulation of proteolysis; myeloid dendritic cell activation; regulation of carbohydrate catabolic process; positive regulation of carbohydrate metabolic process; positive regulation of transmembrane transport; determination of left/right symmetry; forebrain development; glycolytic process; hindbrain development; regulation of glycolytic process; metencephalon development; positive regulation of cellular catabolic process; learning or memory; negative regulation of nervous system development; regulation of resting membrane potential; cognition; tumor necrosis factor superfamily cytokine production; regulation of tumor necrosis factor superfamily cytokine production; negative regulation of neurogenesis; appendage development; limb development; tumor necrosis factor production; regulation of tumor necrosis factor production; embryonic heart tube development; neuron cellular homeostasis; embryonic heart tube morphogenesis; positive regulation of small molecule metabolic process; response to amyloid-beta; appendage morphogenesis; limb morphogenesis; telencephalon cell migration; cellular response to amyloid-beta; skeletal system morphogenesis; positive regulation of receptor recycling; memory; forebrain cell migration; neurotransmitter transport; dendritic cell differentiation; organic acid transmembrane transport; carboxylic acid transmembrane transport; positive regulation of glycolytic process; neuroinflammatory response; skin morphogenesis; neuron projection maintenance; calcium ion transport; heart looping; positive regulation of dendritic spine development; positive regulation of coagulation; amyloid precursor protein catabolic process; visual system development; embryonic limb morphogenesis; embryonic appendage morphogenesis; T cell activation involved in immune response; synaptic transmission, glutamatergic; myeloid dendritic cell differentiation; eye development; brain morphogenesis; dicarboxylic acid transport; glial cell activation; regulation of transcription regulatory region DNA binding; embryonic organ morphogenesis; calcium ion transmembrane transport"
"PEAK1",-1.06119733297138,0.999822307017747,0.000625144761621449,"pseudopodium enriched atypical kinase 1",0,"No KEGG pathway",14,"cell-substrate adhesion; protein autophosphorylation; regulation of cell-substrate adhesion; cell-matrix adhesion; cell junction assembly; cell-substrate junction organization; cell-substrate junction assembly; substrate adhesion-dependent cell spreading; focal adhesion assembly; regulation of cell junction assembly; regulation of cell-substrate junction organization; regulation of cell-matrix adhesion; regulation of focal adhesion assembly; regulation of cell-substrate junction assembly"
"ABHD14A",1.20096497450696,0.999822307017747,0.000358898024580613,"abhydrolase domain containing 14A",0,"No KEGG pathway",0,"No GO term"
"ZNF138",1.10708598546876,0.999822307017747,0.000506188078884502,"zinc finger protein 138",0,"No KEGG pathway",0,"No GO term"
"THAP5",1.11180553785755,0.999822307017747,0.000914038243482315,"THAP domain containing 5",0,"No KEGG pathway",1,"negative regulation of cell cycle"
"KRT5",1.37238179919978,0.999822307017747,0.0033628732196516,"keratin 5",0,"No KEGG pathway",2,"protein polymerization; response to mechanical stimulus"
"SOS2",-1.1565124080935,0.999822307017747,0.00126362876042286,"SOS Ras/Rho guanine nucleotide exchange factor 2",43,"Focal adhesion; Neurotrophin signaling pathway; Colorectal cancer; MAPK signaling pathway; Prostate cancer; Chronic myeloid leukemia; Chemokine signaling pathway; Human papillomavirus infection; EGFR tyrosine kinase inhibitor resistance; ErbB signaling pathway; Proteoglycans in cancer; Regulation of actin cytoskeleton; T cell receptor signaling pathway; FoxO signaling pathway; Ras signaling pathway; Thermogenesis; Hepatitis B; Renal cell carcinoma; Hepatocellular carcinoma; Acute myeloid leukemia; Chemical carcinogenesis - reactive oxygen species; Non-small cell lung cancer; Endometrial cancer; mTOR signaling pathway; Glioma; Endocrine resistance; Choline metabolism in cancer; Human cytomegalovirus infection; PI3K-Akt signaling pathway; Phospholipase D signaling pathway; Relaxin signaling pathway; Insulin signaling pathway; Hepatitis C; GnRH signaling pathway; Growth hormone synthesis, secretion and action; Gap junction; Fc epsilon RI signaling pathway; Breast cancer; Prolactin signaling pathway; Gastric cancer; B cell receptor signaling pathway; Estrogen signaling pathway; Natural killer cell mediated cytotoxicity",38,"small GTPase mediated signal transduction; Ras protein signal transduction; regulation of small GTPase mediated signal transduction; T cell differentiation; regulation of GTPase activity; mononuclear cell differentiation; regulation of T cell activation; lymphocyte differentiation; homeostasis of number of cells; positive regulation of GTPase activity; regulation of lymphocyte differentiation; hematopoietic progenitor cell differentiation; regulation of leukocyte differentiation; T cell proliferation; regulation of T cell differentiation; regulation of leukocyte proliferation; regulation of hemopoiesis; regulation of lymphocyte proliferation; regulation of mononuclear cell proliferation; leukocyte homeostasis; cellular response to peptide; response to peptide hormone; leukocyte proliferation; response to insulin; mononuclear cell proliferation; regulation of T cell proliferation; lymphocyte proliferation; T cell differentiation in thymus; cellular response to insulin stimulus; cellular response to peptide hormone stimulus; B cell homeostasis; lymphocyte homeostasis; insulin receptor signaling pathway; regulation of hematopoietic progenitor cell differentiation; lymphoid progenitor cell differentiation; positive regulation of small GTPase mediated signal transduction; regulation of T cell differentiation in thymus; pro-B cell differentiation"
