"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"HSPA6",1.79026828582541,0.999879611479392,0.000159705098260889,"heat shock protein family A (Hsp70) member 6",10,"Endocytosis; Protein processing in endoplasmic reticulum; MAPK signaling pathway; Prion disease; Lipid and atherosclerosis; Measles; Legionellosis; Toxoplasmosis; Longevity regulating pathway - multiple species; Estrogen signaling pathway",10,"response to topologically incorrect protein; response to unfolded protein; protein folding; 'de novo' protein folding; chaperone-mediated protein folding; 'de novo' post-translational protein folding; response to heat; cellular response to heat; chaperone cofactor-dependent protein refolding; response to temperature stimulus"
"ENSG00000257764",-2.37665894755283,0.999879611479392,0.000235929306715929,NA,0,"No KEGG pathway",0,"No GO term"
"SLBP",0.884795461696572,0.999879611479392,0.00290000768178065,"stem-loop histone mRNA binding protein",0,"No KEGG pathway",12,"cytoplasmic translation; RNA localization; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; translational initiation; RNA 3'-end processing; cytoplasmic translational initiation; histone mRNA metabolic process; mRNA 3'-end processing"
"GALM",1.15761443957565,0.999879611479392,0.00226204607224786,"galactose mutarotase",2,"Glycolysis / Gluconeogenesis; Galactose metabolism",7,"small molecule catabolic process; monosaccharide metabolic process; hexose metabolic process; glucose metabolic process; carbohydrate catabolic process; monosaccharide catabolic process; hexose catabolic process"
"HIF1A-AS3",1.77417145080859,0.999879611479392,0.000919648975102642,NA,0,"No KEGG pathway",0,"No GO term"
"LINC01410",1.38204845388325,0.999879611479392,0.00121608692521746,"long intergenic non-protein coding RNA 1410",0,"No KEGG pathway",0,"No GO term"
"LINC01410",1.38204845388325,0.999879611479392,0.00121608692521746,"long intergenic non-protein coding RNA 1410",0,"No KEGG pathway",0,"No GO term"
"NIPSNAP3B",1.2648644386547,0.999879611479392,0.00168054946441719,"nipsnap homolog 3B",0,"No KEGG pathway",0,"No GO term"
"HELLS",1.35465723454572,0.999879611479392,0.00193075033650014,"helicase, lymphoid specific",0,"No KEGG pathway",23,"methylation; macromolecule methylation; intrinsic apoptotic signaling pathway; regulation of apoptotic signaling pathway; kidney development; renal system development; regulation of intrinsic apoptotic signaling pathway; epigenetic regulation of gene expression; leukocyte proliferation; negative regulation of apoptotic signaling pathway; DNA modification; mononuclear cell proliferation; lymphocyte proliferation; negative regulation of gene expression, epigenetic; response to leukemia inhibitory factor; negative regulation of intrinsic apoptotic signaling pathway; cellular response to leukemia inhibitory factor; heterochromatin organization; heterochromatin formation; DNA alkylation; DNA methylation; constitutive heterochromatin formation; facultative heterochromatin formation"
"USP38",-1.23431252398486,0.999879611479392,0.00224979741805776,"ubiquitin specific peptidase 38",0,"No KEGG pathway",21,"proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of protein catabolic process; regulation of innate immune response; regulation of proteolysis involved in protein catabolic process; regulation of proteasomal protein catabolic process; regulation of ubiquitin-dependent protein catabolic process; regulation of proteasomal ubiquitin-dependent protein catabolic process; negative regulation of catabolic process; negative regulation of protein catabolic process; negative regulation of response to biotic stimulus; negative regulation of immune response; negative regulation of proteolysis involved in protein catabolic process; negative regulation of innate immune response; negative regulation of ubiquitin-dependent protein catabolic process; negative regulation of proteasomal protein catabolic process; negative regulation of proteasomal ubiquitin-dependent protein catabolic process; negative regulation of response to external stimulus; protein modification by small protein removal; negative regulation of proteolysis; protein deubiquitination; negative regulation of defense response"
"GSTM2",1.31691109859815,0.999879611479392,0.0020114228993811,"glutathione S-transferase mu 2",6,"Fluid shear stress and atherosclerosis; Hepatocellular carcinoma; Chemical carcinogenesis - reactive oxygen species; Platinum drug resistance; Glutathione metabolism; Drug metabolism - other enzymes",45,"maintenance of location; maintenance of location in cell; fatty acid metabolic process; calcium-mediated signaling; intracellular calcium ion homeostasis; second-messenger-mediated signaling; calcium ion homeostasis; sequestering of calcium ion; positive regulation of ion transmembrane transporter activity; regulation of sequestering of calcium ion; negative regulation of sequestering of calcium ion; release of sequestered calcium ion into cytosol; organic acid biosynthetic process; carboxylic acid biosynthetic process; positive regulation of transporter activity; cellular detoxification; positive regulation of calcium ion transmembrane transporter activity; positive regulation of transmembrane transport; response to toxic substance; positive regulation of monoatomic ion transport; regulation of release of sequestered calcium ion into cytosol; response to purine-containing compound; cellular oxidant detoxification; positive regulation of monoatomic ion transmembrane transport; cellular response to toxic substance; regulation of ryanodine-sensitive calcium-release channel activity; long-chain fatty acid metabolic process; glutathione metabolic process; cellular response to xenobiotic stimulus; monocarboxylic acid biosynthetic process; response to xenobiotic stimulus; cellular response to alkaloid; positive regulation of release of sequestered calcium ion into cytosol; unsaturated fatty acid metabolic process; calcium ion transport; positive regulation of calcium ion transport; calcium ion transmembrane import into cytosol; heart process; regulation of calcium ion transport; positive regulation of calcium ion transmembrane transport; regulation of metal ion transport; response to caffeine; positive regulation of cation transmembrane transport; fatty acid biosynthetic process; calcium ion transmembrane transport"
"HEXA",0.809812597655448,0.999879611479392,0.0105711938024524,"hexosaminidase subunit alpha",8,"Lysosome biogenesis; Amino sugar and nucleotide sugar metabolism; Various types of N-glycan biosynthesis; Sphingolipid metabolism; Glycosaminoglycan degradation; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - ganglio series; Other glycan degradation",43,"vacuole organization; sulfur compound metabolic process; small molecule catabolic process; glycoprotein metabolic process; lysosome organization; lytic vacuole organization; organic acid catabolic process; carboxylic acid catabolic process; maintenance of location; maintenance of location in cell; monosaccharide metabolic process; membrane lipid metabolic process; carbohydrate derivative catabolic process; aminoglycan biosynthetic process; glycosaminoglycan biosynthetic process; monocarboxylic acid catabolic process; cellular lipid catabolic process; aminoglycan metabolic process; lipid catabolic process; glycosaminoglycan metabolic process; ensheathment of neurons; axon ensheathment; myelination; mucopolysaccharide metabolic process; sphingolipid metabolic process; proteoglycan metabolic process; carbohydrate catabolic process; sulfur compound catabolic process; liposaccharide metabolic process; glycolipid metabolic process; ceramide metabolic process; monosaccharide catabolic process; aminoglycan catabolic process; lipid storage; dermatan sulfate proteoglycan metabolic process; sensory perception of sound; adult locomotory behavior; locomotory behavior; hyaluronan metabolic process; transmembrane receptor protein serine/threonine kinase signaling pathway; hyaluronan catabolic process; sensory perception of mechanical stimulus; glycosaminoglycan catabolic process"
"LRRCC1",1.1391457519867,0.999879611479392,0.00246590111031439,"leucine rich repeat and coiled-coil centrosomal protein 1",0,"No KEGG pathway",0,"No GO term"
"LMNB1",1.09245039229484,0.999879611479392,0.00603613539961107,"lamin B1",2,"Apoptosis; Cytoskeleton in muscle cells",12,"establishment of organelle localization; protein localization to nucleus; protein-containing complex localization; epigenetic regulation of gene expression; nucleus organization; nuclear envelope organization; negative regulation of gene expression, epigenetic; nuclear migration; heterochromatin organization; nucleus localization; heterochromatin formation; protein localization to nuclear envelope"
"DDB2",1.05641800195389,0.999879611479392,0.00546568979939627,"damage specific DNA binding protein 2",19,"Ubiquitin mediated proteolysis; Small cell lung cancer; Colorectal cancer; Pancreatic cancer; p53 signaling pathway; Chronic myeloid leukemia; Nucleotide excision repair; Hepatitis B; Hepatocellular carcinoma; Non-small cell lung cancer; Endometrial cancer; Glioma; Epstein-Barr virus infection; Thyroid cancer; Transcriptional misregulation in cancer; Breast cancer; Gastric cancer; Basal cell carcinoma; Melanoma",12,"response to UV; protein polyubiquitination; cellular response to abiotic stimulus; cellular response to environmental stimulus; response to radiation; cellular response to UV; nucleotide-excision repair; protein autoubiquitination; cellular response to radiation; response to light stimulus; cellular response to light stimulus; UV-damage excision repair"
"TUBGCP5",1.36971985521716,0.999879611479392,0.00240930190063225,"tubulin gamma complex component 5",0,"No KEGG pathway",10,"chromosome segregation; protein polymerization; non-membrane-bounded organelle assembly; spindle organization; spindle assembly; microtubule polymerization or depolymerization; cytoplasmic microtubule organization; microtubule polymerization; microtubule nucleation; meiotic cell cycle"
"TUBGCP5",1.36971985521716,0.999879611479392,0.00240930190063225,"tubulin gamma complex component 5",0,"No KEGG pathway",10,"chromosome segregation; protein polymerization; non-membrane-bounded organelle assembly; spindle organization; spindle assembly; microtubule polymerization or depolymerization; cytoplasmic microtubule organization; microtubule polymerization; microtubule nucleation; meiotic cell cycle"
"TUBGCP5",1.36971985521716,0.999879611479392,0.00240930190063225,"tubulin gamma complex component 5",0,"No KEGG pathway",10,"chromosome segregation; protein polymerization; non-membrane-bounded organelle assembly; spindle organization; spindle assembly; microtubule polymerization or depolymerization; cytoplasmic microtubule organization; microtubule polymerization; microtubule nucleation; meiotic cell cycle"
