"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"PRR29",-2.71013681767806,0.10757856341695,1.39666367253591e-05,"proline rich 29",0,"No KEGG pathway",0,"No GO term"
"SLC25A34",-2.4365452949747,0.10757856341695,1.68091505338984e-05,"solute carrier family 25 member 34",0,"No KEGG pathway",5,"in utero embryonic development; blastocyst development; blastocyst hatching; hatching; organism emergence from protective structure"
"VSIG2",-2.13842761030354,0.185749019027546,4.80625428504028e-05,"V-set and immunoglobulin domain containing 2",0,"No KEGG pathway",0,"No GO term"
"COL6A3",-3.1151739773196,0.185749019027546,7.0691904465043e-05,"collagen type VI alpha 3 chain",6,"Focal adhesion; Integrin signaling; Human papillomavirus infection; PI3K-Akt signaling pathway; Cytoskeleton in muscle cells; ECM-receptor interaction",2,"muscle organ development; response to carbohydrate"
"TMEM98",-2.46262366720241,0.185749019027546,7.87335711883362e-05,"transmembrane protein 98",0,"No KEGG pathway",42,"protein localization to nucleus; T cell differentiation; mononuclear cell differentiation; regulation of protein localization to nucleus; lymphocyte differentiation; alpha-beta T cell activation; cell activation involved in immune response; leukocyte activation involved in immune response; alpha-beta T cell differentiation; protein processing; negative regulation of protein localization; CD4-positive, alpha-beta T cell activation; regulation of nervous system development; regulation of neurogenesis; ensheathment of neurons; axon ensheathment; myelination; CD4-positive, alpha-beta T cell differentiation; lymphocyte activation involved in immune response; alpha-beta T cell activation involved in immune response; alpha-beta T cell differentiation involved in immune response; CD4-positive, alpha-beta T cell differentiation involved in immune response; gliogenesis; T cell differentiation involved in immune response; negative regulation of protein localization to nucleus; T-helper cell differentiation; T-helper 1 cell differentiation; T-helper 1 type immune response; regulation of protein maturation; negative regulation of cell development; regulation of protein processing; regulation of myelination; glial cell differentiation; negative regulation of proteolysis; negative regulation of nervous system development; negative regulation of neurogenesis; negative regulation of protein processing; negative regulation of protein maturation; regulation of nervous system process; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; T cell activation involved in immune response; oligodendrocyte differentiation"
"COL1A2",-2.47083628423501,0.185749019027546,9.18583689498816e-05,"collagen type I alpha 2 chain",12,"Focal adhesion; Integrin signaling; AGE-RAGE signaling pathway in diabetic complications; Human papillomavirus infection; Proteoglycans in cancer; Platelet activation; Amoebiasis; Diabetic cardiomyopathy; PI3K-Akt signaling pathway; Relaxin signaling pathway; Cytoskeleton in muscle cells; ECM-receptor interaction",23,"small GTPase mediated signal transduction; Ras protein signal transduction; extracellular structure organization; extracellular matrix organization; external encapsulating structure organization; Rho protein signal transduction; protein complex oligomerization; response to transforming growth factor beta; ossification; collagen fibril organization; cellular response to transforming growth factor beta stimulus; cellular response to amino acid stimulus; bone mineralization; cellular response to acid chemical; response to amino acid; response to acid chemical; extracellular matrix assembly; transforming growth factor beta receptor signaling pathway; protein trimerization; biomineral tissue development; collagen metabolic process; skin morphogenesis; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CRISPLD2",-2.42727685200015,0.185749019027546,0.000101581494780689,"cysteine rich secretory protein LCCL domain containing 2",0,"No KEGG pathway",10,"respiratory tube development; respiratory system development; lung development; extracellular structure organization; extracellular matrix organization; external encapsulating structure organization; face development; face morphogenesis; body morphogenesis; head morphogenesis"
"SNX32",-2.55869711725327,0.204862145031676,0.000128038840644798,"sorting nexin 32",1,"Endocytosis",6,"macroautophagy; regulation of autophagy; endosomal transport; regulation of macroautophagy; cytosolic transport; retrograde transport, endosome to Golgi"
"MEDAG",-2.11914430182909,0.235765255374808,0.00016611437021517,"mesenteric estrogen dependent adipogenesis",0,"No KEGG pathway",3,"fat cell differentiation; positive regulation of fat cell differentiation; regulation of fat cell differentiation"
"MMP16",-2.06304536350102,0.235765255374808,0.000197751746067853,"matrix metallopeptidase 16",1,"Parathyroid hormone synthesis, secretion and action",17,"extracellular structure organization; extracellular matrix organization; external encapsulating structure organization; protein processing; bone development; embryonic organ development; ossification; endochondral bone morphogenesis; endochondral ossification; replacement ossification; bone morphogenesis; chondrocyte proliferation; skeletal system morphogenesis; collagen metabolic process; embryonic cranial skeleton morphogenesis; embryonic organ morphogenesis; cranial skeletal system development"
