"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"RILPL1",-1.96718761920167,0.528386193593286,6.2880261481004e-05,"Rab interacting lysosomal protein like 1",0,"No KEGG pathway",9,"cilium organization; cilium assembly; protein localization to cell periphery; protein localization to plasma membrane; establishment of protein localization to membrane; epithelial cell development; establishment of protein localization to plasma membrane; second-messenger-mediated signaling; epithelial cell morphogenesis"
"EPS8L1",-2.50884406454056,0.528386193593286,0.000126120481818171,"EPS8 signaling adaptor L1",0,"No KEGG pathway",14,"small GTPase mediated signal transduction; Ras protein signal transduction; regulation of small GTPase mediated signal transduction; positive regulation of cell projection organization; regulation of cell projection assembly; regulation of plasma membrane bounded cell projection assembly; regulation of Ras protein signal transduction; positive regulation of plasma membrane bounded cell projection assembly; Rho protein signal transduction; ruffle organization; regulation of Rho protein signal transduction; ruffle assembly; regulation of ruffle assembly; positive regulation of ruffle assembly"
"LURAP1",-2.10552172636577,0.528386193593286,0.000137637913951556,"leucine rich adaptor protein 1",0,"No KEGG pathway",4,"regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; positive regulation of canonical NF-kappaB signal transduction; positive regulation of cytokine production"
"FCN1",-2.31102683992767,0.528386193593286,0.000121415909344943,"ficolin 1",0,"No KEGG pathway",35,"viral process; immune response-regulating signaling pathway; immune response-activating signaling pathway; regulation of innate immune response; positive regulation of innate immune response; viral life cycle; immune response-regulating cell surface receptor signaling pathway; immune response-activating cell surface receptor signaling pathway; positive regulation of defense response; activation of innate immune response; positive regulation of response to biotic stimulus; regulation of immune effector process; phagocytosis; innate immune response-activating signaling pathway; positive regulation of cytokine production; pattern recognition receptor signaling pathway; regulation of endocytosis; positive regulation of immune effector process; biological process involved in symbiotic interaction; movement in host; regulation of viral process; biological process involved in interaction with host; regulation of viral life cycle; entry into host; viral entry into host cell; positive regulation of endocytosis; protein localization to cell surface; innate immune response activating cell surface receptor signaling pathway; cell surface pattern recognition receptor signaling pathway; negative regulation of viral process; regulation of phagocytosis; apoptotic cell clearance; positive regulation of phagocytosis; positive regulation of interleukin-8 production; modulation by symbiont of entry into host"
"TNNC1",-2.10555214623164,0.528386193593286,0.000205251661372505,"troponin C1, slow skeletal and cardiac type",6,"Cytoskeleton in muscle cells; Motor proteins; Hypertrophic cardiomyopathy; Dilated cardiomyopathy; Adrenergic signaling in cardiomyocytes; Calcium signaling pathway",19,"regulation of intracellular transport; regulation of actin filament-based process; response to metal ion; heart morphogenesis; respiratory gaseous exchange by respiratory system; cardiac chamber development; actin filament-based movement; regulation of ATP-dependent activity; cardiac chamber morphogenesis; muscle organ development; muscle tissue development; cardiac ventricle development; striated muscle tissue development; respiratory system process; regulation of actin filament-based movement; ventricular cardiac muscle tissue development; cardiac muscle tissue development; actin-mediated cell contraction; heart process"
"GPC3",-2.32393506670526,0.528386193593286,0.000175713826488141,"glypican 3",1,"Proteoglycans in cancer",76,"regulation of protein catabolic process; positive regulation of protein catabolic process; respiratory tube development; respiratory system development; cell-cell signaling by wnt; lung development; Wnt signaling pathway; kidney development; renal system development; epithelial tube morphogenesis; regulation of Wnt signaling pathway; regulation of protein localization to membrane; positive regulation of Wnt signaling pathway; regulation of endocytosis; negative regulation of growth; canonical Wnt signaling pathway; regulation of canonical Wnt signaling pathway; morphogenesis of a polarized epithelium; positive regulation of canonical Wnt signaling pathway; myeloid cell differentiation; smoothened signaling pathway; establishment of planar polarity; establishment of tissue polarity; myeloid leukocyte differentiation; positive regulation of endocytosis; regulation of smoothened signaling pathway; regulation of animal organ morphogenesis; ossification; regulation of non-canonical Wnt signaling pathway; regulation of establishment of planar polarity; body morphogenesis; Wnt signaling pathway, planar cell polarity pathway; negative regulation of Wnt signaling pathway; bone mineralization; morphogenesis of a branching epithelium; non-canonical Wnt signaling pathway; morphogenesis of a branching structure; gastrulation; coronary vasculature development; ameboidal-type cell migration; negative regulation of canonical Wnt signaling pathway; branching morphogenesis of an epithelial tube; nephron development; regulation of Wnt signaling pathway, planar cell polarity pathway; negative regulation of smoothened signaling pathway; positive regulation of non-canonical Wnt signaling pathway; mesenchymal cell proliferation; epithelial cell proliferation; positive regulation of smoothened signaling pathway; kidney epithelium development; osteoclast differentiation; positive regulation of transmembrane transport; carbohydrate transport; appendage development; limb development; regulation of epithelial cell proliferation; biomineral tissue development; appendage morphogenesis; limb morphogenesis; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; kidney morphogenesis; nephron epithelium development; mesonephric epithelium development; mesonephric tubule development; cell proliferation involved in kidney development; mesonephros development; ureteric bud development; transmembrane receptor protein serine/threonine kinase signaling pathway; embryonic limb morphogenesis; embryonic appendage morphogenesis; monosaccharide transmembrane transport; regulation of cellular response to growth factor stimulus; cell proliferation involved in metanephros development; carbohydrate transmembrane transport; hexose transmembrane transport; renal tubule development"
"ICAM4",-2.15182261117558,0.582812178574817,0.000339590159728949,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",1,"Integrin signaling",0,"No GO term"
"ALDH5A1",-2.12395555711057,0.582812178574817,0.000303916345477858,"aldehyde dehydrogenase 5 family member A1",2,"Alanine, aspartate and glutamate metabolism; Butanoate metabolism",10,"small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; amino acid metabolic process; post-embryonic development; alpha-amino acid metabolic process; amino acid catabolic process; dicarboxylic acid metabolic process; glutamine family amino acid metabolic process; neurotransmitter catabolic process"
"IL1B",-2.60217414680557,0.582812178574817,0.000338882751914428,"interleukin 1 beta",40,"Salmonella infection; Pathways of neurodegeneration - multiple diseases; Yersinia infection; TNF signaling pathway; Alzheimer disease; AGE-RAGE signaling pathway in diabetic complications; NF-kappa B signaling pathway; MAPK signaling pathway; Fluid shear stress and atherosclerosis; Shigellosis; Pathogenic Escherichia coli infection; Non-alcoholic fatty liver disease; Prion disease; C-type lectin receptor signaling pathway; Amoebiasis; Human cytomegalovirus infection; Chagas disease; Lipid and atherosclerosis; Coronavirus disease - COVID-19; Malaria; Pertussis; Osteoclast differentiation; Antifolate resistance; Measles; IL-17 signaling pathway; Inflammatory mediator regulation of TRP channels; Legionellosis; NOD-like receptor signaling pathway; Tuberculosis; Alcoholic liver disease; Herpes simplex virus 1 infection; Th17 cell differentiation; Toll-like receptor signaling pathway; Influenza A; Cytosolic DNA-sensing pathway; African trypanosomiasis; Rheumatoid arthritis; Leishmaniasis; Hematopoietic cell lineage; Necroptosis",324,"positive regulation of protein localization; regulation of protein catabolic process; nucleocytoplasmic transport; nuclear transport; regulation of intracellular transport; mitotic nuclear division; organelle fission; positive regulation of cell adhesion; positive regulation of proteolysis; regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; negative regulation of protein modification process; positive regulation of transferase activity; positive regulation of protein catabolic process; positive regulation of establishment of protein localization; cellular response to external stimulus; positive regulation of canonical NF-kappaB signal transduction; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; nuclear division; positive regulation of intracellular transport; regulation of intracellular protein transport; T cell differentiation; positive regulation of protein transport; positive regulation of cell activation; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; leukocyte migration; positive regulation of defense response; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; response to virus; lymphocyte differentiation; extrinsic apoptotic signaling pathway; negative regulation of phosphorylation; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; regulation of protein serine/threonine kinase activity; regulation of apoptotic signaling pathway; positive regulation of intracellular protein transport; negative regulation of protein phosphorylation; nuclear export; positive regulation of kinase activity; cell junction assembly; cellular response to abiotic stimulus; cellular response to environmental stimulus; regulation of immune effector process; regulation of leukocyte mediated immunity; positive regulation of leukocyte cell-cell adhesion; phagocytosis; negative regulation of catabolic process; regulation of leukocyte cell-cell adhesion; regulation of nucleocytoplasmic transport; negative regulation of transferase activity; positive regulation of protein kinase activity; positive regulation of T cell activation; stress-activated protein kinase signaling cascade; positive regulation of cytokine production; stress-activated MAPK cascade; regulation of adaptive immune response; regulation of endocytosis; epithelial cell development; cell-cell junction organization; positive regulation of DNA-binding transcription factor activity; chemotaxis; positive regulation of cell development; maintenance of location; JNK cascade; defense response to virus; negative regulation of kinase activity; T cell proliferation; regulation of cell junction assembly; positive regulation of cytokine production involved in immune response; taxis; defense response to symbiont; positive regulation of production of molecular mediator of immune response; negative regulation of protein kinase activity; positive regulation of immune effector process; leukocyte chemotaxis; regulation of DNA-binding transcription factor activity; regulation of lymphocyte mediated immunity; regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; regulation of leukocyte proliferation; regulation of production of molecular mediator of immune response; regulation of extrinsic apoptotic signaling pathway; regulation of mitotic nuclear division; regulation of lymphocyte proliferation; aminoglycan biosynthetic process; regulation of mononuclear cell proliferation; myeloid leukocyte migration; positive regulation of NF-kappaB transcription factor activity; regulation of JNK cascade; positive regulation of cell cycle; glycosaminoglycan biosynthetic process; regulation of defense response to virus; regulation of stress-activated protein kinase signaling cascade; negative regulation of protein localization; positive regulation of leukocyte mediated immunity; positive regulation of protein serine/threonine kinase activity; interleukin-2 production; regulation of interleukin-2 production; regulation of stress-activated MAPK cascade; positive regulation of non-canonical NF-kappaB signal transduction; positive regulation of nucleocytoplasmic transport; cytokine production involved in immune response; response to lipopolysaccharide; regulation of cytokine production involved in immune response; cellular response to peptide; regulation of nervous system development; neutrophil migration; cellular response to mechanical stimulus; cell chemotaxis; fatty acid metabolic process; response to mechanical stimulus; positive regulation of interleukin-2 production; response to molecule of bacterial origin; response to peptide hormone; leukocyte proliferation; positive regulation of JNK cascade; regulation of MAP kinase activity; aminoglycan metabolic process; mesenchymal cell differentiation; negative regulation of apoptotic signaling pathway; granulocyte migration; establishment of endothelial barrier; lipid catabolic process; granulocyte chemotaxis; response to insulin; regulation of neurogenesis; positive regulation of lymphocyte mediated immunity; mononuclear cell proliferation; protein export from nucleus; temperature homeostasis; neutrophil chemotaxis; epithelial to mesenchymal transition; glycosaminoglycan metabolic process; positive regulation of mononuclear cell proliferation; regulation of T cell proliferation; lymphocyte proliferation; regulation of cell division; positive regulation of secretion by cell; positive regulation of leukocyte proliferation; regulation of nuclear division; positive regulation of endocytosis; positive regulation of adaptive immune response; positive regulation of lymphocyte proliferation; positive regulation of MAPK cascade; endothelial cell development; T cell differentiation in thymus; cellular response to insulin stimulus; protein secretion; mucopolysaccharide metabolic process; membrane protein ectodomain proteolysis; establishment of protein localization to extracellular region; cellular response to peptide hormone stimulus; positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; positive regulation of stress-activated protein kinase signaling cascade; endothelium development; protein localization to extracellular region; cell-cell junction assembly; regulation of trans-synaptic signaling; positive regulation of secretion; positive regulation of stress-activated MAPK cascade; modulation of chemical synaptic transmission; positive regulation of neurogenesis; cellular response to interleukin-1; gliogenesis; response to interleukin-1; reactive nitrogen species metabolic process; positive regulation of cell cycle process; regulation of protein secretion; negative regulation of catalytic activity; nitric oxide metabolic process; regulation of defense response to virus by host; positive regulation of MAP kinase activity; vascular endothelial growth factor receptor signaling pathway; regulation of small molecule metabolic process; regulation of epithelial to mesenchymal transition; positive regulation of interleukin-6 production; T-helper 1 type immune response; membrane protein proteolysis; positive regulation of nervous system development; negative regulation of extrinsic apoptotic signaling pathway; nitric oxide biosynthetic process; regulation of protein export from nucleus; positive regulation of type II interferon production; mesenchyme development; insulin receptor signaling pathway; heterotypic cell-cell adhesion; signal release; positive regulation of T cell proliferation; negative regulation of protein serine/threonine kinase activity; cellular response to biotic stimulus; negative regulation of MAPK cascade; regulation of T-helper 1 type immune response; non-canonical NF-kappaB signal transduction; regulation of membrane protein ectodomain proteolysis; regulation of insulin secretion; regulation of peptide transport; endothelial cell differentiation; peptide secretion; positive regulation of chemokine production; regulation of peptide secretion; glial cell development; leukocyte mediated immunity; regulation of peptide hormone secretion; amide transport; organic acid biosynthetic process; T cell mediated immunity; peptide hormone secretion; peptide transport; negative regulation of cell development; negative regulation of establishment of protein localization; positive regulation of epithelial to mesenchymal transition; type II interferon production; regulation of type II interferon production; hyaluronan biosynthetic process; cellular ketone metabolic process; cellular response to lipopolysaccharide; carboxylic acid biosynthetic process; regulation of lipid metabolic process; regulation of phagocytosis; interleukin-1-mediated signaling pathway; positive regulation of inflammatory response; insulin secretion; positive regulation of T cell cytokine production; leukocyte aggregation; positive regulation of angiogenesis; positive regulation of vasculature development; negative regulation of protein transport; cellular response to molecule of bacterial origin; negative regulation of MAP kinase activity; positive regulation of protein export from nucleus; ERK1 and ERK2 cascade; regulation of nitric oxide metabolic process; regulation of non-canonical NF-kappaB signal transduction; glial cell differentiation; response to salt; regulation of T cell mediated immunity; positive regulation of nitric oxide metabolic process; regulation of nitric oxide biosynthetic process; p38MAPK cascade; positive regulation of nitric oxide biosynthetic process; regulation of endothelial cell development; regulation of establishment of endothelial barrier; positive regulation of cellular catabolic process; regulation of hormone secretion; chemokine production; response to purine-containing compound; negative regulation of nervous system development; negative regulation of cell junction assembly; prostanoid metabolic process; regulation of gap junction assembly; carbohydrate transport; regulation of chemokine production; positive regulation of membrane protein ectodomain proteolysis; regulation of ERK1 and ERK2 cascade; hormone secretion; positive regulation of lipid metabolic process; prostaglandin metabolic process; negative regulation of neurogenesis; regulation of vascular endothelial growth factor receptor signaling pathway; positive regulation of small molecule metabolic process; cellular response to xenobiotic stimulus; positive regulation of vascular endothelial growth factor production; unsaturated fatty acid biosynthetic process; monocarboxylic acid biosynthetic process; positive regulation of T cell mediated immunity; regulation of insulin receptor signaling pathway; T cell cytokine production; regulation of T cell cytokine production; response to xenobiotic stimulus; lipid storage; response to organophosphorus; positive regulation of phagocytosis; glial cell proliferation; immature T cell proliferation; immature T cell proliferation in thymus; positive regulation of interleukin-8 production; positive regulation of T-helper 1 type immune response; gap junction assembly; ectopic germ cell programmed cell death; lipid transport; regulation of cellular response to insulin stimulus; hormone transport; regulation of complement activation; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; unsaturated fatty acid metabolic process; neuroinflammatory response; positive regulation of mitotic nuclear division; positive regulation of lipid transport; regulation of lipid catabolic process; regulation of immature T cell proliferation; regulation of immature T cell proliferation in thymus; monocyte chemotactic protein-1 production; regulation of monocyte chemotactic protein-1 production; positive regulation of oxidoreductase activity; lipid export from cell; hyaluronan metabolic process; programmed cell death involved in cell development; regulation of cellular ketone metabolic process; signal transduction in absence of ligand; extrinsic apoptotic signaling pathway in absence of ligand; negative regulation of cellular response to insulin stimulus; monosaccharide transmembrane transport; regulation of cellular response to growth factor stimulus; lymphocyte mediated immunity; negative regulation of insulin receptor signaling pathway; positive regulation of lipid biosynthetic process; positive regulation of cell division; positive regulation of monocyte chemotactic protein-1 production; regulation of p38MAPK cascade; glial cell activation; prostaglandin biosynthetic process; prostanoid biosynthetic process; fatty acid biosynthetic process; response to carbohydrate; negative regulation of secretion by cell; carbohydrate transmembrane transport; hexose transmembrane transport; positive regulation of nuclear division; female pregnancy; positive regulation of gliogenesis"
"SLC8A1",-1.91764783171562,0.583084731052783,0.000486832621285364,"solute carrier family 8 member A1",9,"Apelin signaling pathway; Arrhythmogenic right ventricular cardiomyopathy; cGMP-PKG signaling pathway; Hypertrophic cardiomyopathy; Dilated cardiomyopathy; Adrenergic signaling in cardiomyocytes; Calcium signaling pathway; Mineral absorption; Endocrine and other factor-regulated calcium reabsorption",53,"negative regulation of protein modification process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; negative regulation of phosphorylation; regulation of protein serine/threonine kinase activity; negative regulation of protein phosphorylation; negative regulation of transferase activity; maintenance of location; negative regulation of kinase activity; maintenance of location in cell; negative regulation of protein kinase activity; response to mechanical stimulus; calcium-mediated signaling; ossification; negative regulation of catalytic activity; intracellular calcium ion homeostasis; positive regulation of ossification; bone mineralization; second-messenger-mediated signaling; calcium ion homeostasis; sequestering of calcium ion; negative regulation of protein serine/threonine kinase activity; positive regulation of bone mineralization; regulation of sequestering of calcium ion; negative regulation of sequestering of calcium ion; release of sequestered calcium ion into cytosol; muscle cell differentiation; vascular process in circulatory system; regulation of ossification; muscle tissue development; positive regulation of biomineral tissue development; regulation of release of sequestered calcium ion into cytosol; response to purine-containing compound; striated muscle tissue development; regulation of bone mineralization; striated muscle cell differentiation; response to muscle stretch; cell communication by electrical coupling involved in cardiac conduction; biomineral tissue development; regulation of biomineral tissue development; cellular response to alkaloid; cardiac muscle tissue development; calcium ion transport; calcium ion import; vascular associated smooth muscle contraction; calcium ion transmembrane import into cytosol; heart process; regulation of calcium ion transport; regulation of metal ion transport; response to caffeine; cardiocyte differentiation; cell communication by electrical coupling; calcium ion transmembrane transport"
