"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"SAMD11",2.12462334668125,0.618784764134565,4.49208540206581e-05,"sterile alpha motif domain containing 11",0,"No KEGG pathway",0,"No GO term"
"IL6",-1.89983450463693,0.999697254482578,0.00187262514556761,"interleukin 6",45,"Salmonella infection; Pathways of neurodegeneration - multiple diseases; Cellular senescence; Yersinia infection; TNF signaling pathway; Alzheimer disease; AGE-RAGE signaling pathway in diabetic complications; Pathogenic Escherichia coli infection; Human T-cell leukemia virus 1 infection; EGFR tyrosine kinase inhibitor resistance; FoxO signaling pathway; Non-alcoholic fatty liver disease; Hepatitis B; Prion disease; C-type lectin receptor signaling pathway; Amoebiasis; Human cytomegalovirus infection; Chagas disease; PI3K-Akt signaling pathway; Kaposi sarcoma-associated herpesvirus infection; HIF-1 signaling pathway; Lipid and atherosclerosis; Coronavirus disease - COVID-19; Insulin resistance; Malaria; Pertussis; Epstein-Barr virus infection; Antifolate resistance; Measles; IL-17 signaling pathway; Legionellosis; NOD-like receptor signaling pathway; Tuberculosis; Viral protein interaction with cytokine and cytokine receptor; Hypertrophic cardiomyopathy; Alcoholic liver disease; Transcriptional misregulation in cancer; Herpes simplex virus 1 infection; Th17 cell differentiation; Toll-like receptor signaling pathway; Influenza A; Cytosolic DNA-sensing pathway; African trypanosomiasis; Rheumatoid arthritis; Hematopoietic cell lineage",279,"ncRNA processing; cellular component disassembly; positive regulation of DNA metabolic process; positive regulation of cell adhesion; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; T cell differentiation; positive regulation of cell activation; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; leukocyte migration; positive regulation of defense response; response to virus; response to oxidative stress; cellular response to chemical stress; lymphocyte differentiation; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; wound healing; regulation of leukocyte migration; regulation of immune effector process; regulation of leukocyte mediated immunity; positive regulation of leukocyte cell-cell adhesion; homeostasis of number of cells; extracellular structure organization; extracellular matrix organization; alpha-beta T cell activation; regulation of leukocyte cell-cell adhesion; positive regulation of leukocyte migration; regulation of B cell activation; external encapsulating structure organization; myeloid leukocyte activation; positive regulation of T cell activation; cellular response to oxidative stress; positive regulation of cytokine production; regulation of adaptive immune response; leukocyte apoptotic process; positive regulation of DNA-binding transcription factor activity; chemotaxis; B cell activation; positive regulation of amide metabolic process; positive regulation of cell development; maintenance of location; positive regulation of chemotaxis; defense response to virus; cell activation involved in immune response; peptidyl-serine modification; T cell proliferation; positive regulation of cytokine production involved in immune response; taxis; defense response to symbiont; leukocyte activation involved in immune response; regulation of chemotaxis; positive regulation of production of molecular mediator of immune response; peptidyl-serine phosphorylation; positive regulation of translation; positive regulation of immune effector process; leukocyte chemotaxis; regulation of DNA-binding transcription factor activity; regulation of lymphocyte mediated immunity; regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; regulation of leukocyte proliferation; regulation of production of molecular mediator of immune response; response to reactive oxygen species; peptidyl-tyrosine modification; myeloid cell homeostasis; alpha-beta T cell differentiation; regulation of lymphocyte proliferation; peptidyl-tyrosine phosphorylation; regulation of mononuclear cell proliferation; myeloid leukocyte migration; gland morphogenesis; leukocyte homeostasis; blood coagulation; positive regulation of B cell activation; CD4-positive, alpha-beta T cell activation; positive regulation of leukocyte mediated immunity; mononuclear cell migration; response to hydrogen peroxide; hemostasis; cytokine production involved in immune response; regulation of leukocyte chemotaxis; response to lipopolysaccharide; regulation of cytokine production involved in immune response; regulation of nervous system development; coagulation; B cell activation involved in immune response; cell chemotaxis; platelet activation; response to molecule of bacterial origin; leukocyte proliferation; mesenchymal cell differentiation; hepaticobiliary system development; regulation of neurogenesis; positive regulation of lymphocyte mediated immunity; mononuclear cell proliferation; cellular response to reactive oxygen species; epithelial to mesenchymal transition; homotypic cell-cell adhesion; positive regulation of mononuclear cell proliferation; miRNA processing; regulation of T cell proliferation; regulation of body fluid levels; lymphocyte proliferation; gland development; liver development; positive regulation of leukocyte proliferation; maintenance of blood-brain barrier; regulation of peptidyl-tyrosine phosphorylation; positive regulation of adaptive immune response; positive regulation of lymphocyte proliferation; positive regulation of MAPK cascade; CD4-positive, alpha-beta T cell differentiation; protein secretion; positive regulation of leukocyte chemotaxis; lymphocyte activation involved in immune response; establishment of protein localization to extracellular region; cellular response to hydrogen peroxide; tissue homeostasis; anatomical structure homeostasis; myeloid leukocyte mediated immunity; ossification; platelet aggregation; positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; regulation of immunoglobulin production; protein localization to extracellular region; alpha-beta T cell activation involved in immune response; alpha-beta T cell differentiation involved in immune response; T cell selection; CD4-positive, alpha-beta T cell differentiation involved in immune response; positive regulation of neurogenesis; positive regulation of tumor necrosis factor production; cellular response to interleukin-1; gliogenesis; response to interleukin-1; positive regulation of tumor necrosis factor superfamily cytokine production; T cell differentiation involved in immune response; regulation of protein secretion; fat cell differentiation; T-helper cell differentiation; regulation of extracellular matrix organization; nucleobase-containing compound catabolic process; regulation of epithelial to mesenchymal transition; positive regulation of interleukin-6 production; positive regulation of immunoglobulin production; response to steroid hormone; positive regulation of nervous system development; positive regulation of extracellular matrix organization; primary miRNA processing; positive T cell selection; mesenchyme development; signal release; positive regulation of T cell proliferation; cellular response to biotic stimulus; liver morphogenesis; regulation of gene silencing by regulatory ncRNA; regulation of insulin secretion; regulation of peptide transport; regulation of post-transcriptional gene silencing; macrophage activation; peptide secretion; positive regulation of chemokine production; regulation of peptide secretion; hepatocyte proliferation; epithelial cell proliferation involved in liver morphogenesis; regulation of post-transcriptional gene silencing by regulatory ncRNA; glial cell development; leukocyte mediated immunity; regulation of homotypic cell-cell adhesion; regulation of peptide hormone secretion; regulation of miRNA-mediated gene silencing; amide transport; T cell mediated immunity; peptide hormone secretion; peptide transport; negative regulation of cell development; positive regulation of peptidyl-tyrosine phosphorylation; positive regulation of epithelial to mesenchymal transition; neutrophil homeostasis; regulation of platelet aggregation; cellular response to lipopolysaccharide; epithelial cell proliferation; regulation of response to cytokine stimulus; regulatory ncRNA processing; cellular component disassembly involved in execution phase of apoptosis; interleukin-1-mediated signaling pathway; positive regulation of inflammatory response; insulin secretion; positive regulation of T cell cytokine production; CD4-positive or CD8-positive, alpha-beta T cell lineage commitment; positive regulation of interleukin-10 production; type 2 immune response; T-helper 17 type immune response; cellular response to molecule of bacterial origin; regulation of cytokine-mediated signaling pathway; alpha-beta T cell lineage commitment; bone resorption; apoptotic nuclear changes; neutrophil mediated immunity; myeloid cell apoptotic process; positive regulation of interleukin-1 production; glial cell differentiation; inflammatory cell apoptotic process; positive regulation of type 2 immune response; regulation of platelet activation; liver regeneration; regulation of T cell mediated immunity; CD4-positive, alpha-beta T cell lineage commitment; positive regulation of interleukin-1 beta production; osteoblast differentiation; regeneration; mature B cell differentiation; regulation of regulatory ncRNA processing; positive regulation of cellular catabolic process; regulation of hormone secretion; chemokine production; positive regulation of osteoblast differentiation; negative regulation of nervous system development; T cell lineage commitment; DNA catabolic process; regulation of chemokine production; regulation of extracellular matrix disassembly; regulation of miRNA processing; animal organ regeneration; tumor necrosis factor superfamily cytokine production; regulation of tumor necrosis factor superfamily cytokine production; hormone secretion; negative regulation of neurogenesis; tumor necrosis factor production; regulation of tumor necrosis factor production; positive regulation of leukocyte adhesion to vascular endothelial cell; neuron cellular homeostasis; epithelial cell apoptotic process; bone remodeling; regulation of bone remodeling; positive regulation of vascular endothelial growth factor production; T-helper cell lineage commitment; regulation of type 2 immune response; B cell differentiation; interleukin-10 production; regulation of interleukin-10 production; positive regulation of T cell mediated immunity; T cell cytokine production; regulation of T cell cytokine production; lipid storage; T-helper 17 cell differentiation; regulation of bone resorption; collagen metabolic process; glial cell proliferation; response to peptidoglycan; negative regulation of post-transcriptional gene silencing; negative regulation of gene silencing by regulatory ncRNA; negative regulation of post-transcriptional gene silencing by regulatory ncRNA; positive regulation of interleukin-8 production; mature B cell differentiation involved in immune response; hormone transport; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; neuroinflammatory response; negative regulation of miRNA-mediated gene silencing; leukocyte activation involved in inflammatory response; regulation of peptidyl-serine phosphorylation; negative regulation of tissue remodeling; positive regulation of homotypic cell-cell adhesion; T-helper 17 cell lineage commitment; tissue remodeling; positive regulation of platelet aggregation; T cell activation involved in immune response; apoptotic DNA fragmentation; lymphocyte mediated immunity; extracellular matrix disassembly; regulation of macrophage activation; regulation of fat cell differentiation; microglial cell activation; inflammatory response to wounding; glial cell activation; negative regulation of miRNA processing; collagen biosynthetic process; positive regulation of gliogenesis"
"LRRC57",1.19314439353866,0.999697254482578,0.00138555647810124,"leucine rich repeat containing 57",0,"No KEGG pathway",0,"No GO term"
"GATA2-AS1",1.08130819771104,0.999697254482578,0.00457075912112444,"GATA2 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"MIR4485",-2.8330993888603,0.999697254482578,0.00119555575921578,"microRNA 4485",0,"No KEGG pathway",0,"No GO term"
"FABP4",-1.78809511443597,0.999697254482578,0.00288753440118382,"fatty acid binding protein 4",2,"PPAR signaling pathway; Regulation of lipolysis in adipocytes",18,"positive regulation of defense response; adaptive thermogenesis; response to tumor necrosis factor; response to metal ion; cold-induced thermogenesis; regulation of cold-induced thermogenesis; temperature homeostasis; cellular response to tumor necrosis factor; cellular response to inorganic substance; fat cell differentiation; cellular response to metal ion; positive regulation of cold-induced thermogenesis; cellular response to salt; positive regulation of inflammatory response; response to salt; white fat cell differentiation; lipid transport; response to lithium ion"
"CCL2",-1.72620669113676,0.999697254482578,0.0062508838243991,"C-C motif chemokine ligand 2",16,"Yersinia infection; TNF signaling pathway; AGE-RAGE signaling pathway in diabetic complications; Fluid shear stress and atherosclerosis; Chemokine signaling pathway; Human cytomegalovirus infection; Chagas disease; Lipid and atherosclerosis; Coronavirus disease - COVID-19; Malaria; IL-17 signaling pathway; NOD-like receptor signaling pathway; Viral protein interaction with cytokine and cytokine receptor; Herpes simplex virus 1 infection; Influenza A; Rheumatoid arthritis",117,"viral process; positive regulation of cell adhesion; regulation of cell morphogenesis; mitotic cell cycle phase transition; regulation of cell shape; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; positive regulation of cell activation; viral life cycle; regulation of cell-cell adhesion; regulation of GTPase activity; regulation of T cell activation; leukocyte migration; regulation of cell cycle phase transition; negative regulation of cell cycle; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; regulation of leukocyte migration; positive regulation of leukocyte cell-cell adhesion; negative regulation of cell cycle process; phagocytosis; viral genome replication; regulation of leukocyte cell-cell adhesion; positive regulation of T cell activation; negative regulation of cell cycle phase transition; regulation of mitotic cell cycle phase transition; positive regulation of GTPase activity; regulation of endocytosis; chemotaxis; taxis; regulation of chemotaxis; leukocyte chemotaxis; regulation of mononuclear cell migration; negative regulation of mitotic cell cycle; myeloid leukocyte migration; mononuclear cell migration; regulation of lymphocyte migration; regulation of leukocyte chemotaxis; response to lipopolysaccharide; neutrophil migration; G1/S transition of mitotic cell cycle; cell chemotaxis; response to molecule of bacterial origin; neuron apoptotic process; response to tumor necrosis factor; negative regulation of mitotic cell cycle phase transition; granulocyte migration; granulocyte chemotaxis; neutrophil chemotaxis; cell cycle G1/S phase transition; positive regulation of endocytosis; positive regulation of MAPK cascade; response to type II interferon; T cell migration; cellular response to tumor necrosis factor; lymphocyte migration; regulation of trans-synaptic signaling; modulation of chemical synaptic transmission; cellular response to interleukin-1; gliogenesis; response to interleukin-1; regulation of neuron apoptotic process; cellular extravasation; glial cell migration; cellular response to type II interferon; macrophage migration; regulation of lymphocyte chemotaxis; cellular response to biotic stimulus; positive regulation of ion transmembrane transporter activity; glial cell apoptotic process; positive regulation of nitric-oxide synthase biosynthetic process; response to chemokine; cellular response to chemokine; negative regulation of lymphocyte migration; negative regulation of leukocyte migration; negative regulation of response to external stimulus; cellular response to lipopolysaccharide; epithelial cell proliferation; regulation of phagocytosis; nitric-oxide synthase biosynthetic process; regulation of nitric-oxide synthase biosynthetic process; positive regulation of transporter activity; positive regulation of signaling receptor activity; cellular response to molecule of bacterial origin; negative regulation of neuron apoptotic process; macrophage chemotaxis; negative regulation of mononuclear cell migration; ERK1 and ERK2 cascade; regulation of G1/S transition of mitotic cell cycle; chemokine-mediated signaling pathway; positive regulation of transmembrane transport; regulation of glial cell apoptotic process; apoptotic cell clearance; negative regulation of chemotaxis; positive regulation of monoatomic ion transport; regulation of cell cycle G1/S phase transition; negative regulation of glial cell apoptotic process; natural killer cell chemotaxis; regulation of ERK1 and ERK2 cascade; positive regulation of monoatomic ion transmembrane transport; epithelial cell apoptotic process; regulation of epithelial cell proliferation; lymphocyte chemotaxis; positive regulation of phagocytosis; negative regulation of leukocyte chemotaxis; T cell extravasation; regulation of NMDA receptor activity; calcium ion transport; calcium ion import; positive regulation of calcium ion transport; regulation of calcium ion transport; response to fibroblast growth factor; cellular response to fibroblast growth factor stimulus; synaptic transmission, glutamatergic; regulation of metal ion transport; negative regulation of G1/S transition of mitotic cell cycle; positive regulation of calcium ion import"
"VIM-AS1",-1.71449698191197,0.999697254482578,0.000781813957922645,"VIM antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"KCNMB4",1.26355334539894,0.999697254482578,0.0032882259457434,"potassium calcium-activated channel subfamily M regulatory beta subunit 4",3,"cGMP-PKG signaling pathway; Vascular smooth muscle contraction; Insulin secretion",12,"neurotransmitter secretion; signal release from synapse; response to metal ion; regulation of trans-synaptic signaling; modulation of chemical synaptic transmission; signal release; response to calcium ion; vascular process in circulatory system; regulation of neurotransmitter levels; regulation of neurotransmitter secretion; response to salt; neurotransmitter transport"
"FABP5",-0.925476772245784,0.999697254482578,0.0105279657583968,"fatty acid binding protein 5",1,"PPAR signaling pathway",44,"phospholipid biosynthetic process; phospholipid metabolic process; glycerophospholipid biosynthetic process; glycerophospholipid metabolic process; intracellular receptor signaling pathway; glycerolipid biosynthetic process; glycerolipid metabolic process; monosaccharide metabolic process; adaptive thermogenesis; hexose metabolic process; fatty acid metabolic process; cold-induced thermogenesis; regulation of cold-induced thermogenesis; temperature homeostasis; regulation of trans-synaptic signaling; glucose metabolic process; regulation of small molecule metabolic process; positive regulation of cold-induced thermogenesis; vascular process in circulatory system; organic acid biosynthetic process; vascular transport; transport across blood-brain barrier; cellular ketone metabolic process; carboxylic acid biosynthetic process; regulation of lipid metabolic process; phosphatidylcholine metabolic process; prostanoid metabolic process; carbohydrate transport; prostaglandin metabolic process; unsaturated fatty acid biosynthetic process; monocarboxylic acid biosynthetic process; phosphatidylcholine biosynthetic process; regulation of nervous system process; lipid transport; unsaturated fatty acid metabolic process; regulation of cellular ketone metabolic process; monosaccharide transmembrane transport; peroxisome proliferator activated receptor signaling pathway; prostaglandin biosynthetic process; prostanoid biosynthetic process; fatty acid biosynthetic process; retrograde trans-synaptic signaling; carbohydrate transmembrane transport; hexose transmembrane transport"
