"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"SLC12A7",-2.22870146698161,0.423330793752861,3.09678707939181e-05,"solute carrier family 12 member 7",1,"Collecting duct acid secretion",6,"regulation of cellular component size; regulation of cell size; cell volume homeostasis; chloride ion homeostasis; monoatomic anion homeostasis; response to carbohydrate"
"SLC12A7",-2.22870146698161,0.423330793752861,3.09678707939181e-05,"solute carrier family 12 member 7",1,"Collecting duct acid secretion",6,"regulation of cellular component size; regulation of cell size; cell volume homeostasis; chloride ion homeostasis; monoatomic anion homeostasis; response to carbohydrate"
"OXNAD1",1.24420770918046,0.999854507061177,0.000942267825519862,"oxidoreductase NAD binding domain containing 1",0,"No KEGG pathway",0,"No GO term"
"BAG3",1.84660977935187,0.999854507061177,0.000221171224602481,"BAG cochaperone 3",0,"No KEGG pathway",60,"macroautophagy; establishment of protein localization to organelle; positive regulation of protein localization; protein localization to nucleus; regulation of autophagy; nucleocytoplasmic transport; nuclear transport; regulation of intracellular transport; microtubule-based transport; vacuole organization; cytoskeleton-dependent intracellular transport; regulation of macroautophagy; transport along microtubule; positive regulation of establishment of protein localization; cellular response to external stimulus; positive regulation of intracellular transport; regulation of intracellular protein transport; microtubule-based movement; regulation of protein stability; positive regulation of protein transport; import into nucleus; regulation of protein localization to nucleus; selective autophagy; extrinsic apoptotic signaling pathway; protein import into nucleus; response to topologically incorrect protein; positive regulation of intracellular protein transport; nuclear export; cellular response to abiotic stimulus; cellular response to environmental stimulus; positive regulation of autophagy; response to unfolded protein; regulation of nucleocytoplasmic transport; autophagosome organization; autophagosome assembly; cellular response to topologically incorrect protein; protein stabilization; positive regulation of protein localization to nucleus; cellular response to unfolded protein; positive regulation of macroautophagy; positive regulation of nucleocytoplasmic transport; extrinsic apoptotic signaling pathway via death domain receptors; cellular response to mechanical stimulus; regulation of protein import into nucleus; response to mechanical stimulus; protein export from nucleus; positive regulation of protein import into nucleus; regulation of DNA-templated transcription in response to stress; protein folding; regulation of protein export from nucleus; regulation of transcription from RNA polymerase II promoter in response to stress; positive regulation of protein export from nucleus; response to heat; cellular response to heat; positive regulation of cellular catabolic process; response to temperature stimulus; muscle cell cellular homeostasis; signal transduction in absence of ligand; extrinsic apoptotic signaling pathway in absence of ligand; chaperone-mediated autophagy"
"KANSL1-AS1",1.30763563092194,0.999854507061177,0.000929606468200433,"KANSL1 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"KANSL1-AS1",1.30763563092194,0.999854507061177,0.000929606468200433,"KANSL1 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"KANSL1-AS1",1.30763563092194,0.999854507061177,0.000929606468200433,"KANSL1 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"PTGDS",1.18454553598729,0.999854507061177,0.0057009730237043,"prostaglandin D2 synthase",0,"No KEGG pathway",34,"establishment of organelle localization; exocytosis; myeloid leukocyte activation; regulated exocytosis; cell activation involved in immune response; leukocyte activation involved in immune response; rhythmic process; fatty acid metabolic process; myeloid cell activation involved in immune response; lysosome localization; vacuolar localization; myeloid leukocyte mediated immunity; circadian rhythm; leukocyte degranulation; response to steroid hormone; regulation of circadian rhythm; mast cell activation; leukocyte mediated immunity; organic acid biosynthetic process; carboxylic acid biosynthetic process; mast cell mediated immunity; mast cell activation involved in immune response; prostanoid metabolic process; prostaglandin metabolic process; mast cell degranulation; long-chain fatty acid metabolic process; unsaturated fatty acid biosynthetic process; monocarboxylic acid biosynthetic process; unsaturated fatty acid metabolic process; prostaglandin biosynthetic process; prostanoid biosynthetic process; regulation of reproductive process; fatty acid biosynthetic process; germ cell proliferation"
"C17orf67",1.70600366086201,0.999854507061177,0.000366259833379556,"chromosome 17 open reading frame 67",0,"No KEGG pathway",0,"No GO term"
"PDE4B",1.36789266708635,0.999854507061177,0.00255440566046159,"phosphodiesterase 4B",4,"Purine metabolism; Parathyroid hormone synthesis, secretion and action; Morphine addiction; cAMP signaling pathway",63,"immune response-regulating signaling pathway; immune response-activating signaling pathway; regulation of actin filament-based process; ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; immune response-regulating cell surface receptor signaling pathway; purine ribonucleotide metabolic process; immune response-activating cell surface receptor signaling pathway; leukocyte migration; homeostasis of number of cells; antigen receptor-mediated signaling pathway; positive regulation of cytokine production; nucleoside phosphate catabolic process; chemotaxis; T cell receptor signaling pathway; taxis; organophosphate catabolic process; leukocyte chemotaxis; nucleotide catabolic process; myeloid cell homeostasis; carbohydrate derivative catabolic process; myeloid leukocyte migration; leukocyte homeostasis; interleukin-2 production; regulation of interleukin-2 production; response to lipopolysaccharide; neutrophil migration; cell chemotaxis; ribonucleotide catabolic process; positive regulation of interleukin-2 production; response to molecule of bacterial origin; granulocyte migration; granulocyte chemotaxis; neutrophil chemotaxis; purine nucleotide catabolic process; purine-containing compound catabolic process; purine ribonucleotide catabolic process; nucleobase-containing compound catabolic process; positive regulation of type II interferon production; cellular response to biotic stimulus; actin filament-based movement; type II interferon production; regulation of type II interferon production; neutrophil homeostasis; cyclic nucleotide catabolic process; cellular response to lipopolysaccharide; cellular response to molecule of bacterial origin; cyclic nucleotide metabolic process; cyclic purine nucleotide metabolic process; cAMP metabolic process; cellular response to xenobiotic stimulus; response to xenobiotic stimulus; cardiac muscle cell contraction; regulation of actin filament-based movement; calcium ion transport; regulation of cardiac muscle cell contraction; actin-mediated cell contraction; heart process; regulation of calcium ion transport; regulation of metal ion transport; calcium ion transmembrane transport"
"NPIPB5",-1.25081139434862,0.999854507061177,0.00144814030125543,"nuclear pore complex interacting protein family member B5",0,"No KEGG pathway",0,"No GO term"
"NPIPB5",-1.25081139434862,0.999854507061177,0.00144814030125543,"nuclear pore complex interacting protein family member B5",0,"No KEGG pathway",0,"No GO term"
"HMOX1",1.11676377465266,0.999854507061177,0.00235233565214551,"heme oxygenase 1",6,"Fluid shear stress and atherosclerosis; Hepatocellular carcinoma; Chemical carcinogenesis - reactive oxygen species; HIF-1 signaling pathway; Ferroptosis; Mineral absorption",75,"macroautophagy; regulation of autophagy; regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; regulation of macroautophagy; positive regulation of canonical NF-kappaB signal transduction; leukocyte migration; response to oxidative stress; cellular response to chemical stress; extrinsic apoptotic signaling pathway; wound healing; regulation of leukocyte migration; regulation of apoptotic signaling pathway; positive regulation of autophagy; homeostasis of number of cells; negative regulation of catabolic process; cellular response to oxidative stress; positive regulation of cytokine production; regulation of DNA-binding transcription factor activity; response to oxygen levels; response to reactive oxygen species; regulation of extrinsic apoptotic signaling pathway; positive regulation of macroautophagy; myeloid cell homeostasis; response to decreased oxygen levels; response to hydrogen peroxide; response to hypoxia; extrinsic apoptotic signaling pathway via death domain receptors; response to metal ion; negative regulation of apoptotic signaling pathway; negative regulation of macroautophagy; negative regulation of cellular catabolic process; erythrocyte homeostasis; cellular response to inorganic substance; regulation of DNA-templated transcription in response to stress; negative regulation of autophagy; negative regulation of extrinsic apoptotic signaling pathway; cellular response to metal ion; intracellular iron ion homeostasis; regulation of transcription from RNA polymerase II promoter in response to stress; regulation of extrinsic apoptotic signaling pathway via death domain receptors; ameboidal-type cell migration; cellular response to oxygen levels; positive regulation of chemokine production; positive regulation of epithelial cell migration; cellular response to decreased oxygen levels; negative regulation of leukocyte migration; epithelial cell proliferation; cellular response to hypoxia; positive regulation of angiogenesis; positive regulation of vasculature development; positive regulation of epithelial cell proliferation; response to heat; cellular response to heat; positive regulation of cellular catabolic process; chemokine production; regulation of chemokine production; response to temperature stimulus; epithelial cell migration; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; epithelial cell apoptotic process; response to iron ion; multicellular organismal-level iron ion homeostasis; regulation of epithelial cell proliferation; epithelium migration; tissue migration; multicellular organismal-level chemical homeostasis; response to cadmium ion; cellular response to arsenic-containing substance; response to arsenic-containing substance; heme metabolic process; positive regulation of endothelial cell proliferation; tetrapyrrole metabolic process; cellular response to cadmium ion; inflammatory response to wounding"
"NUDT2",1.11536556732634,0.999854507061177,0.00290930687985971,"nudix hydrolase 2",2,"Purine metabolism; Pyrimidine metabolism",35,"ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; purine ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; response to oxidative stress; cellular response to chemical stress; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; purine-containing compound biosynthetic process; cellular response to oxidative stress; purine nucleotide biosynthetic process; nucleoside monophosphate metabolic process; ribonucleoside monophosphate metabolic process; nucleoside triphosphate metabolic process; purine nucleoside monophosphate metabolic process; purine ribonucleoside monophosphate metabolic process; ribonucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; nucleoside monophosphate biosynthetic process; ribonucleoside monophosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside monophosphate biosynthetic process; ATP biosynthetic process; purine ribonucleoside monophosphate biosynthetic process; ATP metabolic process; AMP metabolic process; AMP biosynthetic process"
"ZNF683",1.67001847948548,0.999854507061177,0.00130012511061222,"zinc finger protein 683",0,"No KEGG pathway",19,"T cell differentiation; mononuclear cell differentiation; regulation of T cell activation; lymphocyte differentiation; regulation of immune effector process; alpha-beta T cell activation; regulation of lymphocyte differentiation; regulation of leukocyte differentiation; cell activation involved in immune response; regulation of T cell differentiation; leukocyte activation involved in immune response; regulation of hemopoiesis; alpha-beta T cell differentiation; regulation of alpha-beta T cell activation; lymphocyte activation involved in immune response; regulation of alpha-beta T cell differentiation; regulation of natural killer cell activation; natural killer cell differentiation; NK T cell differentiation"
"CYP2R1",1.01815181072226,0.999854507061177,0.00462669113213406,"cytochrome P450 family 2 subfamily R member 1",1,"Steroid biosynthesis",12,"response to ionizing radiation; response to radiation; response to metal ion; alcohol metabolic process; vitamin metabolic process; polyol metabolic process; vitamin biosynthetic process; alcohol biosynthetic process; polyol biosynthetic process; cellular response to xenobiotic stimulus; response to xenobiotic stimulus; organic hydroxy compound biosynthetic process"
"CIMAP2",1.33210015260991,0.999854507061177,0.00133630570114483,"ciliary microtubule associated protein 2",0,"No KEGG pathway",0,"No GO term"
