"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"ATP5PO",-2.34458898613237,0.0501782264934675,1.28201907239314e-05,"ATP synthase peripheral stalk subunit OSCP",10,"Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Huntington disease; Alzheimer disease; Thermogenesis; Parkinson disease; Prion disease; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy; Oxidative phosphorylation",29,"ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; purine ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; cellular respiration; energy derivation by oxidation of organic compounds; nucleoside triphosphate metabolic process; aerobic respiration; ribonucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; oxidative phosphorylation; ATP biosynthetic process; ATP metabolic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport"
"ITPR1",-1.93008195654217,0.349836294358378,0.000268142279784142,"inositol 1,4,5-trisphosphate receptor type 1",48,"Pathways of neurodegeneration - multiple diseases; Autophagy - animal; Cellular senescence; Huntington disease; Alzheimer disease; Apoptosis; Shigellosis; Phosphatidylinositol signaling system; Spinocerebellar ataxia; Proteoglycans in cancer; Parkinson disease; Prion disease; Human immunodeficiency virus 1 infection; C-type lectin receptor signaling pathway; Platelet activation; Human cytomegalovirus infection; Kaposi sarcoma-associated herpesvirus infection; Lipid and atherosclerosis; Parathyroid hormone synthesis, secretion and action; Apelin signaling pathway; Osteoclast differentiation; Oxytocin signaling pathway; Long-term potentiation; Long-term depression; Oocyte meiosis; GnRH signaling pathway; cGMP-PKG signaling pathway; Growth hormone synthesis, secretion and action; Inflammatory mediator regulation of TRP channels; Vascular smooth muscle contraction; Dopaminergic synapse; NOD-like receptor signaling pathway; Gap junction; Circadian entrainment; Renin secretion; Cushing syndrome; Thyroid hormone synthesis; Glutamatergic synapse; GnRH secretion; Estrogen signaling pathway; Cholinergic synapse; Glucagon signaling pathway; Calcium signaling pathway; Aldosterone synthesis and secretion; Retrograde endocannabinoid signaling; Gastric acid secretion; Pancreatic secretion; Salivary secretion",55,"positive regulation of protein localization; regulation of autophagy; response to endoplasmic reticulum stress; positive regulation of establishment of protein localization; positive regulation of protein transport; intrinsic apoptotic signaling pathway; maintenance of location; maintenance of location in cell; response to oxygen levels; response to decreased oxygen levels; response to hypoxia; positive regulation of secretion by cell; protein secretion; calcium-mediated signaling; establishment of protein localization to extracellular region; post-embryonic development; positive regulation of protein secretion; protein localization to extracellular region; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; positive regulation of secretion; regulation of protein secretion; intracellular calcium ion homeostasis; regulation of calcium-mediated signaling; second-messenger-mediated signaling; calcium ion homeostasis; sequestering of calcium ion; signal release; endoplasmic reticulum calcium ion homeostasis; regulation of sequestering of calcium ion; regulation of insulin secretion; regulation of peptide transport; cellular response to salt; peptide secretion; negative regulation of sequestering of calcium ion; regulation of peptide secretion; release of sequestered calcium ion into cytosol; regulation of peptide hormone secretion; amide transport; peptide hormone secretion; peptide transport; insulin secretion; response to salt; positive regulation of insulin secretion; regulation of hormone secretion; hormone secretion; positive regulation of hormone secretion; hormone transport; positive regulation of peptide secretion; calcium ion transport; calcium ion transmembrane import into cytosol; negative regulation of calcium-mediated signaling; positive regulation of peptide hormone secretion; epithelial fluid transport; ligand-gated ion channel signaling pathway; calcium ion transmembrane transport"
"AIMP1",-2.06279950761325,0.349836294358378,0.000255089320229818,"aminoacyl tRNA synthetase complex interacting multifunctional protein 1",0,"No KEGG pathway",22,"leukocyte migration; response to virus; defense response to virus; defense response to symbiont; positive regulation of secretion by cell; positive regulation of secretion; signal release; regulation of peptide transport; peptide secretion; regulation of peptide secretion; regulation of peptide hormone secretion; amide transport; peptide hormone secretion; peptide transport; epithelial cell proliferation; regulation of hormone secretion; hormone secretion; regulation of epithelial cell proliferation; positive regulation of hormone secretion; hormone transport; positive regulation of peptide secretion; positive regulation of peptide hormone secretion"
"EIF4E",-1.9945767134231,0.677818759941444,0.000692712069434281,"eukaryotic translation initiation factor 4E",6,"EGFR tyrosine kinase inhibitor resistance; mTOR signaling pathway; PI3K-Akt signaling pathway; HIF-1 signaling pathway; Insulin signaling pathway; Longevity regulating pathway",19,"nucleocytoplasmic transport; nuclear transport; mitotic cell cycle phase transition; nuclear export; translational initiation; stem cell population maintenance; maintenance of cell number; positive regulation of cell cycle; G1/S transition of mitotic cell cycle; cell cycle G1/S phase transition; cellular response to ketone; cellular response to steroid hormone stimulus; regulation of trans-synaptic signaling; modulation of chemical synaptic transmission; positive regulation of mitotic cell cycle; response to ketone; response to steroid hormone; cellular response to corticosteroid stimulus; cellular response to dexamethasone stimulus"
"ELOB",-2.05765879556899,0.740633179002548,0.00094613334057556,"elongin B",4,"Ubiquitin mediated proteolysis; Renal cell carcinoma; Human immunodeficiency virus 1 infection; HIF-1 signaling pathway",19,"proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of protein catabolic process; positive regulation of proteolysis; positive regulation of protein catabolic process; regulation of proteolysis involved in protein catabolic process; regulation of proteasomal protein catabolic process; DNA-templated transcription elongation; regulation of ubiquitin-dependent protein catabolic process; regulation of proteasomal ubiquitin-dependent protein catabolic process; transcription elongation by RNA polymerase II; positive regulation of proteasomal protein catabolic process; positive regulation of proteolysis involved in protein catabolic process; positive regulation of ubiquitin-dependent protein catabolic process; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; miRNA metabolic process; ncRNA catabolic process; nucleobase-containing compound catabolic process; DNA-templated transcription initiation; transcription initiation at RNA polymerase II promoter"
"STXBP4",-1.53707937775215,0.998503765891735,0.00243622381300768,"syntaxin binding protein 4",0,"No KEGG pathway",47,"protein targeting; regulation of protein stability; regulation of cell cycle phase transition; protein stabilization; positive regulation of cell cycle; cellular response to peptide; response to peptide hormone; response to insulin; cell cycle G1/S phase transition; cellular response to insulin stimulus; protein secretion; response to type II interferon; establishment of protein localization to extracellular region; cellular response to peptide hormone stimulus; protein localization to extracellular region; positive regulation of cell cycle process; regulation of protein secretion; cellular response to type II interferon; insulin receptor signaling pathway; signal release; regulation of insulin secretion; regulation of peptide transport; peptide secretion; regulation of peptide secretion; regulation of peptide hormone secretion; amide transport; peptide hormone secretion; peptide transport; insulin secretion involved in cellular response to glucose stimulus; epithelial cell proliferation; insulin secretion; regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of epithelial cell proliferation; positive regulation of cell cycle phase transition; regulation of postsynaptic membrane neurotransmitter receptor levels; regulation of hormone secretion; regulation of cell cycle G1/S phase transition; carbohydrate transport; hormone secretion; regulation of epithelial cell proliferation; regulation of keratinocyte proliferation; hormone transport; keratinocyte proliferation; monosaccharide transmembrane transport; response to carbohydrate; carbohydrate transmembrane transport; hexose transmembrane transport"
"VPS50",-1.52000715720344,0.998503765891735,0.00303487661851105,"VPS50 subunit of EARP/GARPII complex",0,"No KEGG pathway",3,"endosomal transport; vesicle-mediated transport to the plasma membrane; endocytic recycling"
"IGBP1",-1.69591530190487,0.998503765891735,0.00219801481928665,"immunoglobulin binding protein 1",2,"Autophagy - animal; Autophagy - other",23,"microtubule-based movement; regulation of microtubule-based process; dephosphorylation; stress-activated protein kinase signaling cascade; stress-activated MAPK cascade; B cell activation; regulation of cysteine-type endopeptidase activity involved in apoptotic process; regulation of cysteine-type endopeptidase activity; regulation of stress-activated protein kinase signaling cascade; regulation of stress-activated MAPK cascade; response to tumor necrosis factor; regulation of dephosphorylation; regulation of peptidase activity; response to interleukin-1; negative regulation of catalytic activity; regulation of endopeptidase activity; negative regulation of MAPK cascade; negative regulation of stress-activated MAPK cascade; negative regulation of stress-activated protein kinase signaling cascade; negative regulation of proteolysis; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process; regulation of microtubule-based movement; negative regulation of cysteine-type endopeptidase activity"
"DHX32",-1.55707922038966,0.998503765891735,0.00317704397030484,"DEAH-box helicase 32 (putative)",0,"No KEGG pathway",0,"No GO term"
"ATP5PD",-1.79684183732913,0.998503765891735,0.00207250704713632,"ATP synthase peripheral stalk subunit d",10,"Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Huntington disease; Alzheimer disease; Thermogenesis; Parkinson disease; Prion disease; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy; Oxidative phosphorylation",29,"ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; purine ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; cellular respiration; energy derivation by oxidation of organic compounds; nucleoside triphosphate metabolic process; aerobic respiration; ribonucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; oxidative phosphorylation; ATP biosynthetic process; ATP metabolic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport"
