"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"CSNK2B",1.76583748390531,0.824632985820306,0.000349717127150257,"casein kinase 2 beta",10,"Pathways of neurodegeneration - multiple diseases; Alzheimer disease; NF-kappa B signaling pathway; Adherens junction; Mitophagy - animal; Polycomb repressive complex; PD-L1 expression and PD-1 checkpoint pathway in cancer; Prion disease; Wnt signaling pathway; Measles",22,"viral process; regulation of binding; viral life cycle; cell-cell signaling by wnt; Wnt signaling pathway; epithelial tube morphogenesis; peptidyl-threonine modification; regulation of viral process; regulation of viral life cycle; regulation of DNA binding; peptidyl-threonine phosphorylation; endothelium development; ameboidal-type cell migration; negative regulation of viral process; hormone-mediated signaling pathway; morphogenesis of an endothelium; endothelial tube morphogenesis; epithelial cell migration; epithelium migration; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"ADGRG3",1.96059965131179,0.824632985820306,0.00026851075753553,"adhesion G protein-coupled receptor G3",0,"No KEGG pathway",8,"mononuclear cell differentiation; lymphocyte differentiation; B cell activation; regulation of DNA-binding transcription factor activity; non-canonical NF-kappaB signal transduction; regulation of non-canonical NF-kappaB signal transduction; negative regulation of DNA-binding transcription factor activity; B cell differentiation"
"COQ6",1.59249435506571,0.824632985820306,0.000246159411542444,"coenzyme Q6, monooxygenase",2,"Biosynthesis of cofactors; Ubiquinone and other terpenoid-quinone biosynthesis",6,"ubiquinone metabolic process; quinone metabolic process; ubiquinone biosynthetic process; quinone biosynthetic process; cellular ketone metabolic process; ketone biosynthetic process"
"AUH",1.54136414629035,0.824632985820306,0.000341011271802905,"AU RNA binding methylglutaconyl-CoA hydratase",1,"Valine, leucine and isoleucine degradation",18,"small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; amino acid metabolic process; fatty acid beta-oxidation; fatty acid oxidation; fatty acid catabolic process; monocarboxylic acid catabolic process; lipid oxidation; cellular lipid catabolic process; lipid modification; fatty acid metabolic process; lipid catabolic process; branched-chain amino acid metabolic process; branched-chain amino acid catabolic process; alpha-amino acid metabolic process; amino acid catabolic process; alpha-amino acid catabolic process"
