"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"HSPA6",1.56959943641039,0.997456231420016,0.000445147315044051,"heat shock protein family A (Hsp70) member 6",10,"Endocytosis; Protein processing in endoplasmic reticulum; MAPK signaling pathway; Prion disease; Lipid and atherosclerosis; Measles; Legionellosis; Toxoplasmosis; Longevity regulating pathway - multiple species; Estrogen signaling pathway",10,"response to topologically incorrect protein; response to unfolded protein; protein folding; 'de novo' protein folding; chaperone-mediated protein folding; 'de novo' post-translational protein folding; response to heat; cellular response to heat; chaperone cofactor-dependent protein refolding; response to temperature stimulus"
"EIF4G3",-0.802986049734003,0.997456231420016,0.00187813178293065,"eukaryotic translation initiation factor 4 gamma 3",1,"Viral myocarditis",4,"positive regulation of amide metabolic process; positive regulation of translation; translational initiation; regulation of translational initiation"
"PACSIN2",-0.625172965832959,0.997456231420016,0.00254669773063526,"protein kinase C and casein kinase substrate in neurons 2",0,"No KEGG pathway",11,"regulation of endocytosis; membrane biogenesis; protein localization to endosome; membrane assembly; regulation of trans-synaptic signaling; modulation of chemical synaptic transmission; plasma membrane tubulation; negative regulation of endocytosis; membrane raft organization; plasma membrane organization; caveolin-mediated endocytosis"
"QSOX1",0.60598233685421,0.997456231420016,0.00426311208523708,"quiescin sulfhydryl oxidase 1",0,"No KEGG pathway",12,"macroautophagy; regulation of autophagy; regulation of macroautophagy; extracellular structure organization; extracellular matrix organization; negative regulation of catabolic process; external encapsulating structure organization; negative regulation of macroautophagy; negative regulation of cellular catabolic process; protein folding; negative regulation of autophagy; extracellular matrix assembly"
"C11orf24",0.739983294077666,0.997456231420016,0.00139647583273501,"chromosome 11 open reading frame 24",0,"No KEGG pathway",0,"No GO term"
"DOK2",0.722742838971707,0.997456231420016,0.00630076006991513,"docking protein 2",1,"IgSF CAM signaling",3,"small GTPase mediated signal transduction; Ras protein signal transduction; positive regulation of MAPK cascade"
"OSBPL8",-0.532854391288848,0.997456231420016,0.00491584085623211,"oxysterol binding protein like 8",0,"No KEGG pathway",34,"protein localization to nucleus; positive regulation of transferase activity; phospholipid metabolic process; glycerophospholipid metabolic process; positive regulation of kinase activity; glycerolipid metabolic process; positive regulation of protein kinase activity; maintenance of location; cellular modified amino acid metabolic process; cellular response to peptide; response to peptide hormone; response to insulin; cellular response to insulin stimulus; cellular response to peptide hormone stimulus; phospholipid transport; organophosphate ester transport; fat cell differentiation; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; insulin receptor signaling pathway; activation of protein kinase activity; phosphatidylinositol 3-kinase/protein kinase B signal transduction; protein localization to nuclear envelope; positive regulation of transmembrane transport; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; carbohydrate transport; regulation of insulin receptor signaling pathway; lipid storage; phosphatidylserine metabolic process; intermembrane lipid transfer; lipid transport; regulation of cellular response to insulin stimulus; monosaccharide transmembrane transport; carbohydrate transmembrane transport; hexose transmembrane transport"
"RAB8A",0.604343017998316,0.997456231420016,0.00524704027150917,"RAB8A, member RAS oncogene family",7,"Endocytosis; Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Autophagy - animal; Tight junction; AMPK signaling pathway; Pancreatic secretion",51,"vesicle organization; cilium organization; cilium assembly; Golgi vesicle transport; regulation of autophagy; endosomal transport; protein localization to cell periphery; protein localization to plasma membrane; exocytosis; establishment of protein localization to membrane; vesicle-mediated transport to the plasma membrane; membrane docking; organelle localization by membrane tethering; vesicle-mediated transport in synapse; organelle membrane fusion; protein-containing complex localization; organelle fusion; vesicle fusion; exocytic process; vesicle docking; regulation of exocytosis; endocytic recycling; establishment of protein localization to plasma membrane; Golgi organization; cellular response to peptide; response to peptide hormone; vesicle docking involved in exocytosis; axonogenesis; response to insulin; protein localization to cilium; cellular response to insulin stimulus; protein secretion; protein localization to cell junction; establishment of protein localization to extracellular region; cellular response to peptide hormone stimulus; protein localization to extracellular region; regulation of trans-synaptic signaling; modulation of chemical synaptic transmission; membrane fusion; neurotransmitter receptor transport to plasma membrane; establishment of protein localization to postsynaptic membrane; neurotransmitter receptor transport to postsynaptic membrane; protein localization to synapse; neurotransmitter receptor transport, endosome to postsynaptic membrane; neurotransmitter receptor transport, endosome to plasma membrane; endosome to plasma membrane protein transport; regulation of postsynaptic membrane neurotransmitter receptor levels; receptor localization to synapse; protein localization to postsynapse; regulation of long-term neuronal synaptic plasticity; protein localization to postsynaptic membrane"
"IL2RG",0.950520418117797,0.997456231420016,0.00439553958898895,"interleukin 2 receptor subunit gamma",8,"Endocytosis; Human T-cell leukemia virus 1 infection; PI3K-Akt signaling pathway; Measles; Viral protein interaction with cytokine and cytokine receptor; Th17 cell differentiation; Primary immunodeficiency; Th1 and Th2 cell differentiation",61,"positive regulation of cell adhesion; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; T cell differentiation; positive regulation of cell activation; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; lymphocyte differentiation; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; positive regulation of leukocyte cell-cell adhesion; phagocytosis; alpha-beta T cell activation; regulation of leukocyte cell-cell adhesion; regulation of B cell activation; positive regulation of T cell activation; regulation of lymphocyte differentiation; regulation of leukocyte differentiation; regulation of endocytosis; B cell activation; positive regulation of cell development; regulation of T cell differentiation; positive regulation of lymphocyte differentiation; regulation of hemopoiesis; positive regulation of leukocyte differentiation; positive regulation of hemopoiesis; alpha-beta T cell differentiation; regulation of alpha-beta T cell activation; positive regulation of B cell activation; CD4-positive, alpha-beta T cell activation; positive regulation of T cell differentiation; positive regulation of endocytosis; CD4-positive, alpha-beta T cell differentiation; T cell differentiation in thymus; positive regulation of alpha-beta T cell activation; cellular response to interleukin-4; regulation of alpha-beta T cell differentiation; regulation of CD4-positive, alpha-beta T cell activation; response to interleukin-4; positive regulation of alpha-beta T cell differentiation; regulation of CD4-positive, alpha-beta T cell differentiation; positive regulation of CD4-positive, alpha-beta T cell activation; regulation of B cell differentiation; response to interleukin-7; regulation of phagocytosis; cellular response to interleukin-7; response to interleukin-15; positive regulation of CD4-positive, alpha-beta T cell differentiation; interleukin-15-mediated signaling pathway; cellular response to interleukin-15; mature B cell differentiation; regulation of T cell differentiation in thymus; positive regulation of B cell differentiation; B cell differentiation; positive regulation of phagocytosis; positive regulation of T cell differentiation in thymus; regulatory T cell differentiation; interleukin-4-mediated signaling pathway; regulation of regulatory T cell differentiation; positive regulation of regulatory T cell differentiation"
"LRCH1",-0.787063458428139,0.997456231420016,0.00168451875409387,"leucine rich repeats and calponin homology domain containing 1",0,"No KEGG pathway",15,"regulation of GTPase activity; leukocyte migration; regulation of leukocyte migration; regulation of mononuclear cell migration; mononuclear cell migration; regulation of lymphocyte migration; T cell migration; lymphocyte migration; negative regulation of catalytic activity; regulation of T cell migration; response to chemokine; cellular response to chemokine; negative regulation of lymphocyte migration; negative regulation of leukocyte migration; negative regulation of mononuclear cell migration"
