"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"RHOC",1.79466162571623,0.909391208479747,0.000316351330695584,"ras homolog family member C",0,"No KEGG pathway",37,"small GTPase mediated signal transduction; regulation of protein-containing complex assembly; actin filament organization; regulation of supramolecular fiber organization; regulation of actin filament-based process; regulation of actin cytoskeleton organization; regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; positive regulation of protein-containing complex assembly; regulation of actin filament organization; positive regulation of canonical NF-kappaB signal transduction; positive regulation of cytoskeleton organization; wound healing; cell junction assembly; cytoskeleton-dependent cytokinesis; positive regulation of supramolecular fiber organization; mitotic cytokinesis; cytokinesis; cell-cell junction organization; actin filament bundle assembly; actin filament bundle organization; actomyosin structure organization; contractile actin filament bundle assembly; stress fiber assembly; regulation of actin filament bundle assembly; regulation of stress fiber assembly; morphogenesis of an epithelial sheet; cell-cell junction assembly; regulation of actomyosin structure organization; positive regulation of actin filament bundle assembly; positive regulation of stress fiber assembly; epiboly; wound healing, spreading of cells; epiboly involved in wound healing; apical junction assembly; positive regulation of lipase activity; regulation of lipase activity"
"MARCHF3",1.75436652190065,0.909391208479747,0.000506874546231903,"membrane associated ring-CH-type finger 3",0,"No KEGG pathway",0,"No GO term"
"KLF2",1.80492191414279,0.909391208479747,0.00083206067567801,"KLF transcription factor 2",3,"Fluid shear stress and atherosclerosis; FoxO signaling pathway; Apelin signaling pathway",54,"in utero embryonic development; intracellular receptor signaling pathway; respiratory tube development; respiratory system development; response to oxidative stress; lung development; cellular response to chemical stress; homeostasis of number of cells; cellular response to oxidative stress; response to reactive oxygen species; myeloid cell homeostasis; myeloid cell differentiation; epigenetic regulation of gene expression; response to hydrogen peroxide; cellular response to peptide; response to tumor necrosis factor; cellular response to reactive oxygen species; lung epithelium development; cellular response to hydrogen peroxide; erythrocyte homeostasis; cellular response to tumor necrosis factor; cellular response to ketone; multicellular organism growth; erythrocyte differentiation; cellular response to interleukin-1; response to interleukin-1; regulation of DNA-templated transcription in response to stress; response to alcohol; reactive nitrogen species metabolic process; nitric oxide metabolic process; cellular response to alcohol; response to ketone; myeloid cell development; nitric oxide biosynthetic process; response to fluid shear stress; regulation of transcription from RNA polymerase II promoter in response to stress; cellular response to acid chemical; response to acid chemical; vascular process in circulatory system; developmental maturation; lung cell differentiation; lung epithelial cell differentiation; retinoic acid receptor signaling pathway; regulation of nitric oxide metabolic process; positive regulation of transcription from RNA polymerase II promoter in response to stress; positive regulation of nitric oxide metabolic process; regulation of nitric oxide biosynthetic process; positive regulation of nitric oxide biosynthetic process; cellular response to fluid shear stress; erythrocyte development; response to laminar fluid shear stress; erythrocyte maturation; regulation of retinoic acid receptor signaling pathway; anatomical structure maturation"
"MACROH2A2",-2.11990855072496,0.909391208479747,0.00026695161493586,"macroH2A.2 histone",2,"ATP-dependent chromatin remodeling; Necroptosis",21,"establishment of protein localization to organelle; rRNA metabolic process; ncRNA transcription; regulation of ncRNA transcription; epigenetic regulation of gene expression; rRNA transcription; transcription by RNA polymerase I; negative regulation of gene expression, epigenetic; regulation of transcription by RNA polymerase I; dosage compensation; nucleolar large rRNA transcription by RNA polymerase I; protein localization to chromosome; regulation of transcription of nucleolar large rRNA by RNA polymerase I; establishment of protein localization to chromosome; negative regulation of transcription by RNA polymerase I; positive regulation of epidermal cell differentiation; regulation of epidermis development; positive regulation of epidermis development; regulation of epidermal cell differentiation; positive regulation of keratinocyte differentiation; regulation of keratinocyte differentiation"
"AFF4",1.59186871663824,0.909391208479747,0.00120777143857176,"ALF transcription elongation factor 4",1,"Viral life cycle - HIV-1",1,"response to endoplasmic reticulum stress"
"HSPA6",1.99223508024261,0.909391208479747,0.000719203510767287,"heat shock protein family A (Hsp70) member 6",10,"Endocytosis; Protein processing in endoplasmic reticulum; MAPK signaling pathway; Prion disease; Lipid and atherosclerosis; Measles; Legionellosis; Toxoplasmosis; Longevity regulating pathway - multiple species; Estrogen signaling pathway",10,"response to topologically incorrect protein; response to unfolded protein; protein folding; 'de novo' protein folding; chaperone-mediated protein folding; 'de novo' post-translational protein folding; response to heat; cellular response to heat; chaperone cofactor-dependent protein refolding; response to temperature stimulus"
"NXT1",1.60541485043114,0.909391208479747,0.00131329148077973,"nuclear transport factor 2 like export factor 1",4,"Amyotrophic lateral sclerosis; Nucleocytoplasmic transport; mRNA surveillance pathway; Influenza A",12,"nucleocytoplasmic transport; nuclear transport; RNA localization; nuclear export; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; RNA export from nucleus; protein export from nucleus; mRNA export from nucleus"
"PHLDA2",1.5365662230707,0.909391208479747,0.0017347750889389,"pleckstrin homology like domain family A member 2",0,"No KEGG pathway",13,"in utero embryonic development; energy derivation by oxidation of organic compounds; embryonic placenta development; placenta development; regulation of embryonic development; regulation of carbohydrate metabolic process; embryonic organ development; regulation of generation of precursor metabolites and energy; polysaccharide metabolic process; glucan metabolic process; glycogen metabolic process; energy reserve metabolic process; regulation of polysaccharide metabolic process"
"PHLDA2",1.5365662230707,0.909391208479747,0.0017347750889389,"pleckstrin homology like domain family A member 2",0,"No KEGG pathway",13,"in utero embryonic development; energy derivation by oxidation of organic compounds; embryonic placenta development; placenta development; regulation of embryonic development; regulation of carbohydrate metabolic process; embryonic organ development; regulation of generation of precursor metabolites and energy; polysaccharide metabolic process; glucan metabolic process; glycogen metabolic process; energy reserve metabolic process; regulation of polysaccharide metabolic process"
"BAG3",1.77114562280525,0.909391208479747,0.00117625296274349,"BAG cochaperone 3",0,"No KEGG pathway",60,"macroautophagy; establishment of protein localization to organelle; positive regulation of protein localization; protein localization to nucleus; regulation of autophagy; nucleocytoplasmic transport; nuclear transport; regulation of intracellular transport; microtubule-based transport; vacuole organization; cytoskeleton-dependent intracellular transport; regulation of macroautophagy; transport along microtubule; positive regulation of establishment of protein localization; cellular response to external stimulus; positive regulation of intracellular transport; regulation of intracellular protein transport; microtubule-based movement; regulation of protein stability; positive regulation of protein transport; import into nucleus; regulation of protein localization to nucleus; selective autophagy; extrinsic apoptotic signaling pathway; protein import into nucleus; response to topologically incorrect protein; positive regulation of intracellular protein transport; nuclear export; cellular response to abiotic stimulus; cellular response to environmental stimulus; positive regulation of autophagy; response to unfolded protein; regulation of nucleocytoplasmic transport; autophagosome organization; autophagosome assembly; cellular response to topologically incorrect protein; protein stabilization; positive regulation of protein localization to nucleus; cellular response to unfolded protein; positive regulation of macroautophagy; positive regulation of nucleocytoplasmic transport; extrinsic apoptotic signaling pathway via death domain receptors; cellular response to mechanical stimulus; regulation of protein import into nucleus; response to mechanical stimulus; protein export from nucleus; positive regulation of protein import into nucleus; regulation of DNA-templated transcription in response to stress; protein folding; regulation of protein export from nucleus; regulation of transcription from RNA polymerase II promoter in response to stress; positive regulation of protein export from nucleus; response to heat; cellular response to heat; positive regulation of cellular catabolic process; response to temperature stimulus; muscle cell cellular homeostasis; signal transduction in absence of ligand; extrinsic apoptotic signaling pathway in absence of ligand; chaperone-mediated autophagy"
"BTG2",1.50397886283337,0.909391208479747,0.00259809080624808,"BTG anti-proliferation factor 2",1,"RNA degradation",33,"negative regulation of cell cycle; nuclear-transcribed mRNA catabolic process; negative regulation of mitotic cell cycle; regulation of nervous system development; response to mechanical stimulus; nuclear-transcribed mRNA poly(A) tail shortening; neuron apoptotic process; response to peptide hormone; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; regulation of neurogenesis; regulation of neuron apoptotic process; nucleobase-containing compound catabolic process; telencephalon development; regulation of nuclear-transcribed mRNA poly(A) tail shortening; negative regulation of cell development; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; muscle organ development; negative regulation of neuron apoptotic process; muscle tissue development; pallium development; learning; forebrain development; central nervous system neuron development; positive regulation of cellular catabolic process; learning or memory; negative regulation of nervous system development; cognition; negative regulation of neurogenesis; neural precursor cell proliferation; skeletal muscle organ development; skeletal muscle tissue development; negative regulation of neural precursor cell proliferation; skeletal muscle cell differentiation"
"EDEM1",1.6654205224191,0.909391208479747,0.00097848239988468,"ER degradation enhancing alpha-mannosidase like protein 1",1,"Protein processing in endoplasmic reticulum",26,"proteasome-mediated ubiquitin-dependent protein catabolic process; establishment of protein localization to organelle; positive regulation of protein localization; regulation of intracellular transport; response to endoplasmic reticulum stress; protein targeting; positive regulation of establishment of protein localization; positive regulation of intracellular transport; regulation of intracellular protein transport; positive regulation of protein transport; response to topologically incorrect protein; positive regulation of intracellular protein transport; ERAD pathway; response to unfolded protein; glycoprotein metabolic process; ubiquitin-dependent ERAD pathway; carbohydrate derivative catabolic process; protein exit from endoplasmic reticulum; protein localization to endoplasmic reticulum; retrograde protein transport, ER to cytosol; endoplasmic reticulum to cytosol transport; establishment of protein localization to endoplasmic reticulum; protein deglycosylation; protein targeting to ER; regulation of protein exit from endoplasmic reticulum; glycoprotein catabolic process"
"MRPL18",1.49528944088431,0.909391208479747,0.00199177293405328,"mitochondrial ribosomal protein L18",1,"Ribosome",8,"mitochondrial gene expression; mitochondrial translation; RNA localization; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mitochondrial transmembrane transport"
"HSPD1",1.43693627478792,0.909391208479747,0.00302949990770707,"heat shock protein family D (Hsp60) member 1",4,"RNA degradation; Lipid and atherosclerosis; Legionellosis; Tuberculosis",112,"establishment of protein localization to organelle; immune response-regulating signaling pathway; DNA recombination; immune response-activating signaling pathway; positive regulation of cell adhesion; positive regulation of proteolysis; protein targeting; regulation of innate immune response; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; positive regulation of innate immune response; regulation of protein stability; positive regulation of cell activation; regulation of cell-cell adhesion; regulation of T cell activation; positive regulation of defense response; response to topologically incorrect protein; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; activation of innate immune response; positive regulation of response to biotic stimulus; regulation of immune effector process; regulation of leukocyte mediated immunity; positive regulation of leukocyte cell-cell adhesion; protein localization to mitochondrion; regulation of leukocyte cell-cell adhesion; response to unfolded protein; establishment of protein localization to mitochondrion; innate immune response-activating signaling pathway; regulation of type I interferon production; type I interferon production; myeloid leukocyte activation; positive regulation of T cell activation; positive regulation of cytokine production; regulation of adaptive immune response; cellular response to topologically incorrect protein; mitochondrial transport; pattern recognition receptor signaling pathway; B cell activation; protein stabilization; cell activation involved in immune response; immune system development; leukocyte activation involved in immune response; protein targeting to mitochondrion; regulation of cysteine-type endopeptidase activity involved in apoptotic process; positive regulation of immune effector process; regulation of lymphocyte mediated immunity; somatic diversification of immune receptors; regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; cellular response to unfolded protein; somatic diversification of immunoglobulins; protein transmembrane transport; biological process involved in symbiotic interaction; positive regulation of peptidase activity; regulation of cysteine-type endopeptidase activity; somatic diversification of immune receptors via germline recombination within a single locus; somatic cell DNA recombination; positive regulation of type I interferon production; positive regulation of leukocyte mediated immunity; somatic recombination of immunoglobulin gene segments; positive regulation of cysteine-type endopeptidase activity; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process; immunoglobulin production involved in immunoglobulin-mediated immune response; B cell activation involved in immune response; leukocyte proliferation; positive regulation of endopeptidase activity; activation of cysteine-type endopeptidase activity involved in apoptotic process; positive regulation of lymphocyte mediated immunity; somatic recombination of immunoglobulin genes involved in immune response; somatic diversification of immunoglobulins involved in immune response; isotype switching; intracellular protein transmembrane transport; mononuclear cell proliferation; lymphocyte proliferation; positive regulation of adaptive immune response; lymphocyte activation involved in immune response; positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; regulation of peptidase activity; interleukin-12 production; regulation of interleukin-12 production; protein folding; protein transmembrane import into intracellular organelle; positive regulation of interleukin-12 production; positive regulation of interleukin-6 production; apoptotic mitochondrial changes; toll-like receptor signaling pathway; positive regulation of type II interferon production; regulation of endopeptidase activity; interferon-alpha production; regulation of interferon-alpha production; macrophage activation; 'de novo' protein folding; leukocyte mediated immunity; T cell mediated immunity; type II interferon production; regulation of type II interferon production; response to interleukin-7; MyD88-dependent toll-like receptor signaling pathway; positive regulation of interleukin-10 production; cellular response to interleukin-7; positive regulation of interferon-alpha production; biological process involved in interaction with symbiont; regulation of T cell mediated immunity; response to temperature stimulus; interleukin-10 production; regulation of interleukin-10 production; positive regulation of T cell mediated immunity; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; isotype switching to IgG isotypes; lymphocyte mediated immunity; regulation of macrophage activation; response to cold"
"PPM1H",1.63399851461295,0.909391208479747,0.00164421466268811,"protein phosphatase, Mg2+/Mn2+ dependent 1H",0,"No KEGG pathway",2,"dephosphorylation; protein dephosphorylation"
"MXD1",1.73118112613717,0.909391208479747,0.00148392434790329,"MAX dimerization protein 1",0,"No KEGG pathway",0,"No GO term"
"NELL1",-2.15715588863987,0.909391208479747,0.0004904002746354,"neural EGFL like 1",0,"No KEGG pathway",15,"regulation of protein catabolic process; negative regulation of catabolic process; negative regulation of protein catabolic process; ossification; positive regulation of ossification; bone mineralization; positive regulation of bone mineralization; regulation of ossification; positive regulation of biomineral tissue development; osteoblast differentiation; positive regulation of osteoblast differentiation; regulation of bone mineralization; biomineral tissue development; regulation of biomineral tissue development; osteoblast proliferation"
"CHPT1",1.53884769967214,0.909391208479747,0.00263724048006004,"choline phosphotransferase 1",3,"Choline metabolism in cancer; Glycerophospholipid metabolism; Ether lipid metabolism",17,"phospholipid biosynthetic process; cell growth; regulation of cell growth; phospholipid metabolic process; glycerophospholipid biosynthetic process; glycerophospholipid metabolic process; glycerolipid biosynthetic process; glycerolipid metabolic process; glycerol ether metabolic process; ether lipid metabolic process; ether metabolic process; phosphatidylcholine metabolic process; cellular lipid biosynthetic process; ether biosynthetic process; ether lipid biosynthetic process; glycerol ether biosynthetic process; phosphatidylcholine biosynthetic process"
"ATF3",1.54667736094985,0.909391208479747,0.00296255224381996,"activating transcription factor 3",0,"No KEGG pathway",42,"response to endoplasmic reticulum stress; cellular response to external stimulus; extrinsic apoptotic signaling pathway; cellular response to extracellular stimulus; response to topologically incorrect protein; regulation of apoptotic signaling pathway; cellular response to nutrient levels; response to unfolded protein; cellular response to topologically incorrect protein; endoplasmic reticulum unfolded protein response; monosaccharide metabolic process; positive regulation of apoptotic signaling pathway; response to nutrient levels; response to starvation; response to amino acid starvation; cellular response to unfolded protein; regulation of extrinsic apoptotic signaling pathway; cellular response to starvation; cellular response to amino acid starvation; hexose metabolic process; extrinsic apoptotic signaling pathway via death domain receptors; carbohydrate biosynthetic process; positive regulation of extrinsic apoptotic signaling pathway; glucose metabolic process; regulation of DNA-templated transcription in response to stress; regulation of transcription from RNA polymerase II promoter in response to stress; regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of MAPK cascade; muscle organ development; monosaccharide biosynthetic process; ERK1 and ERK2 cascade; muscle tissue development; positive regulation of transcription from RNA polymerase II promoter in response to stress; hexose biosynthetic process; regulation of ERK1 and ERK2 cascade; gluconeogenesis; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors; skeletal muscle organ development; skeletal muscle tissue development; negative regulation of ERK1 and ERK2 cascade; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress; skeletal muscle cell differentiation"
"HBB",2.0447653434901,0.909391208479747,0.0015163382173718,"hemoglobin subunit beta",2,"Malaria; African trypanosomiasis",25,"response to oxidative stress; wound healing; response to reactive oxygen species; blood coagulation; response to hydrogen peroxide; hemostasis; coagulation; platelet activation; homotypic cell-cell adhesion; regulation of body fluid levels; platelet aggregation; reactive nitrogen species metabolic process; nitric oxide metabolic process; nitric oxide biosynthetic process; vascular process in circulatory system; reactive oxygen species metabolic process; cellular detoxification; regulation of nitric oxide metabolic process; positive regulation of nitric oxide metabolic process; regulation of nitric oxide biosynthetic process; response to toxic substance; positive regulation of nitric oxide biosynthetic process; cellular oxidant detoxification; cellular response to toxic substance; hydrogen peroxide metabolic process"
