"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"CLU",1.57308791908716,0.742124945755387,0.000106321625466388,"clusterin",1,"Complement and coagulation cascades",109,"proteasome-mediated ubiquitin-dependent protein catabolic process; establishment of protein localization to organelle; regulation of protein catabolic process; regulation of protein-containing complex assembly; regulation of supramolecular fiber organization; negative regulation of organelle organization; response to endoplasmic reticulum stress; positive regulation of proteolysis; positive regulation of protein-containing complex assembly; protein targeting; positive regulation of transferase activity; positive regulation of protein catabolic process; regulation of proteolysis involved in protein catabolic process; regulation of protein stability; regulation of proteasomal protein catabolic process; response to virus; intrinsic apoptotic signaling pathway; regulation of ubiquitin-dependent protein catabolic process; response to topologically incorrect protein; regulation of apoptotic signaling pathway; positive regulation of kinase activity; regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of supramolecular fiber organization; positive regulation of proteasomal protein catabolic process; myeloid leukocyte activation; positive regulation of protein kinase activity; positive regulation of proteolysis involved in protein catabolic process; positive regulation of cytokine production; regulation of mitochondrion organization; intrinsic apoptotic signaling pathway in response to DNA damage; positive regulation of ubiquitin-dependent protein catabolic process; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; regulation of endocytosis; positive regulation of DNA-binding transcription factor activity; vacuolar transport; positive regulation of amide metabolic process; protein stabilization; regulation of response to endoplasmic reticulum stress; regulation of DNA-binding transcription factor activity; receptor-mediated endocytosis; regulation of intrinsic apoptotic signaling pathway; positive regulation of NF-kappaB transcription factor activity; lysosomal transport; regulation of intrinsic apoptotic signaling pathway in response to DNA damage; neuron apoptotic process; leukocyte proliferation; negative regulation of protein-containing complex assembly; negative regulation of apoptotic signaling pathway; negative regulation of supramolecular fiber organization; ensheathment of neurons; axon ensheathment; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage; positive regulation of endocytosis; myelination; positive regulation of receptor-mediated endocytosis; positive regulation of tumor necrosis factor production; gliogenesis; regulation of neuron apoptotic process; protein folding; positive regulation of tumor necrosis factor superfamily cytokine production; reactive nitrogen species metabolic process; negative regulation of intrinsic apoptotic signaling pathway; nitric oxide metabolic process; release of cytochrome c from mitochondria; protein localization to vacuole; apoptotic mitochondrial changes; nitric oxide biosynthetic process; regulation of release of cytochrome c from mitochondria; protein targeting to lysosome; negative regulation of response to endoplasmic reticulum stress; protein localization to lysosome; response to misfolded protein; protein targeting to vacuole; macrophage activation; glial cell development; leukocyte mediated immunity; chaperone-mediated protein folding; amyloid-beta clearance; negative regulation of mitochondrion organization; negative regulation of neuron apoptotic process; regulation of receptor-mediated endocytosis; establishment of protein localization to vacuole; regulation of nitric oxide metabolic process; humoral immune response mediated by circulating immunoglobulin; glial cell differentiation; myelin maintenance; positive regulation of nitric oxide metabolic process; regulation of nitric oxide biosynthetic process; positive regulation of nitric oxide biosynthetic process; tumor necrosis factor superfamily cytokine production; regulation of tumor necrosis factor superfamily cytokine production; tumor necrosis factor production; regulation of tumor necrosis factor production; negative regulation of release of cytochrome c from mitochondria; positive regulation of amyloid precursor protein catabolic process; complement activation, classical pathway; glial cell proliferation; lipid transport; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; neuroinflammatory response; leukocyte activation involved in inflammatory response; plasma membrane organization; amyloid precursor protein catabolic process; positive regulation of amyloid-beta formation; lymphocyte mediated immunity; oligodendrocyte differentiation; chaperone-mediated autophagy; microglial cell activation; glial cell activation"
"C11orf24",1.31746778821851,0.742124945755387,5.60090188886914e-05,"chromosome 11 open reading frame 24",0,"No KEGG pathway",0,"No GO term"
"TMEM45B",2.41603678907631,0.75739567998161,0.000162764114609229,"transmembrane protein 45B",0,"No KEGG pathway",0,"No GO term"
"MARCO",1.14708472598218,0.99995151979096,0.00254094227438165,"macrophage receptor with collagenous structure",1,"Phagosome",10,"phagocytosis; receptor-mediated endocytosis; positive regulation of MAPK cascade; plasma membrane invagination; membrane invagination; phagocytosis, engulfment; amyloid-beta clearance; ERK1 and ERK2 cascade; apoptotic cell clearance; regulation of ERK1 and ERK2 cascade"
"TAF2",-1.12256957126705,0.99995151979096,0.000633704100776618,"TATA-box binding protein associated factor 2",1,"Basal transcription factors",12,"regulation of DNA repair; mitotic cell cycle phase transition; cell cycle G2/M phase transition; G2/M transition of mitotic cell cycle; mRNA transcription; mRNA transcription by RNA polymerase II; regulation of DNA-templated transcription initiation; regulation of transcription initiation by RNA polymerase II; positive regulation of DNA-templated transcription initiation; positive regulation of transcription initiation by RNA polymerase II; DNA-templated transcription initiation; transcription initiation at RNA polymerase II promoter"
"RETN",1.16618085802629,0.99995151979096,0.0040462419727251,"resistin",0,"No KEGG pathway",26,"rhythmic process; response to mechanical stimulus; response to peptide hormone; response to insulin; positive regulation of secretion by cell; regulation of trans-synaptic signaling; positive regulation of secretion; modulation of chemical synaptic transmission; fat cell differentiation; signal release; female sex differentiation; regulation of hormone secretion; reproductive system development; hormone secretion; reproductive structure development; female gonad development; development of primary female sexual characteristics; lipid transport; positive regulation of hormone secretion; hormone transport; positive regulation of lipid transport; lipid export from cell; ovulation cycle; regulation of reproductive process; development of primary sexual characteristics; gonad development"
"G3BP2",-0.709070159347915,0.99995151979096,0.00345798909362368,"G3BP stress granule assembly factor 2",0,"No KEGG pathway",21,"small GTPase mediated signal transduction; Ras protein signal transduction; non-membrane-bounded organelle assembly; regulation of organelle assembly; RNA localization; positive regulation of organelle assembly; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; maintenance of location; mRNA transport; regulation of DNA-binding transcription factor activity; maintenance of protein location; protein complex oligomerization; stress granule assembly; cytoplasmic sequestering of protein; protein homooligomerization; negative regulation of NF-kappaB transcription factor activity; cytoplasmic sequestering of transcription factor; negative regulation of DNA-binding transcription factor activity"
"PTAFR",0.747325757721491,0.99995151979096,0.00476193711891373,"platelet activating factor receptor",1,"Calcium signaling pathway",93,"positive regulation of cell adhesion; exocytosis; positive regulation of leukocyte activation; positive regulation of cell activation; regulation of cell-cell adhesion; leukocyte migration; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; regulation of leukocyte migration; cellular response to abiotic stimulus; cellular response to environmental stimulus; regulation of immune effector process; regulation of leukocyte mediated immunity; positive regulation of leukocyte cell-cell adhesion; regulation of leukocyte cell-cell adhesion; positive regulation of leukocyte migration; myeloid leukocyte activation; positive regulation of cytokine production; regulation of exocytosis; chemotaxis; positive regulation of amide metabolic process; regulated exocytosis; cell activation involved in immune response; taxis; leukocyte activation involved in immune response; positive regulation of translation; positive regulation of immune effector process; positive regulation of leukocyte mediated immunity; response to lipopolysaccharide; response to molecule of bacterial origin; positive regulation of exocytosis; positive regulation of secretion by cell; regulation of carbohydrate metabolic process; myeloid cell activation involved in immune response; alcohol metabolic process; granulocyte activation; myeloid leukocyte mediated immunity; carbohydrate biosynthetic process; positive regulation of secretion; regulation of regulated secretory pathway; positive regulation of tumor necrosis factor production; cellular extravasation; positive regulation of tumor necrosis factor superfamily cytokine production; regulation of small molecule metabolic process; leukocyte degranulation; response to ketone; positive regulation of interleukin-6 production; response to steroid hormone; neutrophil activation; neutrophil activation involved in immune response; cellular response to biotic stimulus; positive regulation of cellular extravasation; regulation of myeloid leukocyte mediated immunity; regulation of leukocyte degranulation; regulation of cellular extravasation; leukocyte mediated immunity; regulation of carbohydrate biosynthetic process; cellular response to lipopolysaccharide; lipopolysaccharide-mediated signaling pathway; polyol metabolic process; transcytosis; positive regulation of leukocyte tethering or rolling; cellular response to molecule of bacterial origin; inositol trisphosphate metabolic process; neutrophil degranulation; neutrophil mediated immunity; positive regulation of regulated secretory pathway; leukocyte tethering or rolling; positive regulation of carbohydrate metabolic process; alcohol biosynthetic process; response to purine-containing compound; tumor necrosis factor superfamily cytokine production; regulation of tumor necrosis factor superfamily cytokine production; positive regulation of myeloid leukocyte mediated immunity; tumor necrosis factor production; regulation of tumor necrosis factor production; positive regulation of leukocyte adhesion to vascular endothelial cell; inositol phosphate metabolic process; polyol biosynthetic process; positive regulation of small molecule metabolic process; positive regulation of leukocyte degranulation; response to fatty acid; response to organophosphorus; organic hydroxy compound biosynthetic process; G protein-coupled purinergic nucleotide receptor signaling pathway; regulation of leukocyte tethering or rolling; response to ether; cellular response to fatty acid; inositol phosphate biosynthetic process; regulation of neutrophil activation; purinergic nucleotide receptor signaling pathway; regulation of reproductive process; response to cAMP"
"TXN2",0.749140641840521,0.99995151979096,0.00587286923371297,"thioredoxin 2",4,"Salmonella infection; Fluid shear stress and atherosclerosis; Parkinson disease; NOD-like receptor signaling pathway",12,"cellular response to external stimulus; response to oxidative stress; cellular response to extracellular stimulus; cellular response to nutrient levels; response to nutrient levels; response to oxygen levels; response to decreased oxygen levels; response to hypoxia; cell redox homeostasis; response to xenobiotic stimulus; response to axon injury; response to carbohydrate"
"FCGR2B",1.49584931215786,0.99995151979096,0.00339348289488398,"Fc gamma receptor IIb",7,"Fc gamma R-mediated phagocytosis; Osteoclast differentiation; Measles; Tuberculosis; Phagosome; B cell receptor signaling pathway; Virion - Ebolavirus, Lyssavirus and Morbillivirus",167,"immune response-regulating signaling pathway; immune response-activating signaling pathway; response to endoplasmic reticulum stress; regulation of innate immune response; exocytosis; immune response-regulating cell surface receptor signaling pathway; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; immune response-activating cell surface receptor signaling pathway; lymphocyte differentiation; intrinsic apoptotic signaling pathway; leukocyte cell-cell adhesion; regulation of apoptotic signaling pathway; regulation of immune effector process; regulation of leukocyte mediated immunity; antigen receptor-mediated signaling pathway; phagocytosis; regulation of leukocyte cell-cell adhesion; regulation of B cell activation; myeloid leukocyte activation; stress-activated protein kinase signaling cascade; stress-activated MAPK cascade; regulation of adaptive immune response; regulation of exocytosis; regulation of leukocyte differentiation; regulation of endocytosis; B cell activation; regulated exocytosis; JNK cascade; cell activation involved in immune response; regulation of response to endoplasmic reticulum stress; leukocyte activation involved in immune response; synapse organization; regulation of lymphocyte mediated immunity; regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; receptor-mediated endocytosis; regulation of leukocyte proliferation; regulation of hemopoiesis; regulation of production of molecular mediator of immune response; regulation of intrinsic apoptotic signaling pathway; regulation of lymphocyte proliferation; regulation of mononuclear cell proliferation; regulation of JNK cascade; regulation of synapse organization; regulation of stress-activated protein kinase signaling cascade; Fc receptor signaling pathway; regulation of stress-activated MAPK cascade; positive regulation of response to endoplasmic reticulum stress; regulation of synapse structure or activity; cellular response to peptide; neuron projection organization; B cell activation involved in immune response; negative regulation of cell activation; response to molecule of bacterial origin; neuron apoptotic process; regulation of B cell mediated immunity; regulation of immunoglobulin mediated immune response; leukocyte proliferation; positive regulation of JNK cascade; negative regulation of cell adhesion; regulation of postsynapse organization; mononuclear cell proliferation; negative regulation of leukocyte activation; lymphocyte proliferation; negative regulation of immune response; regulation of antigen receptor-mediated signaling pathway; positive regulation of endocytosis; positive regulation of MAPK cascade; plasma membrane invagination; dendritic spine organization; lymphocyte activation involved in immune response; granulocyte activation; negative regulation of lymphocyte activation; myeloid leukocyte mediated immunity; postsynapse organization; positive regulation of stress-activated protein kinase signaling cascade; regulation of immunoglobulin production; B cell receptor signaling pathway; membrane invagination; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; regulation of regulated secretory pathway; Fc-gamma receptor signaling pathway; positive regulation of stress-activated MAPK cascade; negative regulation of leukocyte mediated immunity; Fc receptor mediated stimulatory signaling pathway; negative regulation of cell-cell adhesion; regulation of neuron apoptotic process; negative regulation of T cell activation; phagocytosis, engulfment; leukocyte mediated cytotoxicity; leukocyte degranulation; negative regulation of leukocyte proliferation; regulation of B cell proliferation; neutrophil activation; negative regulation of adaptive immune response; negative regulation of lymphocyte mediated immunity; negative regulation of lymphocyte proliferation; cellular component maintenance; regulation of cell killing; negative regulation of immune effector process; negative regulation of B cell activation; immune response-regulating cell surface receptor signaling pathway involved in phagocytosis; Fc-gamma receptor signaling pathway involved in phagocytosis; cellular response to biotic stimulus; negative regulation of mononuclear cell proliferation; negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; regulation of myeloid leukocyte mediated immunity; regulation of leukocyte degranulation; macrophage activation; regulation of leukocyte mediated cytotoxicity; leukocyte mediated immunity; T cell mediated immunity; negative regulation of cell development; negative regulation of antigen receptor-mediated signaling pathway; regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway; hypersensitivity; negative regulation of response to external stimulus; regulation of phagocytosis; negative regulation of leukocyte cell-cell adhesion; negative regulation of leukocyte mediated cytotoxicity; cellular response to molecule of bacterial origin; negative regulation of exocytosis; humoral immune response mediated by circulating immunoglobulin; cerebellum development; negative regulation of T cell mediated immunity; regulation of T cell mediated immunity; regulation of dendritic cell antigen processing and presentation; negative regulation of leukocyte differentiation; mature B cell differentiation; negative regulation of humoral immune response; negative regulation of B cell proliferation; hindbrain development; negative regulation of endocytosis; metencephalon development; negative regulation of T cell mediated cytotoxicity; regulation of hypersensitivity; negative regulation of B cell mediated immunity; negative regulation of immunoglobulin mediated immune response; negative regulation of hemopoiesis; response to amyloid-beta; antigen processing and presentation; cellular response to amyloid-beta; B cell differentiation; interleukin-10 production; regulation of interleukin-10 production; negative regulation of cell killing; positive regulation of phagocytosis; dendritic cell differentiation; negative regulation of leukocyte degranulation; regulation of humoral immune response mediated by circulating immunoglobulin; mature B cell differentiation involved in immune response; dendritic spine maintenance; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; acute inflammatory response to antigenic stimulus; negative regulation of phagocytosis; negative regulation of regulated secretory pathway; negative regulation of myeloid leukocyte mediated immunity; negative regulation of humoral immune response mediated by circulating immunoglobulin; T cell activation involved in immune response; regulation of antigen processing and presentation; lymphocyte mediated immunity; regulation of macrophage activation; negative regulation of defense response; regulation of neutrophil activation; negative regulation of secretion by cell; regulation of B cell receptor signaling pathway"
