"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"ST8SIA4",0.725435475760687,0.999176280771882,0.0011431933964708,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",0,"No KEGG pathway",15,"glycosylation; protein glycosylation; macromolecule glycosylation; glycoprotein metabolic process; glycoprotein biosynthetic process; membrane lipid metabolic process; membrane lipid biosynthetic process; sphingolipid metabolic process; sphingolipid biosynthetic process; liposaccharide metabolic process; glycolipid metabolic process; ceramide metabolic process; glycolipid biosynthetic process; N-glycan processing; ceramide biosynthetic process"
"BST2",-1.18269812761181,0.999176280771882,0.000597335731785369,"bone marrow stromal cell antigen 2",3,"Human immunodeficiency virus 1 infection; Viral life cycle - HIV-1; Herpes simplex virus 1 infection",38,"viral process; regulation of actin filament-based process; regulation of actin cytoskeleton organization; regulation of canonical NF-kappaB signal transduction; cell growth; canonical NF-kappaB signal transduction; regulation of cell growth; positive regulation of canonical NF-kappaB signal transduction; viral life cycle; response to virus; regulation of immune effector process; regulation of leukocyte mediated immunity; viral genome replication; B cell activation; negative regulation of growth; negative regulation of cell growth; defense response to virus; defense response to symbiont; regulation of viral genome replication; regulation of leukocyte proliferation; regulation of production of molecular mediator of immune response; cytokine production involved in immune response; regulation of viral process; regulation of cytokine production involved in immune response; regulation of viral life cycle; leukocyte proliferation; positive regulation of leukocyte proliferation; response to type II interferon; negative regulation of leukocyte mediated immunity; negative regulation of viral genome replication; negative regulation of immune effector process; response to interferon-alpha; leukocyte mediated immunity; negative regulation of viral process; dendritic cell cytokine production; transport of virus; regulation of dendritic cell cytokine production; response to interferon-beta"
"PLXNA2",0.701079295652621,0.999176280771882,0.00137974337940419,"plexin A2",2,"IgSF CAM signaling; Axon guidance",27,"regulation of cell morphogenesis; regulation of cell shape; positive regulation of cell projection organization; regulation of neuron projection development; regulation of GTPase activity; neural tube development; positive regulation of cell development; regulation of axonogenesis; regulation of nervous system development; negative regulation of cell adhesion; axonogenesis; centrosome localization; microtubule organizing center localization; regulation of neurogenesis; positive regulation of neurogenesis; positive regulation of axonogenesis; positive regulation of nervous system development; semaphorin-plexin signaling pathway; axon guidance; neuron projection guidance; hindbrain development; semaphorin-plexin signaling pathway involved in neuron projection guidance; appendage development; limb development; appendage morphogenesis; limb morphogenesis; semaphorin-plexin signaling pathway involved in axon guidance"
"KLRK1-AS1",-1.2983894125044,0.999176280771882,0.000152903168977929,"KLRK1 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"RAB11FIP1",-0.40526788925287,0.999176280771882,0.00454560322695549,"RAB11 family interacting protein 1",1,"Endocytosis",14,"exocytosis; regulated exocytosis; negative regulation of protein localization; protein secretion; establishment of protein localization to extracellular region; protein localization to extracellular region; regulation of protein secretion; signal release; negative regulation of establishment of protein localization; negative regulation of protein transport; regulation of hormone secretion; hormone secretion; hormone transport; negative regulation of secretion by cell"
"FAM204A",0.442695754807331,0.999176280771882,0.00277628180627998,"family with sequence similarity 204 member A",0,"No KEGG pathway",0,"No GO term"
"MT-ND6",-0.699226117042908,0.999176280771882,0.00429350417531574,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6",0,"No KEGG pathway",0,"No GO term"
"OTUD6B",0.684079562318526,0.999176280771882,0.00131369812410663,"OTU deubiquitinase 6B",0,"No KEGG pathway",3,"protein modification by small protein removal; proteasome assembly; protein deubiquitination"
"ADGRE5",-0.550865581402292,0.999176280771882,0.00494656364073708,"adhesion G protein-coupled receptor E5",0,"No KEGG pathway",0,"No GO term"
"MT-ND1",-0.480882491802623,0.999176280771882,0.0109187999025762,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1",0,"No KEGG pathway",0,"No GO term"
"LINC01436",1.89230785649397,0.999176280771882,0.00110318753563942,"long intergenic non-protein coding RNA 1436",0,"No KEGG pathway",0,"No GO term"
"SIRT2",0.428774516009954,0.999176280771882,0.00369696874114472,"sirtuin 2",1,"Nicotinate and nicotinamide metabolism",172,"proteasome-mediated ubiquitin-dependent protein catabolic process; establishment of organelle localization; chromosome segregation; regulation of protein catabolic process; regulation of protein-containing complex assembly; regulation of autophagy; immune response-regulating signaling pathway; mitotic nuclear division; immune response-activating signaling pathway; organelle fission; nuclear chromosome segregation; positive regulation of proteolysis; regulation of innate immune response; mitotic cell cycle phase transition; negative regulation of protein modification process; positive regulation of protein catabolic process; regulation of binding; peptidyl-lysine modification; regulation of proteolysis involved in protein catabolic process; nuclear division; positive regulation of innate immune response; regulation of proteasomal protein catabolic process; intracellular receptor signaling pathway; positive regulation of defense response; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; regulation of cell cycle phase transition; response to virus; response to oxidative stress; cellular response to chemical stress; negative regulation of phosphorylation; regulation of ubiquitin-dependent protein catabolic process; negative regulation of protein phosphorylation; activation of innate immune response; positive regulation of response to biotic stimulus; regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of binding; histone modification; negative regulation of catabolic process; regulation of chromosome segregation; positive regulation of proteasomal protein catabolic process; innate immune response-activating signaling pathway; positive regulation of proteolysis involved in protein catabolic process; cellular response to oxidative stress; regulation of mitotic cell cycle phase transition; metaphase chromosome alignment; cytosolic pattern recognition receptor signaling pathway; pattern recognition receptor signaling pathway; positive regulation of ubiquitin-dependent protein catabolic process; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of cell development; chromosome localization; defense response to virus; protein deacylation; protein deacetylation; negative regulation of protein catabolic process; defense response to symbiont; response to nutrient levels; macromolecule deacylation; response to oxygen levels; establishment of chromosome localization; response to decreased oxygen levels; positive regulation of cell cycle; epigenetic regulation of gene expression; regulation of defense response to virus; attachment of spindle microtubules to kinetochore; cellular lipid catabolic process; nucleus organization; peptidyl-threonine modification; response to hypoxia; regulation of nervous system development; fatty acid metabolic process; telomere organization; negative regulation of protein-containing complex assembly; lipid catabolic process; negative regulation of response to biotic stimulus; regulation of neurogenesis; negative regulation of cellular catabolic process; regulation of DNA binding; nuclear envelope organization; ensheathment of neurons; axon ensheathment; regulation of cell division; peptidyl-threonine phosphorylation; regulation of nuclear division; negative regulation of gene expression, epigenetic; myelination; regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway; membrane biogenesis; membrane assembly; meiotic cell cycle; regulation of pattern recognition receptor signaling pathway; gliogenesis; Schwann cell differentiation; regulation of DNA-templated transcription in response to stress; negative regulation of autophagy; positive regulation of cell cycle process; fat cell differentiation; tubulin deacetylation; regulation of reactive oxygen species metabolic process; nuclear membrane organization; regulation of small molecule metabolic process; NLRP3 inflammasome complex assembly; heterochromatin organization; negative regulation of defense response to virus; regulation of NLRP3 inflammasome complex assembly; regulation of transcription from RNA polymerase II promoter in response to stress; canonical inflammasome complex assembly; heterochromatin formation; meiotic cell cycle process; exit from mitosis; regulation of inflammasome-mediated signaling pathway; Schwann cell development; nucleolus organization; inflammasome-mediated signaling pathway; cellular response to oxygen levels; positive regulation of DNA binding; histone deacetylation; cellular response to decreased oxygen levels; glial cell development; reactive oxygen species metabolic process; developmental maturation; myelination in peripheral nervous system; peripheral nervous system axon ensheathment; organic acid biosynthetic process; negative regulation of cell development; meiotic nuclear division; regulation of attachment of spindle microtubules to kinetochore; positive regulation of chromosome segregation; response to redox state; negative regulation of response to external stimulus; cellular ketone metabolic process; carboxylic acid biosynthetic process; regulation of lipid metabolic process; negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway; nuclear membrane reassembly; cellular response to hypoxia; muscle organ development; muscle tissue development; regulation of myelination; glial cell differentiation; regulation of meiotic cell cycle; negative regulation of nervous system development; mitotic nuclear membrane reassembly; regulation of transcription from RNA polymerase II promoter in response to hypoxia; mitotic nuclear membrane organization; nucleolar chromatin organization; striated muscle tissue development; positive regulation of lipid metabolic process; negative regulation of neurogenesis; regulation of peptidyl-threonine phosphorylation; negative regulation of reactive oxygen species metabolic process; positive regulation of small molecule metabolic process; neural precursor cell proliferation; monocarboxylic acid biosynthetic process; constitutive heterochromatin formation; regulation of exit from mitosis; peripheral nervous system development; negative regulation of neural precursor cell proliferation; regulation of cellular ketone metabolic process; positive regulation of attachment of spindle microtubules to kinetochore; female gamete generation; facultative heterochromatin formation; regulation of fat cell differentiation; negative regulation of defense response; positive regulation of lipid biosynthetic process; positive regulation of cell division; oocyte development; regulation of reproductive process; fatty acid biosynthetic process; anatomical structure maturation; positive regulation of nuclear division"
