"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"HINT1",2.66662779676938,0.0934922863998413,2.60811986622117e-05,"histidine triad nucleotide binding protein 1",0,"No KEGG pathway",23,"ribose phosphate metabolic process; peptidyl-lysine modification; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; signal transduction by p53 class mediator; purine ribonucleotide metabolic process; intrinsic apoptotic signaling pathway; nucleoside phosphate catabolic process; organophosphate catabolic process; nucleotide catabolic process; carbohydrate derivative catabolic process; intrinsic apoptotic signaling pathway by p53 class mediator; ribonucleotide catabolic process; purine nucleotide catabolic process; purine-containing compound catabolic process; purine ribonucleotide catabolic process; calcium-mediated signaling; nucleobase-containing compound catabolic process; regulation of calcium-mediated signaling; second-messenger-mediated signaling; protein modification by small protein removal; positive regulation of calcium-mediated signaling"
"DEPP1",-2.82353559932979,0.0934922863998413,3.00079530323246e-05,"DEPP autophagy regulator 1",1,"FoxO signaling pathway",1,"regulation of autophagy"
"MINDY2",-2.75978707832359,0.0934922863998413,3.89334896168134e-05,"MINDY lysine 48 deubiquitinase 2",0,"No KEGG pathway",3,"protein modification by small protein removal; protein K48-linked deubiquitination; protein deubiquitination"
"ALKAL1",-2.65402209964497,0.115125080885917,6.39228655668612e-05,"ALK and LTK ligand 1",0,"No KEGG pathway",6,"positive regulation of cell projection organization; regulation of neuron projection development; positive regulation of MAPK cascade; positive regulation of neuron projection development; ERK1 and ERK2 cascade; regulation of ERK1 and ERK2 cascade"
"PEBP1",2.23160678334638,0.590023764027512,0.000425902433565202,"phosphatidylethanolamine binding protein 1",0,"No KEGG pathway",1,"negative regulation of MAPK cascade"
"SOD1",2.14685600337656,0.590023764027512,0.000614983370905272,"superoxide dismutase 1",8,"Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Huntington disease; Parkinson disease; Prion disease; Chemical carcinogenesis - reactive oxygen species; Peroxisome; Longevity regulating pathway - multiple species",126,"microtubule-based transport; cytoskeleton-dependent intracellular transport; transport along microtubule; T cell differentiation; microtubule-based movement; regulation of GTPase activity; mononuclear cell differentiation; regulation of T cell activation; response to oxidative stress; cellular response to chemical stress; lymphocyte differentiation; intrinsic apoptotic signaling pathway; regulation of apoptotic signaling pathway; homeostasis of number of cells; phagocytosis; cellular response to oxidative stress; positive regulation of cytokine production; regulation of lymphocyte differentiation; regulation of leukocyte differentiation; regulation of endocytosis; immune system development; regulation of T cell differentiation; positive regulation of apoptotic signaling pathway; regulation of hemopoiesis; regulation of intrinsic apoptotic signaling pathway; response to reactive oxygen species; myeloid cell homeostasis; placenta development; response to hydrogen peroxide; axo-dendritic transport; neuron apoptotic process; cellular response to reactive oxygen species; gland development; ensheathment of neurons; axon ensheathment; positive regulation of endocytosis; myelination; positive regulation of MAPK cascade; T cell differentiation in thymus; alcohol metabolic process; embryonic organ development; tissue homeostasis; anatomical structure homeostasis; axonal transport; multicellular organism growth; regulation of developmental growth; positive regulation of intrinsic apoptotic signaling pathway; gliogenesis; Schwann cell differentiation; regulation of neuron apoptotic process; response to alcohol; regulation of mitochondrial membrane potential; regulation of reactive oxygen species metabolic process; regulation of small molecule metabolic process; intracellular iron ion homeostasis; Schwann cell development; hematopoietic or lymphoid organ development; anterograde axonal transport; glial cell development; vascular process in circulatory system; reactive oxygen species metabolic process; myelination in peripheral nervous system; peripheral nervous system axon ensheathment; thymus development; positive regulation of reactive oxygen species metabolic process; negative regulation of response to external stimulus; intrinsic apoptotic signaling pathway in response to oxidative stress; regulation of lipid metabolic process; regulation of phagocytosis; negative regulation of neuron apoptotic process; cellular detoxification; regulation of superoxide anion generation; glial cell differentiation; myelin maintenance; response to heat; response to toxic substance; female sex differentiation; alcohol biosynthetic process; regulation of T cell differentiation in thymus; response to temperature stimulus; positive regulation of superoxide anion generation; reproductive system development; cellular oxidant detoxification; cellular response to toxic substance; inner ear receptor cell differentiation; glutathione metabolic process; reproductive structure development; ovarian follicle development; muscle cell cellular homeostasis; response to xenobiotic stimulus; mechanoreceptor differentiation; organic hydroxy compound biosynthetic process; positive regulation of phagocytosis; inner ear receptor cell development; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway; female gonad development; development of primary female sexual characteristics; response to axon injury; ectopic germ cell programmed cell death; ear development; organ growth; determination of adult lifespan; inner ear development; plasma membrane organization; sensory perception of sound; peripheral nervous system development; locomotory behavior; response to ethanol; heart process; hydrogen peroxide biosynthetic process; programmed cell death involved in cell development; sterol biosynthetic process; response to oxygen radical; hydrogen peroxide metabolic process; auditory receptor cell development; negative regulation of defense response; sensory perception of mechanical stimulus; inner ear auditory receptor cell differentiation; response to superoxide; regulation of reproductive process; development of primary sexual characteristics; embryonic organ morphogenesis; gonad development; negative regulation of muscle contraction; female pregnancy; superoxide metabolic process"
"RAMP1",2.21963952526586,0.590023764027512,0.000606969777875954,"receptor activity modifying protein 1",1,"Vascular smooth muscle contraction",13,"protein localization to cell periphery; protein localization to plasma membrane; glycosylation; protein glycosylation; macromolecule glycosylation; glycoprotein metabolic process; glycoprotein biosynthetic process; receptor-mediated endocytosis; positive regulation of glycoprotein biosynthetic process; receptor internalization; positive regulation of glycoprotein metabolic process; regulation of protein glycosylation; calcium ion transport"
"COL6A2",2.09741886725167,0.590023764027512,0.000799709485995199,"collagen type VI alpha 2 chain",6,"Focal adhesion; Integrin signaling; Human papillomavirus infection; PI3K-Akt signaling pathway; Cytoskeleton in muscle cells; ECM-receptor interaction",1,"response to carbohydrate"
"MYLK",2.09876388495084,0.590023764027512,0.000898427015336512,"myosin light chain kinase",10,"IgSF CAM signaling; Focal adhesion; Regulation of actin cytoskeleton; Platelet activation; Apelin signaling pathway; Oxytocin signaling pathway; cGMP-PKG signaling pathway; Vascular smooth muscle contraction; Calcium signaling pathway; Gastric acid secretion",25,"cellular response to chemical stress; wound healing; cellular response to abiotic stimulus; cellular response to environmental stimulus; response to osmotic stress; aorta development; cellular response to osmotic stress; regulation of response to wounding; artery development; regulation of wound healing; muscle organ development; muscle tissue development; bleb assembly; positive regulation of monoatomic ion transport; aorta morphogenesis; hypotonic response; positive regulation of wound healing; calcium ion transport; positive regulation of calcium ion transport; regulation of calcium ion transport; cellular hypotonic response; regulation of metal ion transport; positive regulation of response to wounding; tonic smooth muscle contraction; artery morphogenesis"
"IGFBP6",2.11350347073258,0.590023764027512,0.00104689973305845,"insulin like growth factor binding protein 6",0,"No KEGG pathway",15,"cell-cell signaling by wnt; Wnt signaling pathway; regulation of Wnt signaling pathway; stress-activated protein kinase signaling cascade; stress-activated MAPK cascade; canonical Wnt signaling pathway; regulation of canonical Wnt signaling pathway; regulation of stress-activated protein kinase signaling cascade; regulation of stress-activated MAPK cascade; positive regulation of MAPK cascade; positive regulation of stress-activated protein kinase signaling cascade; positive regulation of stress-activated MAPK cascade; negative regulation of Wnt signaling pathway; negative regulation of canonical Wnt signaling pathway; insulin-like growth factor receptor signaling pathway"
"CEBPB",2.1185485186456,0.590023764027512,0.00107924602545661,"CCAAT enhancer binding protein beta",5,"Efferocytosis; TNF signaling pathway; IL-17 signaling pathway; Tuberculosis; Transcriptional misregulation in cancer",98,"in utero embryonic development; response to endoplasmic reticulum stress; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; positive regulation of defense response; intrinsic apoptotic signaling pathway; leukocyte cell-cell adhesion; regulation of leukocyte cell-cell adhesion; positive regulation of cytokine production; regulation of leukocyte differentiation; T cell proliferation; regulation of leukocyte proliferation; regulation of hemopoiesis; embryonic placenta development; myeloid cell differentiation; regulation of lymphocyte proliferation; placenta development; integrated stress response signaling; regulation of mononuclear cell proliferation; gland morphogenesis; adaptive thermogenesis; response to lipopolysaccharide; negative regulation of cell activation; response to molecule of bacterial origin; neuron apoptotic process; leukocyte proliferation; myeloid leukocyte differentiation; negative regulation of cell adhesion; cold-induced thermogenesis; hepaticobiliary system development; regulation of cold-induced thermogenesis; mononuclear cell proliferation; temperature homeostasis; negative regulation of leukocyte activation; regulation of T cell proliferation; lymphocyte proliferation; gland development; liver development; mammary gland epithelium development; negative regulation of lymphocyte activation; embryonic organ development; ossification; mammary gland development; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; negative regulation of cell-cell adhesion; regulation of DNA-templated transcription in response to stress; regulation of neuron apoptotic process; fat cell differentiation; negative regulation of T cell activation; negative regulation of T cell proliferation; negative regulation of leukocyte proliferation; myeloid cell development; cellular response to amino acid stimulus; negative regulation of lymphocyte proliferation; regulation of transcription from RNA polymerase II promoter in response to stress; mammary gland epithelial cell proliferation; liver morphogenesis; cellular response to acid chemical; negative regulation of mononuclear cell proliferation; response to amino acid; positive regulation of cold-induced thermogenesis; response to acid chemical; hepatocyte proliferation; epithelial cell proliferation involved in liver morphogenesis; positive regulation of interleukin-4 production; epithelial cell proliferation; positive regulation of inflammatory response; negative regulation of leukocyte cell-cell adhesion; negative regulation of neuron apoptotic process; osteoclast differentiation; interleukin-4 production; regulation of interleukin-4 production; positive regulation of biomineral tissue development; positive regulation of transcription from RNA polymerase II promoter in response to stress; liver regeneration; female sex differentiation; osteoblast differentiation; regeneration; positive regulation of fat cell differentiation; mammary gland epithelial cell differentiation; positive regulation of osteoblast differentiation; reproductive system development; animal organ regeneration; regulation of myeloid leukocyte differentiation; regulation of myeloid cell differentiation; reproductive structure development; biomineral tissue development; ovarian follicle development; regulation of biomineral tissue development; dendritic cell differentiation; female gonad development; development of primary female sexual characteristics; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress; regulation of fat cell differentiation; regulation of osteoclast differentiation; development of primary sexual characteristics; gonad development"
"HNRNPDL",2.04717285007526,0.590023764027512,0.0012519933967678,"heterogeneous nuclear ribonucleoprotein D like",0,"No KEGG pathway",0,"No GO term"
"FST",2.1500557699645,0.590023764027512,0.00114125323315517,"follistatin",1,"TGF-beta signaling pathway",19,"hematopoietic progenitor cell differentiation; epithelial cell proliferation; female sex differentiation; reproductive system development; reproductive structure development; molting cycle process; hair cycle process; hair follicle development; female gonad development; development of primary female sexual characteristics; skin epidermis development; transmembrane receptor protein serine/threonine kinase signaling pathway; keratinocyte proliferation; regulation of cellular response to growth factor stimulus; hair follicle morphogenesis; molting cycle; hair cycle; development of primary sexual characteristics; gonad development"
"SOD3",2.0395248611007,0.590023764027512,0.00136821362740699,"superoxide dismutase 3",0,"No KEGG pathway",18,"response to oxidative stress; cellular response to chemical stress; cellular response to oxidative stress; response to oxygen levels; response to reactive oxygen species; response to decreased oxygen levels; response to hypoxia; response to metal ion; cellular response to reactive oxygen species; vascular process in circulatory system; reactive oxygen species metabolic process; cellular detoxification; response to toxic substance; cellular oxidant detoxification; cellular response to toxic substance; response to oxygen radical; response to superoxide; superoxide metabolic process"
"C1QA",-2.1355410780162,0.590023764027512,0.00132051399777552,"complement C1q A chain",7,"Efferocytosis; Prion disease; Chagas disease; Coronavirus disease - COVID-19; Pertussis; Alcoholic liver disease; Complement and coagulation cascades",22,"cellular component disassembly; myeloid leukocyte activation; synapse organization; gliogenesis; cell junction disassembly; macrophage activation; glial cell development; leukocyte mediated immunity; developmental maturation; humoral immune response mediated by circulating immunoglobulin; glial cell differentiation; synapse pruning; complement activation, classical pathway; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; neuroinflammatory response; leukocyte activation involved in inflammatory response; visual system development; lymphocyte mediated immunity; microglial cell activation; glial cell activation; anatomical structure maturation; neuron maturation"
"RBM12",-2.06726679815198,0.590023764027512,0.00149406194814926,"RNA binding motif protein 12",0,"No KEGG pathway",2,"RNA splicing; regulation of RNA splicing"
"NIPSNAP2",-2.12157669109213,0.590023764027512,0.00147684235330602,"nipsnap homolog 2",0,"No KEGG pathway",17,"cellular respiration; energy derivation by oxidation of organic compounds; aerobic respiration; oxidative phosphorylation; positive regulation of ion transmembrane transporter activity; positive regulation of transporter activity; positive regulation of calcium ion transmembrane transporter activity; positive regulation of transmembrane transport; positive regulation of monoatomic ion transport; positive regulation of monoatomic ion transmembrane transport; calcium ion transport; positive regulation of calcium ion transport; regulation of calcium ion transport; positive regulation of calcium ion transmembrane transport; regulation of metal ion transport; positive regulation of cation transmembrane transport; calcium ion transmembrane transport"
"ENSG00000272368",-2.04728488249662,0.590023764027512,0.0016891789694472,NA,0,"No KEGG pathway",0,"No GO term"
"LPIN2",-2.04859746888858,0.590023764027512,0.00173557477181923,"lipin 2",4,"mTOR signaling pathway; Glycerophospholipid metabolism; Alcoholic liver disease; Glycerolipid metabolism",20,"glycerolipid biosynthetic process; small molecule catabolic process; glycerolipid metabolic process; organic acid catabolic process; carboxylic acid catabolic process; fatty acid catabolic process; monocarboxylic acid catabolic process; cellular lipid catabolic process; cellular response to peptide; fatty acid metabolic process; response to peptide hormone; lipid catabolic process; response to insulin; cellular response to insulin stimulus; cellular response to peptide hormone stimulus; triglyceride biosynthetic process; neutral lipid biosynthetic process; acylglycerol biosynthetic process; neutral lipid metabolic process; acylglycerol metabolic process"
"MYADM",1.97997819956517,0.590023764027512,0.0019167384214061,"myeloid associated differentiation marker",0,"No KEGG pathway",46,"regulation of cellular component size; regulation of protein-containing complex assembly; actin filament organization; protein localization to cell periphery; protein polymerization; cell-substrate adhesion; regulation of supramolecular fiber organization; negative regulation of organelle organization; regulation of actin filament-based process; positive regulation of cell adhesion; actin polymerization or depolymerization; regulation of actin cytoskeleton organization; actin filament polymerization; negative regulation of protein modification process; regulation of actin filament organization; regulation of protein polymerization; regulation of actin filament length; regulation of actin polymerization or depolymerization; regulation of cell-cell adhesion; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; regulation of actin filament polymerization; negative regulation of phosphorylation; regulation of cell-substrate adhesion; negative regulation of protein phosphorylation; positive regulation of cell-substrate adhesion; substrate adhesion-dependent cell spreading; epithelial cell development; negative regulation of cytoskeleton organization; negative regulation of protein-containing complex assembly; negative regulation of cell adhesion; establishment of endothelial barrier; regulation of substrate adhesion-dependent cell spreading; negative regulation of supramolecular fiber organization; endothelial cell development; negative regulation of actin filament polymerization; endothelium development; negative regulation of protein polymerization; negative regulation of cell-cell adhesion; positive regulation of substrate adhesion-dependent cell spreading; gastrulation; heterotypic cell-cell adhesion; endothelial cell differentiation; membrane raft organization; regulation of protein kinase C signaling; protein localization to membrane raft"
