"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"NELL1",1.9641071316704,0.0711296557433146,1.54372034057121e-05,"neural EGFL like 1",0,"No KEGG pathway",15,"regulation of protein catabolic process; negative regulation of catabolic process; negative regulation of protein catabolic process; ossification; positive regulation of ossification; bone mineralization; positive regulation of bone mineralization; regulation of ossification; positive regulation of biomineral tissue development; osteoblast differentiation; positive regulation of osteoblast differentiation; regulation of bone mineralization; biomineral tissue development; regulation of biomineral tissue development; osteoblast proliferation"
"PTGFR",2.06327725820064,0.0711296557433146,1.68673596735392e-05,"prostaglandin F receptor",2,"Phospholipase D signaling pathway; Calcium signaling pathway",12,"response to lipopolysaccharide; response to molecule of bacterial origin; calcium-mediated signaling; cellular response to ketone; response to alcohol; cellular response to alcohol; response to ketone; second-messenger-mediated signaling; response to prostaglandin; calcium-mediated signaling using intracellular calcium source; cellular response to prostaglandin stimulus; response to estradiol"
"KCNJ6",1.96216947125965,0.0926245792859705,3.45199051091129e-05,"potassium inwardly rectifying channel subfamily J member 6",9,"Oxytocin signaling pathway; Dopaminergic synapse; Circadian entrainment; GnRH secretion; Estrogen signaling pathway; Cholinergic synapse; Retrograde endocannabinoid signaling; Morphine addiction; GABAergic synapse",0,"No GO term"
"SCN3A",1.85077520860851,0.0926245792859705,4.39291341171309e-05,"sodium voltage-gated channel alpha subunit 3",0,"No KEGG pathway",3,"calcium ion transport; calcium ion transmembrane import into cytosol; calcium ion transmembrane transport"
"SV2B",1.92418811419394,0.10019420098477,5.93989809015709e-05,"synaptic vesicle glycoprotein 2B",1,"ECM-receptor interaction",19,"exocytosis; synaptic vesicle cycle; vesicle-mediated transport in synapse; regulation of exocytosis; regulated exocytosis; synaptic vesicle exocytosis; neurotransmitter secretion; signal release from synapse; regulation of trans-synaptic signaling; regulation of regulated secretory pathway; modulation of chemical synaptic transmission; intracellular calcium ion homeostasis; calcium ion homeostasis; signal release; regulation of neurotransmitter levels; regulation of synaptic vesicle exocytosis; regulation of neurotransmitter secretion; neuron cellular homeostasis; neurotransmitter transport"
"PEG10",1.71144799131818,0.118122735179314,8.40332476969273e-05,"paternally expressed 10",0,"No KEGG pathway",15,"RNA localization; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; protein complex oligomerization; response to transforming growth factor beta; cellular response to transforming growth factor beta stimulus; protein homooligomerization; transforming growth factor beta receptor signaling pathway; regulation of transforming growth factor beta receptor signaling pathway; regulation of cellular response to transforming growth factor beta stimulus; transmembrane receptor protein serine/threonine kinase signaling pathway; regulation of cellular response to growth factor stimulus"
"CADPS",1.76201350397256,0.132130854818425,0.000109665162879888,"calcium dependent secretion activator",0,"No KEGG pathway",16,"exocytosis; synaptic vesicle cycle; vesicle-mediated transport in synapse; regulation of exocytosis; regulated exocytosis; synaptic vesicle exocytosis; neurotransmitter secretion; signal release from synapse; positive regulation of exocytosis; positive regulation of secretion by cell; positive regulation of secretion; signal release; regulation of neurotransmitter levels; calcium-ion regulated exocytosis; neurotransmitter transport; dense core granule exocytosis"
"RAB3B",1.70889382755001,0.132670313778315,0.000134592244507459,"RAB3B, member RAS oncogene family",0,"No KEGG pathway",20,"regulation of cellular component size; protein localization to cell periphery; protein localization to plasma membrane; exocytosis; membrane docking; organelle localization by membrane tethering; synaptic vesicle cycle; vesicle-mediated transport in synapse; exocytic process; vesicle docking; regulation of exocytosis; vesicle docking involved in exocytosis; protein secretion; establishment of protein localization to extracellular region; protein localization to extracellular region; regulation of vesicle size; regulation of neurotransmitter levels; regulation of synaptic vesicle cycle; antigen processing and presentation; neurotransmitter transport"
"KIF5C",1.72281726222584,0.132670313778315,0.0001415737282434,"kinesin family member 5C",11,"Endocytosis; Salmonella infection; Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Huntington disease; Alzheimer disease; Parkinson disease; Prion disease; Non-small cell lung cancer; Motor proteins; Dopaminergic synapse",26,"establishment of organelle localization; vesicle localization; microtubule-based transport; establishment of vesicle localization; cytoskeleton-dependent intracellular transport; transport along microtubule; microtubule-based movement; RNA localization; protein-containing complex localization; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; axo-dendritic transport; axonogenesis; protein localization to cell junction; synaptic vesicle localization; axonal transport; synaptic vesicle transport; anterograde axonal transport; protein localization to synapse; axon guidance; neuron projection guidance; receptor localization to synapse; dendritic transport"
"KIF5C",1.72281726222584,0.132670313778315,0.0001415737282434,"kinesin family member 5C",11,"Endocytosis; Salmonella infection; Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Huntington disease; Alzheimer disease; Parkinson disease; Prion disease; Non-small cell lung cancer; Motor proteins; Dopaminergic synapse",26,"establishment of organelle localization; vesicle localization; microtubule-based transport; establishment of vesicle localization; cytoskeleton-dependent intracellular transport; transport along microtubule; microtubule-based movement; RNA localization; protein-containing complex localization; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; axo-dendritic transport; axonogenesis; protein localization to cell junction; synaptic vesicle localization; axonal transport; synaptic vesicle transport; anterograde axonal transport; protein localization to synapse; axon guidance; neuron projection guidance; receptor localization to synapse; dendritic transport"
"RALYL",1.78098508425374,0.235801514150898,0.000279584436982331,"RALY RNA binding protein like",0,"No KEGG pathway",0,"No GO term"
"ZNF264",1.51124997838677,0.248128995439826,0.000371833971388451,"zinc finger protein 264",0,"No KEGG pathway",0,"No GO term"
"PCSK2",1.64972489656334,0.248128995439826,0.000351733833129992,"proprotein convertase subtilisin/kexin type 2",0,"No KEGG pathway",5,"protein processing; insulin metabolic process; signaling receptor ligand precursor processing; peptide hormone processing; protein autoprocessing"
"FAM13A",1.41491836708298,0.248128995439826,0.000428187140515216,"family with sequence similarity 13 member A",0,"No KEGG pathway",2,"small GTPase mediated signal transduction; regulation of small GTPase mediated signal transduction"
