"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"LYZ",-4.1614680372569,0.0057655562987984,2.86007060831089e-06,"lysozyme",1,"Salivary secretion",2,"tissue homeostasis; anatomical structure homeostasis"
"SCGB3A1",-3.73227748517808,0.0057655562987984,3.72287758779216e-06,"secretoglobin family 3A member 1",0,"No KEGG pathway",6,"cell growth; regulation of cell growth; negative regulation of growth; negative regulation of cell growth; muscle cell differentiation; striated muscle cell differentiation"
"RPS10",2.55257286625461,0.0057655562987984,4.28603868367326e-06,"ribosomal protein S10",2,"Coronavirus disease - COVID-19; Ribosome",1,"cytoplasmic translation"
"ADAMTS9",-2.62782881179304,0.0057655562987984,6.2074799224064e-06,"ADAM metallopeptidase with thrombospondin type 1 motif 9",0,"No KEGG pathway",23,"cell-substrate adhesion; cell-matrix adhesion; extracellular structure organization; extracellular matrix organization; external encapsulating structure organization; heart valve development; heart valve morphogenesis; pigmentation; aorta development; ameboidal-type cell migration; artery development; muscle tissue development; striated muscle tissue development; epithelial cell migration; epithelium migration; tissue migration; aorta morphogenesis; ventricular cardiac muscle tissue development; pigment cell differentiation; cardiac muscle tissue development; developmental pigmentation; regulation of developmental pigmentation; artery morphogenesis"
"NME2",3.01767976591943,0.0057655562987984,6.50593127826495e-06,"NME/NM23 nucleoside diphosphate kinase 2",5,"Nucleotide metabolism; Purine metabolism; Pyrimidine metabolism; Biosynthesis of cofactors; Drug metabolism - other enzymes",46,"ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; purine ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; pyrimidine-containing compound metabolic process; integrin-mediated signaling pathway; nucleoside triphosphate metabolic process; pyrimidine nucleotide metabolic process; ribonucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; pyrimidine-containing compound biosynthetic process; ribonucleoside triphosphate biosynthetic process; pyrimidine ribonucleotide metabolic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; pyrimidine nucleotide biosynthetic process; pyrimidine ribonucleotide biosynthetic process; GTP metabolic process; epithelial cell proliferation; pyrimidine nucleoside triphosphate metabolic process; pyrimidine nucleoside triphosphate biosynthetic process; pyrimidine ribonucleoside triphosphate metabolic process; positive regulation of epithelial cell proliferation; positive regulation of epidermal cell differentiation; regulation of epidermis development; positive regulation of epidermis development; regulation of epidermal cell differentiation; CTP metabolic process; pyrimidine ribonucleoside triphosphate biosynthetic process; regulation of epithelial cell proliferation; CTP biosynthetic process; positive regulation of keratinocyte differentiation; regulation of keratinocyte differentiation; UTP metabolic process; GTP biosynthetic process; UTP biosynthetic process"
"MT1A",-2.68032758779107,0.00810947767298171,1.09810124210991e-05,"metallothionein 1A",1,"Mineral absorption",8,"negative regulation of growth; response to metal ion; cellular response to inorganic substance; cellular response to metal ion; response to toxic substance; intracellular zinc ion homeostasis; response to cadmium ion; cellular response to cadmium ion"
"MT-ND6",-2.23119540957277,0.0111400942602302,1.75988850872515e-05,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6",0,"No KEGG pathway",0,"No GO term"
"NUDT4",-2.10145119152255,0.0208746788845029,3.76884294913164e-05,"nudix hydrolase 4",0,"No KEGG pathway",19,"ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; purine ribonucleotide metabolic process; nucleoside phosphate catabolic process; organophosphate catabolic process; nucleotide catabolic process; carbohydrate derivative catabolic process; ribonucleotide catabolic process; purine nucleotide catabolic process; purine-containing compound catabolic process; purine ribonucleotide catabolic process; alcohol metabolic process; calcium-mediated signaling; nucleobase-containing compound catabolic process; second-messenger-mediated signaling; polyol metabolic process; inositol phosphate metabolic process"
"EEF1G",3.10559253826524,0.0401484424295201,8.15472764309819e-05,"eukaryotic translation elongation factor 1 gamma",1,"Legionellosis",2,"response to virus; translational elongation"
"HEXIM1",-2.55018111698805,0.0481436125726799,0.000124815151705974,"HEXIM P-TEFb complex subunit 1",0,"No KEGG pathway",37,"viral process; regulation of innate immune response; negative regulation of protein modification process; positive regulation of innate immune response; signal transduction by p53 class mediator; viral gene expression; positive regulation of defense response; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; DNA-templated transcription elongation; negative regulation of phosphorylation; negative regulation of cell cycle; regulation of protein serine/threonine kinase activity; negative regulation of protein phosphorylation; regulation of signal transduction by p53 class mediator; activation of innate immune response; positive regulation of response to biotic stimulus; transcription elongation by RNA polymerase II; negative regulation of transferase activity; regulation of DNA-templated transcription elongation; regulation of transcription elongation by RNA polymerase II; viral transcription; negative regulation of kinase activity; negative regulation of protein kinase activity; regulation of cyclin-dependent protein serine/threonine kinase activity; regulation of viral process; regulation of cyclin-dependent protein kinase activity; negative regulation of catalytic activity; regulation of viral transcription; negative regulation of protein serine/threonine kinase activity; positive regulation of signal transduction by p53 class mediator; negative regulation of DNA-templated transcription, elongation; negative regulation of viral transcription; negative regulation of viral process; negative regulation of transcription elongation by RNA polymerase II; negative regulation of cyclin-dependent protein serine/threonine kinase activity; negative regulation of cyclin-dependent protein kinase activity"
"HIGD1B",3.53044949861101,0.0481436125726799,0.000128608028002237,"HIG1 hypoxia inducible domain family member 1B",0,"No KEGG pathway",0,"No GO term"
"FKBP5",-2.07304002866145,0.0481436125726799,0.000141247339978524,"FKBP prolyl isomerase 5",1,"Estrogen signaling pathway",3,"protein folding; chaperone-mediated protein folding; peptidyl-proline modification"
"LLPH",3.77004283236869,0.0481436125726799,0.000141052828223259,"LLP homolog, long-term synaptic facilitation factor",0,"No KEGG pathway",9,"cell growth; developmental growth involved in morphogenesis; dendrite development; neuron projection extension; developmental cell growth; dendritic spine development; regulation of dendritic spine development; positive regulation of dendritic spine development; dendrite extension"
"CPE",-2.44060997262121,0.0507008795007173,0.000170442747289128,"carboxypeptidase E",0,"No KEGG pathway",17,"cell-cell signaling by wnt; Wnt signaling pathway; protein processing; heart morphogenesis; signal release; cardiac chamber development; peptide secretion; amide transport; peptide hormone secretion; peptide transport; cardiac chamber morphogenesis; cardiac ventricle development; insulin metabolic process; hormone secretion; signaling receptor ligand precursor processing; peptide hormone processing; hormone transport"
"RARS1",3.46522233359365,0.0507008795007173,0.000171634663171013,"arginyl-tRNA synthetase 1",0,"No KEGG pathway",5,"tRNA metabolic process; amino acid metabolic process; amino acid activation; tRNA aminoacylation; tRNA aminoacylation for protein translation"
"RNASEK",3.31074076261954,0.0531793077105558,0.000192026387580432,"ribonuclease K",0,"No KEGG pathway",27,"vesicle organization; viral process; vacuole organization; viral life cycle; endosome organization; lysosome organization; lytic vacuole organization; receptor-mediated endocytosis; biological process involved in symbiotic interaction; movement in host; biological process involved in interaction with host; regulation of intracellular pH; vacuolar acidification; entry into host; regulation of cellular pH; intracellular pH reduction; viral entry into host cell; regulation of pH; regulation of lysosomal lumen pH; lysosomal lumen acidification; endosomal lumen acidification; Golgi lumen acidification; nucleic acid phosphodiester bond hydrolysis; transport of virus; proton transmembrane transport; endocytosis involved in viral entry into host cell; receptor-mediated endocytosis of virus by host cell"
"ATOH8",3.47010115291306,0.0729674577452816,0.000279947366659848,"atonal bHLH transcription factor 8",0,"No KEGG pathway",21,"ncRNA transcription; regulation of ncRNA transcription; tube formation; miRNA metabolic process; miRNA transcription; regulation of miRNA transcription; regulation of miRNA metabolic process; endothelium development; positive regulation of miRNA transcription; gastrulation; ameboidal-type cell migration; positive regulation of miRNA metabolic process; endothelial cell differentiation; positive regulation of epithelial cell migration; epithelial cell proliferation; formation of primary germ layer; epithelial cell migration; regulation of epithelial cell proliferation; epithelium migration; tissue migration; transmembrane receptor protein serine/threonine kinase signaling pathway"
"ST6GALNAC6",3.17139412952389,0.0955225398604034,0.000415287581277681,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",1,"Glycosphingolipid biosynthesis - ganglio series",11,"glycoprotein metabolic process; membrane lipid metabolic process; membrane lipid biosynthetic process; sphingolipid metabolic process; carbohydrate biosynthetic process; sphingolipid biosynthetic process; liposaccharide metabolic process; glycolipid metabolic process; ceramide metabolic process; glycolipid biosynthetic process; ceramide biosynthetic process"
"NNMT",-2.00435181042281,0.0955225398604034,0.00040838296884143,"nicotinamide N-methyltransferase",1,"Nicotinate and nicotinamide metabolism",37,"purine nucleotide metabolic process; methylation; purine-containing compound metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; protein deacylation; protein deacetylation; monosaccharide metabolic process; macromolecule deacylation; water-soluble vitamin metabolic process; hexose metabolic process; regulation of carbohydrate metabolic process; regulation of protein deacetylation; carbohydrate biosynthetic process; glucose metabolic process; regulation of small molecule metabolic process; pyridine-containing compound metabolic process; vitamin metabolic process; pyridine nucleotide metabolic process; nicotinamide nucleotide metabolic process; regulation of glucose metabolic process; regulation of carbohydrate biosynthetic process; monosaccharide biosynthetic process; positive regulation of protein deacetylation; positive regulation of carbohydrate metabolic process; regeneration; hexose biosynthetic process; NAD metabolic process; animal organ regeneration; gluconeogenesis; positive regulation of small molecule metabolic process; regulation of gluconeogenesis; response to xenobiotic stimulus; positive regulation of gluconeogenesis; positive regulation of glucose metabolic process"
"EGLN2",3.50060116053709,0.0955225398604034,0.000431155675289566,"egl-9 family hypoxia inducible factor 2",2,"Renal cell carcinoma; HIF-1 signaling pathway",23,"regulation of protein catabolic process; cell growth; regulation of cell growth; positive regulation of protein catabolic process; intracellular receptor signaling pathway; response to oxygen levels; response to decreased oxygen levels; response to hypoxia; neuron apoptotic process; cell redox homeostasis; steroid hormone mediated signaling pathway; intracellular steroid hormone receptor signaling pathway; cellular response to steroid hormone stimulus; regulation of neuron apoptotic process; protein hydroxylation; response to steroid hormone; cellular response to oxygen levels; cellular response to decreased oxygen levels; intracellular estrogen receptor signaling pathway; hormone-mediated signaling pathway; cellular response to hypoxia; peptidyl-proline hydroxylation; peptidyl-proline modification"
