"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"SMG7",-0.712679655229535,0.880088699933389,0.000157696661494947,"SMG7 nonsense mediated mRNA decay factor",1,"mRNA surveillance pathway",16,"nucleocytoplasmic transport; nuclear transport; RNA localization; nuclear export; nuclear-transcribed mRNA catabolic process; dephosphorylation; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; RNA export from nucleus; mRNA export from nucleus; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; regulation of dephosphorylation; nucleobase-containing compound catabolic process"
"ATP6V0A2",0.714170439404696,0.880088699933389,0.000183961719060291,"ATPase H+ transporting V0 subunit a2",10,"Lysosome biogenesis; Human papillomavirus infection; Epithelial cell signaling in Helicobacter pylori infection; Vibrio cholerae infection; Oxidative phosphorylation; Tuberculosis; Phagosome; Rheumatoid arthritis; Synaptic vesicle cycle; Collecting duct acid secretion",14,"macroautophagy; regulation of autophagy; regulation of macroautophagy; response to oxygen levels; regulation of intracellular pH; vacuolar acidification; regulation of cellular pH; intracellular pH reduction; regulation of pH; intracellular iron ion homeostasis; cellular response to oxygen levels; Golgi lumen acidification; proton transmembrane transport; cellular response to increased oxygen levels"
"HAS3",-1.45338833009333,0.880088699933389,0.00013534820204979,"hyaluronan synthase 3",0,"No KEGG pathway",14,"extracellular structure organization; extracellular matrix organization; external encapsulating structure organization; aminoglycan biosynthetic process; glycosaminoglycan biosynthetic process; aminoglycan metabolic process; glycosaminoglycan metabolic process; mucopolysaccharide metabolic process; carbohydrate biosynthetic process; polysaccharide metabolic process; hyaluronan biosynthetic process; extracellular matrix assembly; polysaccharide biosynthetic process; hyaluronan metabolic process"
"AARD",1.70008397039684,0.880088699933389,0.000208737313948032,"alanine and arginine rich domain containing protein",0,"No KEGG pathway",0,"No GO term"
"INTS10",0.6981986589433,0.999826600837658,0.000943589714621809,"integrator complex subunit 10",0,"No KEGG pathway",7,"ncRNA processing; DNA-templated transcription elongation; transcription elongation by RNA polymerase II; regulation of DNA-templated transcription elongation; regulation of transcription elongation by RNA polymerase II; snRNA metabolic process; snRNA processing"
"SLC6A14",-0.991182696191802,0.999826600837658,0.000686484764712739,"solute carrier family 6 member 14",0,"No KEGG pathway",7,"amino-acid betaine transport; modified amino acid transport; response to toxic substance; branched-chain amino acid transport; organic acid transmembrane transport; carboxylic acid transmembrane transport; aromatic amino acid transport"
"NTS",1.54492223629787,0.999826600837658,0.000570079544245164,"neurotensin",0,"No KEGG pathway",7,"positive regulation of DNA-binding transcription factor activity; regulation of DNA-binding transcription factor activity; positive regulation of NF-kappaB transcription factor activity; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; phosphatidylinositol 3-kinase/protein kinase B signal transduction; vascular process in circulatory system; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"SLC16A5",0.733350902049109,0.999826600837658,0.000646684240592626,"solute carrier family 16 member 5",0,"No KEGG pathway",0,"No GO term"
"SCPEP1",0.866246641613855,0.999826600837658,0.00287822920608397,"serine carboxypeptidase 1",0,"No KEGG pathway",2,"vascular process in circulatory system; isoprenoid metabolic process"
"KYNU",-0.971671098141037,0.999826600837658,0.0013024748099881,"kynureninase",2,"Biosynthesis of cofactors; Tryptophan metabolism",25,"purine nucleotide metabolic process; purine-containing compound metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; response to nutrient levels; amino acid metabolic process; response to type II interferon; alpha-amino acid metabolic process; pyridine-containing compound metabolic process; pyridine nucleotide metabolic process; nicotinamide nucleotide metabolic process; amino acid catabolic process; dicarboxylic acid metabolic process; organic acid biosynthetic process; response to nutrient; cellular ketone metabolic process; carboxylic acid biosynthetic process; alpha-amino acid catabolic process; NAD metabolic process; response to vitamin"
"PTER",0.731831509346344,0.999826600837658,0.00114527475567663,"phosphotriesterase related",0,"No KEGG pathway",0,"No GO term"
"CCDC47",0.555951616134098,0.999826600837658,0.00318493081328369,"coiled-coil domain containing 47",0,"No KEGG pathway",18,"proteasome-mediated ubiquitin-dependent protein catabolic process; response to endoplasmic reticulum stress; establishment of protein localization to membrane; ERAD pathway; endoplasmic reticulum organization; ubiquitin-dependent ERAD pathway; ER-nucleus signaling pathway; protein insertion into membrane; ossification; post-embryonic development; protein folding; protein insertion into ER membrane; intracellular calcium ion homeostasis; calcium ion homeostasis; endoplasmic reticulum calcium ion homeostasis; cellular response to biotic stimulus; ER overload response; osteoblast differentiation"
"ZSWIM4",-0.882720386860838,0.999826600837658,0.000941111578042551,"zinc finger SWIM-type containing 4",0,"No KEGG pathway",0,"No GO term"
"ZSWIM4",-0.882720386860838,0.999826600837658,0.000941111578042551,"zinc finger SWIM-type containing 4",0,"No KEGG pathway",0,"No GO term"
"SNX13",0.610627241821033,0.999826600837658,0.00205717189934614,"sorting nexin 13",0,"No KEGG pathway",2,"regulation of GTPase activity; positive regulation of GTPase activity"
"INAFM1",-0.698592420002932,0.999826600837658,0.00103705146205236,"InaF motif containing 1",0,"No KEGG pathway",0,"No GO term"
"FCGBP",-1.45733394748399,0.999826600837658,0.00287577107690549,"Fc gamma binding protein",0,"No KEGG pathway",0,"No GO term"
"FCGBP",-1.45733394748399,0.999826600837658,0.00287577107690549,"Fc gamma binding protein",0,"No KEGG pathway",0,"No GO term"
"HACL1",0.793767826460638,0.999826600837658,0.00200967000142101,"2-hydroxyacyl-CoA lyase 1",1,"Peroxisome",19,"establishment of protein localization to organelle; protein targeting; small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; fatty acid oxidation; fatty acid catabolic process; monocarboxylic acid catabolic process; lipid oxidation; cellular lipid catabolic process; lipid modification; fatty acid metabolic process; lipid catabolic process; peroxisome organization; peroxisomal transport; protein targeting to peroxisome; protein localization to peroxisome; establishment of protein localization to peroxisome; long-chain fatty acid metabolic process"
"TTC9",-0.981353604770259,0.999826600837658,0.00123172221957486,"tetratricopeptide repeat domain 9",0,"No KEGG pathway",1,"bone development"
