"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"HSPB6",-3.0616070982505,0.99958577627925,0.00640174693060032,"heat shock protein family B (small) member 6",0,"No KEGG pathway",6,"protein folding; chaperone-mediated protein folding; positive regulation of angiogenesis; positive regulation of vasculature development; response to heat; response to temperature stimulus"
"UXT",2.92721593183667,0.99958577627925,0.00783570879219609,"ubiquitously expressed prefoldin like chaperone",0,"No KEGG pathway",14,"establishment of organelle localization; microtubule-based transport; cytoskeleton-dependent intracellular transport; transport along microtubule; microtubule-based movement; regulation of protein stability; microtubule organizing center organization; centrosome cycle; protein stabilization; organelle transport along microtubule; mitochondrion localization; establishment of mitochondrion localization; establishment of mitochondrion localization, microtubule-mediated; mitochondrion transport along microtubule"
"BCAM",-3.24380751356597,0.99958577627925,0.00732406082633613,"basal cell adhesion molecule (Lutheran blood group)",0,"No KEGG pathway",2,"cell-substrate adhesion; cell-matrix adhesion"
"PRELID1",2.7657448953932,0.99958577627925,0.0104986835253322,"PRELI domain containing 1",0,"No KEGG pathway",47,"negative regulation of organelle organization; positive regulation of proteolysis; T cell differentiation; mononuclear cell differentiation; regulation of T cell activation; lymphocyte differentiation; regulation of apoptotic signaling pathway; regulation of mitochondrion organization; regulation of lymphocyte differentiation; leukocyte apoptotic process; cellular respiration; energy derivation by oxidation of organic compounds; regulation of leukocyte differentiation; regulation of T cell differentiation; regulation of hemopoiesis; regulation of leukocyte apoptotic process; positive regulation of peptidase activity; lymphocyte apoptotic process; negative regulation of apoptotic signaling pathway; positive regulation of endopeptidase activity; regulation of lymphocyte apoptotic process; T cell apoptotic process; regulation of membrane lipid distribution; regulation of generation of precursor metabolites and energy; regulation of peptidase activity; phospholipid transport; organophosphate ester transport; regulation of T cell apoptotic process; regulation of mitochondrial membrane potential; release of cytochrome c from mitochondria; apoptotic mitochondrial changes; regulation of release of cytochrome c from mitochondria; regulation of endopeptidase activity; regulation of cellular respiration; positive regulation of leukocyte apoptotic process; negative regulation of mitochondrion organization; positive regulation of lymphocyte apoptotic process; regulation of phospholipid transport; negative regulation of release of cytochrome c from mitochondria; positive regulation of phospholipid transport; positive regulation of T cell apoptotic process; positive regulation of cellular respiration; intermembrane lipid transfer; lipid transport; positive regulation of lipid transport; negative regulation of mitochondrial membrane potential; negative regulation of membrane potential"
"MRGPRF",2.82407785225362,0.99958577627925,0.0138570989396351,"MAS related GPR family member F",0,"No KEGG pathway",0,"No GO term"
"PCSK7",-2.52354824947774,0.99958577627925,0.0216787115472649,"proprotein convertase subtilisin/kexin type 7",0,"No KEGG pathway",3,"protein processing; signaling receptor ligand precursor processing; peptide hormone processing"
"SORBS2",-2.7383146282264,0.99958577627925,0.0162655537741387,"sorbin and SH3 domain containing 2",0,"No KEGG pathway",10,"cell growth; developmental cell growth; Notch signaling pathway; muscle cell differentiation; muscle tissue development; striated muscle tissue development; striated muscle cell differentiation; organ growth; cardiac muscle tissue development; cardiocyte differentiation"
"GAS6",2.57054057349709,0.99958577627925,0.0214343810482981,"growth arrest specific 6",2,"Efferocytosis; EGFR tyrosine kinase inhibitor resistance",154,"positive regulation of protein localization; nucleocytoplasmic transport; nuclear transport; regulation of intracellular transport; protein localization to cell periphery; viral process; protein localization to plasma membrane; cell-substrate adhesion; positive regulation of transferase activity; positive regulation of establishment of protein localization; cellular response to external stimulus; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; positive regulation of intracellular transport; regulation of intracellular protein transport; positive regulation of protein transport; positive regulation of cell activation; viral life cycle; mononuclear cell differentiation; leukocyte migration; lymphocyte differentiation; cellular response to extracellular stimulus; wound healing; regulation of leukocyte migration; positive regulation of intracellular protein transport; nuclear export; positive regulation of kinase activity; TOR signaling; cellular response to nutrient levels; extracellular structure organization; extracellular matrix organization; phagocytosis; viral genome replication; positive regulation of leukocyte migration; regulation of nucleocytoplasmic transport; external encapsulating structure organization; positive regulation of protein kinase activity; fibroblast proliferation; regulation of lymphocyte differentiation; leukocyte apoptotic process; regulation of leukocyte differentiation; regulation of endocytosis; chemotaxis; regulation of TOR signaling; positive regulation of cell development; positive regulation of chemotaxis; taxis; regulation of chemotaxis; positive regulation of lymphocyte differentiation; regulation of cysteine-type endopeptidase activity involved in apoptotic process; leukocyte chemotaxis; response to nutrient levels; response to starvation; regulation of hemopoiesis; positive regulation of leukocyte differentiation; positive regulation of hemopoiesis; regulation of fibroblast proliferation; regulation of mononuclear cell migration; cellular response to starvation; regulation of leukocyte apoptotic process; biological process involved in symbiotic interaction; regulation of cysteine-type endopeptidase activity; blood coagulation; movement in host; mononuclear cell migration; hemostasis; positive regulation of nucleocytoplasmic transport; regulation of leukocyte chemotaxis; biological process involved in interaction with host; coagulation; cell chemotaxis; entry into host; response to tumor necrosis factor; protein export from nucleus; positive regulation of mononuclear cell migration; regulation of body fluid levels; viral entry into host cell; negative regulation of leukocyte apoptotic process; positive regulation of endocytosis; positive regulation of MAPK cascade; positive regulation of TOR signaling; positive regulation of leukocyte chemotaxis; cellular response to tumor necrosis factor; lymphocyte migration; regulation of peptidase activity; cellular response to ketone; positive regulation of fibroblast proliferation; dendritic cell migration; negative regulation of catalytic activity; membrane fusion; response to ketone; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; regulation of protein export from nucleus; regulation of endopeptidase activity; dendritic cell chemotaxis; positive regulation of natural killer cell activation; response to interferon-alpha; activation of protein kinase activity; phosphatidylinositol 3-kinase/protein kinase B signal transduction; renal filtration; positive regulation of response to cytokine stimulus; glial cell apoptotic process; positive regulation of cytokine-mediated signaling pathway; glomerular filtration; tumor necrosis factor-mediated signaling pathway; neuron migration; response to nutrient; type II interferon production; regulation of type II interferon production; regulation of natural killer cell activation; regulation of phagocytosis; regulation of response to cytokine stimulus; fibroblast apoptotic process; extracellular matrix assembly; regulation of cytokine-mediated signaling pathway; natural killer cell differentiation; positive regulation of protein export from nucleus; ERK1 and ERK2 cascade; dendritic cell apoptotic process; regulation of dendritic cell apoptotic process; myeloid cell apoptotic process; negative regulation of proteolysis; regulation of glial cell apoptotic process; cellular response to nutrient; apoptotic cell clearance; regeneration; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process; negative regulation of glial cell apoptotic process; positive regulation of dendritic cell chemotaxis; regulation of ERK1 and ERK2 cascade; animal organ regeneration; tumor necrosis factor superfamily cytokine production; regulation of tumor necrosis factor superfamily cytokine production; tumor necrosis factor production; regulation of tumor necrosis factor production; epithelial cell apoptotic process; cellular response to xenobiotic stimulus; regulation of fibroblast apoptotic process; biomineral tissue development; negative regulation of cysteine-type endopeptidase activity; response to vitamin; response to xenobiotic stimulus; regulation of myeloid cell apoptotic process; lymphocyte chemotaxis; regulation of biomineral tissue development; positive regulation of phagocytosis; dendritic cell differentiation; regulation of dendritic cell chemotaxis; calcium ion transport; cellular response to vitamin; transmembrane receptor protein serine/threonine kinase signaling pathway; response to carbohydrate; calcium ion transmembrane transport"
"ANGPTL1",-2.95359052259893,0.99958577627925,0.0169681232798227,"angiopoietin like 1",0,"No KEGG pathway",0,"No GO term"
"CEBPB",2.58453893510089,0.99958577627925,0.0204308015949075,"CCAAT enhancer binding protein beta",5,"Efferocytosis; TNF signaling pathway; IL-17 signaling pathway; Tuberculosis; Transcriptional misregulation in cancer",98,"in utero embryonic development; response to endoplasmic reticulum stress; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; positive regulation of defense response; intrinsic apoptotic signaling pathway; leukocyte cell-cell adhesion; regulation of leukocyte cell-cell adhesion; positive regulation of cytokine production; regulation of leukocyte differentiation; T cell proliferation; regulation of leukocyte proliferation; regulation of hemopoiesis; embryonic placenta development; myeloid cell differentiation; regulation of lymphocyte proliferation; placenta development; integrated stress response signaling; regulation of mononuclear cell proliferation; gland morphogenesis; adaptive thermogenesis; response to lipopolysaccharide; negative regulation of cell activation; response to molecule of bacterial origin; neuron apoptotic process; leukocyte proliferation; myeloid leukocyte differentiation; negative regulation of cell adhesion; cold-induced thermogenesis; hepaticobiliary system development; regulation of cold-induced thermogenesis; mononuclear cell proliferation; temperature homeostasis; negative regulation of leukocyte activation; regulation of T cell proliferation; lymphocyte proliferation; gland development; liver development; mammary gland epithelium development; negative regulation of lymphocyte activation; embryonic organ development; ossification; mammary gland development; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; negative regulation of cell-cell adhesion; regulation of DNA-templated transcription in response to stress; regulation of neuron apoptotic process; fat cell differentiation; negative regulation of T cell activation; negative regulation of T cell proliferation; negative regulation of leukocyte proliferation; myeloid cell development; cellular response to amino acid stimulus; negative regulation of lymphocyte proliferation; regulation of transcription from RNA polymerase II promoter in response to stress; mammary gland epithelial cell proliferation; liver morphogenesis; cellular response to acid chemical; negative regulation of mononuclear cell proliferation; response to amino acid; positive regulation of cold-induced thermogenesis; response to acid chemical; hepatocyte proliferation; epithelial cell proliferation involved in liver morphogenesis; positive regulation of interleukin-4 production; epithelial cell proliferation; positive regulation of inflammatory response; negative regulation of leukocyte cell-cell adhesion; negative regulation of neuron apoptotic process; osteoclast differentiation; interleukin-4 production; regulation of interleukin-4 production; positive regulation of biomineral tissue development; positive regulation of transcription from RNA polymerase II promoter in response to stress; liver regeneration; female sex differentiation; osteoblast differentiation; regeneration; positive regulation of fat cell differentiation; mammary gland epithelial cell differentiation; positive regulation of osteoblast differentiation; reproductive system development; animal organ regeneration; regulation of myeloid leukocyte differentiation; regulation of myeloid cell differentiation; reproductive structure development; biomineral tissue development; ovarian follicle development; regulation of biomineral tissue development; dendritic cell differentiation; female gonad development; development of primary female sexual characteristics; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress; regulation of fat cell differentiation; regulation of osteoclast differentiation; development of primary sexual characteristics; gonad development"
