"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"DAB2",1.7790372961254,0.999931226750324,0.00287010057425026,"DAB adaptor protein 2",1,"Endocytosis",132,"proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of protein catabolic process; regulation of intracellular transport; protein localization to cell periphery; protein localization to plasma membrane; cell-substrate adhesion; positive regulation of cell adhesion; positive regulation of proteolysis; cell growth; regulation of cell growth; positive regulation of protein catabolic process; regulation of binding; regulation of proteolysis involved in protein catabolic process; cytosolic transport; positive regulation of intracellular transport; regulation of proteasomal protein catabolic process; regulation of neuron projection development; intracellular receptor signaling pathway; cell-cell signaling by wnt; Wnt signaling pathway; regulation of cell-substrate adhesion; regulation of ubiquitin-dependent protein catabolic process; regulation of proteasomal ubiquitin-dependent protein catabolic process; regulation of Wnt signaling pathway; positive regulation of proteasomal protein catabolic process; positive regulation of cell-substrate adhesion; regulation of protein binding; regulation of protein localization to membrane; substrate adhesion-dependent cell spreading; positive regulation of proteolysis involved in protein catabolic process; positive regulation of Wnt signaling pathway; positive regulation of ubiquitin-dependent protein catabolic process; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; regulation of endocytosis; regulation of protein localization to cell periphery; negative regulation of growth; canonical Wnt signaling pathway; negative regulation of cell growth; negative regulation of cell projection organization; regulation of canonical Wnt signaling pathway; morphogenesis of a polarized epithelium; receptor-mediated endocytosis; regulation of protein localization to plasma membrane; negative regulation of neuron projection development; negative regulation of protein localization; early endosome to late endosome transport; establishment of planar polarity; establishment of tissue polarity; mesenchymal cell differentiation; vesicle-mediated transport between endosomal compartments; regulation of substrate adhesion-dependent cell spreading; epithelial to mesenchymal transition; steroid hormone mediated signaling pathway; positive regulation of secretion by cell; negative regulation of binding; positive regulation of endocytosis; alcohol metabolic process; intracellular steroid hormone receptor signaling pathway; regulation of animal organ morphogenesis; response to transforming growth factor beta; regulation of intracellular steroid hormone receptor signaling pathway; cellular response to epidermal growth factor stimulus; regulation of non-canonical Wnt signaling pathway; cellular response to steroid hormone stimulus; clathrin-dependent endocytosis; positive regulation of receptor-mediated endocytosis; regulation of establishment of planar polarity; positive regulation of secretion; cellular response to transforming growth factor beta stimulus; response to epidermal growth factor; regulation of hormone biosynthetic process; regulation of cytoplasmic transport; regulation of small molecule metabolic process; negative regulation of protein binding; Wnt signaling pathway, planar cell polarity pathway; negative regulation of Wnt signaling pathway; regulation of epithelial to mesenchymal transition; response to steroid hormone; positive regulation of substrate adhesion-dependent cell spreading; non-canonical Wnt signaling pathway; regulation of early endosome to late endosome transport; mesenchyme development; regulation of hormone metabolic process; signal release; negative regulation of MAPK cascade; negative regulation of canonical Wnt signaling pathway; negative regulation of intracellular steroid hormone receptor signaling pathway; regulation of Wnt signaling pathway, planar cell polarity pathway; regulation of steroid hormone biosynthetic process; positive regulation of cytoplasmic transport; positive regulation of non-canonical Wnt signaling pathway; positive regulation of epithelial to mesenchymal transition; hormone-mediated signaling pathway; cellular ketone metabolic process; regulation of lipid metabolic process; epithelial cell proliferation; cellular aldehyde metabolic process; regulation of receptor-mediated endocytosis; ERK1 and ERK2 cascade; response to salt; regulation of androgen receptor signaling pathway; transforming growth factor beta receptor signaling pathway; ketone biosynthetic process; alcohol biosynthetic process; regulation of hormone secretion; regulation of ERK1 and ERK2 cascade; hormone secretion; positive regulation of lipid metabolic process; androgen receptor signaling pathway; primary alcohol metabolic process; positive regulation of hormone metabolic process; positive regulation of small molecule metabolic process; negative regulation of protein localization to cell periphery; regulation of epithelial cell proliferation; positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of protein localization to plasma membrane; organic hydroxy compound biosynthetic process; negative regulation of protein localization to membrane; regulation of clathrin-dependent endocytosis; lipid transport; positive regulation of hormone secretion; hormone transport; clathrin coat assembly; positive regulation of lipid transport; negative regulation of ERK1 and ERK2 cascade; regulation of ketone biosynthetic process; lipid export from cell; transmembrane receptor protein serine/threonine kinase signaling pathway; aldehyde biosynthetic process; regulation of cellular ketone metabolic process; positive regulation of lipid biosynthetic process; negative regulation of androgen receptor signaling pathway"
"LINC02762",2.18968000253236,0.999931226750324,0.00153057588799306,"long intergenic non-protein coding RNA 2762",0,"No KEGG pathway",0,"No GO term"
"LINC01473",2.39534049660592,0.999931226750324,0.00139123756793656,"long intergenic non-protein coding RNA 1473",0,"No KEGG pathway",0,"No GO term"
"ZNF717",1.6291498043208,0.999931226750324,0.00295372686125337,"zinc finger protein 717",0,"No KEGG pathway",0,"No GO term"
"MT1G",2.58910807554981,0.999931226750324,0.00160274012837819,"metallothionein 1G",1,"Mineral absorption",14,"mononuclear cell differentiation; myeloid leukocyte activation; negative regulation of growth; myeloid cell differentiation; response to metal ion; myeloid leukocyte differentiation; cellular response to inorganic substance; cellular response to metal ion; monocyte differentiation; response to toxic substance; intracellular zinc ion homeostasis; response to cadmium ion; cellular response to vascular endothelial growth factor stimulus; cellular response to cadmium ion"
"ENSG00000226471",1.78861423807343,0.999931226750324,0.00310192684044402,NA,0,"No KEGG pathway",0,"No GO term"
"ZC3H11A",1.44435898959821,0.999931226750324,0.00406244906200535,"zinc finger CCCH-type containing 11A",0,"No KEGG pathway",11,"nucleocytoplasmic transport; nuclear transport; RNA localization; nuclear export; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; RNA export from nucleus; mRNA export from nucleus"
"SMIM30",1.8379813724408,0.999931226750324,0.00262572333338037,"small integral membrane protein 30",0,"No KEGG pathway",0,"No GO term"
"EEF1AKMT3",2.0815145906438,0.999931226750324,0.00301315608677564,"EEF1A lysine methyltransferase 3",0,"No KEGG pathway",6,"peptidyl-lysine modification; methylation; macromolecule methylation; protein methylation; protein alkylation; peptidyl-lysine methylation"
"MTERF1",2.28534255729919,0.999931226750324,0.0033205937414754,"mitochondrial transcription termination factor 1",0,"No KEGG pathway",5,"mitochondrial gene expression; DNA conformation change; DNA geometric change; mitochondrial RNA metabolic process; mitochondrial transcription"
"NTS",2.46081527372378,0.999931226750324,0.00458298662338336,"neurotensin",0,"No KEGG pathway",7,"positive regulation of DNA-binding transcription factor activity; regulation of DNA-binding transcription factor activity; positive regulation of NF-kappaB transcription factor activity; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; phosphatidylinositol 3-kinase/protein kinase B signal transduction; vascular process in circulatory system; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"FBH1",1.77891946653405,0.999931226750324,0.00559216566455715,"F-box DNA helicase 1",0,"No KEGG pathway",30,"DNA replication; double-strand break repair; regulation of DNA repair; DNA recombination; recombinational repair; DNA-templated DNA replication; double-strand break repair via homologous recombination; regulation of double-strand break repair; intrinsic apoptotic signaling pathway; regulation of apoptotic signaling pathway; DNA conformation change; DNA geometric change; intrinsic apoptotic signaling pathway in response to DNA damage; DNA duplex unwinding; regulation of double-strand break repair via homologous recombination; regulation of DNA recombination; positive regulation of apoptotic signaling pathway; regulation of intrinsic apoptotic signaling pathway; DNA-templated DNA replication maintenance of fidelity; regulation of intrinsic apoptotic signaling pathway in response to DNA damage; replication fork processing; negative regulation of DNA metabolic process; positive regulation of intrinsic apoptotic signaling pathway; negative regulation of DNA repair; negative regulation of double-strand break repair via homologous recombination; nucleobase-containing compound catabolic process; negative regulation of double-strand break repair; cellular response to biotic stimulus; negative regulation of DNA recombination; DNA catabolic process"
"PTGER2",1.68899454383238,0.999931226750324,0.00893716199484233,"prostaglandin E receptor 2",5,"Efferocytosis; Human cytomegalovirus infection; Inflammatory mediator regulation of TRP channels; Renin secretion; cAMP signaling pathway",12,"response to lipopolysaccharide; response to molecule of bacterial origin; cellular response to ketone; response to alcohol; cellular response to alcohol; response to ketone; response to steroid hormone; response to prostaglandin; cellular response to prostaglandin stimulus; response to progesterone; response to prostaglandin E; cellular response to prostaglandin E stimulus"
"ENSG00000268416",1.82952659844163,0.999931226750324,0.00651106709421788,NA,0,"No KEGG pathway",0,"No GO term"
"CTBP1-DT",1.79950143201416,0.999931226750324,0.00660668422668475,"CTBP1 divergent transcript",0,"No KEGG pathway",0,"No GO term"
