"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"SLC25A42",1.54150568802687,0.783947178393331,5.45037571766685e-05,"solute carrier family 25 member 42",0,"No KEGG pathway",8,"nucleobase-containing compound transport; organophosphate ester transport; carbohydrate derivative transport; nucleotide transport; purine nucleotide transport; purine ribonucleotide transport; nucleotide transmembrane transport; adenine nucleotide transport"
"ZNF442",2.22958201748984,0.783947178393331,9.77978016957748e-05,"zinc finger protein 442",0,"No KEGG pathway",0,"No GO term"
"CDKL1",-1.68227838030988,0.838926185253594,0.00015698469035434,"cyclin dependent kinase like 1",0,"No KEGG pathway",6,"cilium organization; cilium assembly; regulation of organelle assembly; regulation of cell projection assembly; regulation of plasma membrane bounded cell projection assembly; regulation of cilium assembly"
"ENO1-AS1",1.76438189751896,0.99534653463028,0.00024833995375007,"ENO1 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"EPSTI1",-1.30501229106116,0.99997912551295,0.00107981801560326,"epithelial stromal interaction 1",0,"No KEGG pathway",0,"No GO term"
"KLHL5",-1.27185810913424,0.99997912551295,0.000948533546687845,"kelch like family member 5",0,"No KEGG pathway",0,"No GO term"
"SKI",-0.96459714085177,0.99997912551295,0.00163584925702452,"SKI proto-oncogene",1,"TGF-beta signaling pathway",81,"regulation of binding; respiratory system development; cell-cell signaling by wnt; Wnt signaling pathway; positive regulation of binding; epithelial tube morphogenesis; regulation of Wnt signaling pathway; neural tube development; fibroblast proliferation; tube closure; neural tube closure; neural tube formation; primary neural tube formation; positive regulation of Wnt signaling pathway; stem cell population maintenance; maintenance of cell number; epithelial tube formation; regulation of fibroblast proliferation; tube formation; embryonic epithelial tube formation; morphogenesis of embryonic epithelium; regulation of nervous system development; bone development; regulation of neurogenesis; regulation of DNA binding; ensheathment of neurons; axon ensheathment; myelination; face development; response to transforming growth factor beta; ossification; cellular response to transforming growth factor beta stimulus; roof of mouth development; gliogenesis; Schwann cell differentiation; face morphogenesis; body morphogenesis; negative regulation of fibroblast proliferation; head morphogenesis; Schwann cell development; telencephalon development; positive regulation of DNA binding; muscle cell differentiation; glial cell development; myelination in peripheral nervous system; peripheral nervous system axon ensheathment; negative regulation of cell development; somatic stem cell population maintenance; muscle organ development; muscle tissue development; bone morphogenesis; glial cell differentiation; transforming growth factor beta receptor signaling pathway; forebrain development; osteoblast differentiation; negative regulation of nervous system development; striated muscle tissue development; negative regulation of neurogenesis; appendage development; limb development; striated muscle cell differentiation; appendage morphogenesis; limb morphogenesis; eye morphogenesis; skeletal system morphogenesis; regulation of transforming growth factor beta receptor signaling pathway; glial cell proliferation; camera-type eye morphogenesis; organ growth; cardiac muscle tissue development; regulation of cellular response to transforming growth factor beta stimulus; skeletal muscle organ development; skeletal muscle tissue development; peripheral nervous system development; visual system development; transmembrane receptor protein serine/threonine kinase signaling pathway; nose development; embryonic limb morphogenesis; embryonic appendage morphogenesis; regulation of cellular response to growth factor stimulus; eye development"
"HELB",-1.02131579322745,0.99997912551295,0.00208285459669044,"DNA helicase B",0,"No KEGG pathway",19,"DNA replication; double-strand break repair; regulation of DNA repair; DNA recombination; recombinational repair; DNA-templated DNA replication; double-strand break repair via homologous recombination; regulation of double-strand break repair; DNA conformation change; DNA geometric change; DNA duplex unwinding; regulation of double-strand break repair via homologous recombination; regulation of DNA recombination; negative regulation of DNA metabolic process; negative regulation of DNA repair; negative regulation of double-strand break repair via homologous recombination; negative regulation of double-strand break repair; negative regulation of DNA recombination; DNA double-strand break processing"
"BLK",-1.70357390865544,0.99997912551295,0.00129767517755112,"BLK proto-oncogene, Src family tyrosine kinase",1,"B cell receptor signaling pathway",39,"positive regulation of protein localization; immune response-regulating signaling pathway; immune response-activating signaling pathway; positive regulation of establishment of protein localization; regulation of binding; positive regulation of protein transport; immune response-regulating cell surface receptor signaling pathway; immune response-activating cell surface receptor signaling pathway; positive regulation of binding; antigen receptor-mediated signaling pathway; regulation of protein binding; positive regulation of protein binding; peptidyl-tyrosine modification; peptidyl-tyrosine phosphorylation; positive regulation of secretion by cell; protein secretion; establishment of protein localization to extracellular region; positive regulation of protein secretion; B cell receptor signaling pathway; protein localization to extracellular region; positive regulation of secretion; regulation of protein secretion; signal release; regulation of insulin secretion; regulation of peptide transport; peptide secretion; regulation of peptide secretion; regulation of peptide hormone secretion; amide transport; peptide hormone secretion; peptide transport; insulin secretion; positive regulation of insulin secretion; regulation of hormone secretion; hormone secretion; positive regulation of hormone secretion; hormone transport; positive regulation of peptide secretion; positive regulation of peptide hormone secretion"
"BLK",-1.70357390865544,0.99997912551295,0.00129767517755112,"BLK proto-oncogene, Src family tyrosine kinase",1,"B cell receptor signaling pathway",39,"positive regulation of protein localization; immune response-regulating signaling pathway; immune response-activating signaling pathway; positive regulation of establishment of protein localization; regulation of binding; positive regulation of protein transport; immune response-regulating cell surface receptor signaling pathway; immune response-activating cell surface receptor signaling pathway; positive regulation of binding; antigen receptor-mediated signaling pathway; regulation of protein binding; positive regulation of protein binding; peptidyl-tyrosine modification; peptidyl-tyrosine phosphorylation; positive regulation of secretion by cell; protein secretion; establishment of protein localization to extracellular region; positive regulation of protein secretion; B cell receptor signaling pathway; protein localization to extracellular region; positive regulation of secretion; regulation of protein secretion; signal release; regulation of insulin secretion; regulation of peptide transport; peptide secretion; regulation of peptide secretion; regulation of peptide hormone secretion; amide transport; peptide hormone secretion; peptide transport; insulin secretion; positive regulation of insulin secretion; regulation of hormone secretion; hormone secretion; positive regulation of hormone secretion; hormone transport; positive regulation of peptide secretion; positive regulation of peptide hormone secretion"
