"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"MT1A",-3.77259598084009,0.0173503990691544,2.52601186263925e-06,"metallothionein 1A",1,"Mineral absorption",8,"negative regulation of growth; response to metal ion; cellular response to inorganic substance; cellular response to metal ion; response to toxic substance; intracellular zinc ion homeostasis; response to cadmium ion; cellular response to cadmium ion"
"RPS10",3.00181207505381,0.0173503990691544,2.58478943302114e-06,"ribosomal protein S10",2,"Coronavirus disease - COVID-19; Ribosome",1,"cytoplasmic translation"
"COL6A3",-5.36682874197866,0.0258955788455471,9.80621037130212e-06,"collagen type VI alpha 3 chain",6,"Focal adhesion; Integrin signaling; Human papillomavirus infection; PI3K-Akt signaling pathway; Cytoskeleton in muscle cells; ECM-receptor interaction",2,"muscle organ development; response to carbohydrate"
"HSPA6",3.66890908610067,0.0258955788455471,1.27843623314653e-05,"heat shock protein family A (Hsp70) member 6",10,"Endocytosis; Protein processing in endoplasmic reticulum; MAPK signaling pathway; Prion disease; Lipid and atherosclerosis; Measles; Legionellosis; Toxoplasmosis; Longevity regulating pathway - multiple species; Estrogen signaling pathway",10,"response to topologically incorrect protein; response to unfolded protein; protein folding; 'de novo' protein folding; chaperone-mediated protein folding; 'de novo' post-translational protein folding; response to heat; cellular response to heat; chaperone cofactor-dependent protein refolding; response to temperature stimulus"
"RDH10",-3.77496869927032,0.0258955788455471,1.02692579237802e-05,"retinol dehydrogenase 10",0,"No KEGG pathway",64,"in utero embryonic development; respiratory tube development; respiratory system development; lung development; developmental growth involved in morphogenesis; kidney development; renal system development; epithelial tube morphogenesis; stem cell differentiation; morphogenesis of embryonic epithelium; mesenchymal cell differentiation; alcohol metabolic process; embryonic organ development; regulation of small molecule metabolic process; epithelial tube branching involved in lung morphogenesis; lung morphogenesis; vitamin metabolic process; morphogenesis of a branching epithelium; morphogenesis of a branching structure; mesenchyme development; regulation of hormone metabolic process; branching morphogenesis of an epithelial tube; axis elongation; organic acid biosynthetic process; stem cell development; cellular ketone metabolic process; carboxylic acid biosynthetic process; regulation of lipid metabolic process; neural crest cell differentiation; cellular aldehyde metabolic process; branch elongation of an epithelium; neural crest cell development; embryonic camera-type eye development; reproductive system development; positive regulation of lipid metabolic process; appendage development; limb development; primary alcohol metabolic process; positive regulation of hormone metabolic process; morphogenesis of an epithelial bud; reproductive structure development; positive regulation of small molecule metabolic process; appendage morphogenesis; limb morphogenesis; monocarboxylic acid biosynthetic process; skeletal system morphogenesis; ear development; embryonic cranial skeleton morphogenesis; regulation of vitamin metabolic process; isoprenoid metabolic process; visual system development; nose development; regulation of cellular ketone metabolic process; embryonic limb morphogenesis; embryonic appendage morphogenesis; animal organ formation; isoprenoid biosynthetic process; eye development; morphogenesis of an epithelial fold; positive regulation of lipid biosynthetic process; development of primary sexual characteristics; embryonic organ morphogenesis; gonad development; cranial skeletal system development"
"FKBP1C",-4.13120153732857,0.0258955788455471,1.35023502360394e-05,"FKBP prolyl isomerase family member 1C",0,"No KEGG pathway",16,"maintenance of location; maintenance of location in cell; intracellular calcium ion homeostasis; calcium ion homeostasis; sequestering of calcium ion; regulation of sequestering of calcium ion; negative regulation of sequestering of calcium ion; release of sequestered calcium ion into cytosol; regulation of release of sequestered calcium ion into cytosol; regulation of ryanodine-sensitive calcium-release channel activity; calcium ion transport; calcium ion transmembrane import into cytosol; regulation of calcium ion transport; regulation of metal ion transport; peptidyl-proline modification; calcium ion transmembrane transport"
"ZMYM4-AS1",-4.28198080725395,0.0258955788455471,1.12258649332942e-05,"ZMYM4 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
"PRICKLE4",6.27135757675701,0.0334882701057372,1.99557661710166e-05,"prickle planar cell polarity protein 4",1,"Wnt signaling pathway",0,"No GO term"
"EEF1G",3.601526878376,0.0459985179050679,3.42633280484677e-05,"eukaryotic translation elongation factor 1 gamma",1,"Legionellosis",2,"response to virus; translational elongation"
"CAVIN2-AS1",-3.7201509081141,0.0459985179050679,3.12112007245383e-05,"CAVIN2 and TMEFF2 antisense RNA 1",0,"No KEGG pathway",0,"No GO term"
