"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"GSTA1",2.54651791704464,0.847190510905987,0.00168579834576654,"glutathione S-transferase alpha 1",6,"Fluid shear stress and atherosclerosis; Hepatocellular carcinoma; Chemical carcinogenesis - reactive oxygen species; Platinum drug resistance; Glutathione metabolism; Drug metabolism - other enzymes",14,"sulfur compound metabolic process; sulfur compound biosynthetic process; fatty acid metabolic process; cellular detoxification; response to toxic substance; prostanoid metabolic process; cellular oxidant detoxification; prostaglandin metabolic process; cellular response to toxic substance; long-chain fatty acid metabolic process; glutathione metabolic process; cellular response to xenobiotic stimulus; response to xenobiotic stimulus; unsaturated fatty acid metabolic process"
"RSU1",0.894450067530732,0.847190510905987,0.00185323568371013,"Ras suppressor protein 1",0,"No KEGG pathway",6,"cell-substrate adhesion; positive regulation of cell adhesion; regulation of GTPase activity; regulation of cell-substrate adhesion; positive regulation of cell-substrate adhesion; positive regulation of GTPase activity"
"MT-CO3",-0.694434487290483,0.847190510905987,0.0160352141033899,"mitochondrially encoded cytochrome c oxidase III",0,"No KEGG pathway",0,"No GO term"
"MT-ND6",-1.25055567025819,0.847190510905987,0.00498550947604318,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6",0,"No KEGG pathway",0,"No GO term"
"SYT8",2.03595181541732,0.847190510905987,0.00314573433742088,"synaptotagmin 8",0,"No KEGG pathway",24,"exocytosis; synaptic vesicle cycle; vesicle-mediated transport in synapse; regulation of exocytosis; regulated exocytosis; synaptic vesicle recycling; presynaptic endocytosis; synaptic vesicle endocytosis; synaptic vesicle exocytosis; neurotransmitter secretion; signal release from synapse; response to metal ion; regulation of regulated secretory pathway; cellular response to inorganic substance; cellular response to metal ion; signal release; response to calcium ion; cellular response to salt; regulation of neurotransmitter levels; cellular response to calcium ion; response to salt; calcium ion-regulated exocytosis of neurotransmitter; calcium-ion regulated exocytosis; neurotransmitter transport"
"SYT8",2.03595181541732,0.847190510905987,0.00314573433742088,"synaptotagmin 8",0,"No KEGG pathway",24,"exocytosis; synaptic vesicle cycle; vesicle-mediated transport in synapse; regulation of exocytosis; regulated exocytosis; synaptic vesicle recycling; presynaptic endocytosis; synaptic vesicle endocytosis; synaptic vesicle exocytosis; neurotransmitter secretion; signal release from synapse; response to metal ion; regulation of regulated secretory pathway; cellular response to inorganic substance; cellular response to metal ion; signal release; response to calcium ion; cellular response to salt; regulation of neurotransmitter levels; cellular response to calcium ion; response to salt; calcium ion-regulated exocytosis of neurotransmitter; calcium-ion regulated exocytosis; neurotransmitter transport"
"RARRES2",1.73618896503377,0.847190510905987,0.00261265586829873,"retinoic acid receptor responder 2",0,"No KEGG pathway",38,"leukocyte migration; regulation of leukocyte migration; positive regulation of leukocyte migration; chemotaxis; positive regulation of chemotaxis; taxis; regulation of chemotaxis; leukocyte chemotaxis; regulation of mononuclear cell migration; myeloid leukocyte migration; mononuclear cell migration; regulation of leukocyte chemotaxis; cellular response to peptide; cell chemotaxis; response to peptide hormone; granulocyte migration; lipid catabolic process; granulocyte chemotaxis; response to insulin; cellular response to insulin stimulus; positive regulation of leukocyte chemotaxis; embryonic organ development; cellular response to peptide hormone stimulus; fat cell differentiation; insulin receptor signaling pathway; macrophage migration; regulation of granulocyte chemotaxis; regulation of macrophage migration; regulation of lipid metabolic process; positive regulation of macrophage migration; macrophage chemotaxis; positive regulation of fat cell differentiation; regulation of macrophage chemotaxis; positive regulation of macrophage chemotaxis; embryonic digestive tract development; regulation of lipid catabolic process; isoprenoid metabolic process; regulation of fat cell differentiation"
"CD74",-0.772145853889355,0.847190510905987,0.0200907604097069,"CD74 molecule",2,"Tuberculosis; Herpes simplex virus 1 infection",223,"viral process; positive regulation of cell adhesion; regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; positive regulation of transferase activity; positive regulation of canonical NF-kappaB signal transduction; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; signal transduction in response to DNA damage; T cell differentiation; signal transduction by p53 class mediator; positive regulation of cell activation; viral life cycle; regulation of cell-cell adhesion; mononuclear cell differentiation; regulation of T cell activation; leukocyte migration; lymphocyte differentiation; intrinsic apoptotic signaling pathway; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; regulation of leukocyte migration; regulation of apoptotic signaling pathway; regulation of signal transduction by p53 class mediator; positive regulation of kinase activity; regulation of immune effector process; positive regulation of leukocyte cell-cell adhesion; homeostasis of number of cells; regulation of leukocyte cell-cell adhesion; positive regulation of leukocyte migration; regulation of B cell activation; myeloid leukocyte activation; positive regulation of T cell activation; fibroblast proliferation; positive regulation of cytokine production; DNA damage response, signal transduction by p53 class mediator; positive regulation of viral process; intrinsic apoptotic signaling pathway in response to DNA damage; regulation of lymphocyte differentiation; leukocyte apoptotic process; regulation of leukocyte differentiation; chemotaxis; B cell activation; positive regulation of cell development; positive regulation of chemotaxis; cell activation involved in immune response; positive regulation of cytokine production involved in immune response; taxis; regulation of T cell differentiation; leukocyte activation involved in immune response; regulation of chemotaxis; positive regulation of production of molecular mediator of immune response; positive regulation of lymphocyte differentiation; positive regulation of immune effector process; leukocyte chemotaxis; regulation of leukocyte proliferation; regulation of hemopoiesis; regulation of production of molecular mediator of immune response; positive regulation of leukocyte differentiation; positive regulation of hemopoiesis; regulation of intrinsic apoptotic signaling pathway; regulation of fibroblast proliferation; peptidyl-tyrosine modification; myeloid cell differentiation; regulation of lymphocyte proliferation; peptidyl-tyrosine phosphorylation; regulation of mononuclear cell proliferation; myeloid leukocyte migration; regulation of leukocyte apoptotic process; biological process involved in symbiotic interaction; leukocyte homeostasis; positive regulation of B cell activation; intrinsic apoptotic signaling pathway by p53 class mediator; movement in host; protein complex oligomerization; regulation of DNA damage response, signal transduction by p53 class mediator; regulation of intrinsic apoptotic signaling pathway in response to DNA damage; lymphocyte apoptotic process; cytokine production involved in immune response; positive regulation of T cell differentiation; regulation of viral process; regulation of leukocyte chemotaxis; regulation of cytokine production involved in immune response; biological process involved in interaction with host; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; neutrophil migration; negative regulation of cell activation; cell chemotaxis; fatty acid metabolic process; regulation of viral life cycle; entry into host; leukocyte proliferation; myeloid leukocyte differentiation; negative regulation of cell adhesion; negative regulation of apoptotic signaling pathway; granulocyte migration; granulocyte chemotaxis; mononuclear cell proliferation; neutrophil chemotaxis; negative regulation of leukocyte activation; positive regulation of mononuclear cell proliferation; lymphocyte proliferation; regulation of lymphocyte apoptotic process; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage; positive regulation of leukocyte proliferation; regulation of neutrophil migration; viral entry into host cell; negative regulation of leukocyte apoptotic process; regulation of peptidyl-tyrosine phosphorylation; positive regulation of lymphocyte proliferation; positive regulation of MAPK cascade; T cell differentiation in thymus; response to type II interferon; positive regulation of leukocyte chemotaxis; lymphocyte activation involved in immune response; negative regulation of lymphocyte activation; B cell homeostasis; negative regulation of signal transduction by p53 class mediator; positive regulation of neutrophil migration; lymphocyte homeostasis; T cell selection; positive regulation of fibroblast proliferation; negative regulation of cell-cell adhesion; negative regulation of lymphocyte apoptotic process; protein folding; negative regulation of intrinsic apoptotic signaling pathway; negative regulation of T cell activation; myeloid leukocyte cytokine production; regulation of small molecule metabolic process; positive regulation of interleukin-6 production; regulation of B cell proliferation; positive regulation of myeloid leukocyte cytokine production involved in immune response; regulation of neutrophil chemotaxis; positive T cell selection; positive regulation of neutrophil chemotaxis; macrophage cytokine production; regulation of macrophage cytokine production; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; regulation of granulocyte chemotaxis; positive regulation of macrophage cytokine production; positive regulation of viral life cycle; regulation of peptide transport; macrophage activation; peptide secretion; positive regulation of chemokine production; positive regulation of response to cytokine stimulus; 'de novo' protein folding; regulation of peptide secretion; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator; monocyte differentiation; regulation of intrinsic apoptotic signaling pathway by p53 class mediator; leukocyte mediated immunity; chaperone-mediated protein folding; negative regulation of DNA damage response, signal transduction by p53 class mediator; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; positive regulation of cytokine-mediated signaling pathway; amide transport; organic acid biosynthetic process; peptide transport; negative regulation of cell development; positive regulation of peptidyl-tyrosine phosphorylation; B cell apoptotic process; cellular ketone metabolic process; carboxylic acid biosynthetic process; regulation of lipid metabolic process; regulation of response to cytokine stimulus; negative regulation of leukocyte cell-cell adhesion; 'de novo' post-translational protein folding; type 2 immune response; regulation of cytokine-mediated signaling pathway; ERK1 and ERK2 cascade; positive regulation of B cell proliferation; positive regulation of type 2 immune response; regulation of dendritic cell antigen processing and presentation; negative regulation of leukocyte differentiation; thymic T cell selection; positive regulation of granulocyte chemotaxis; protein trimerization; chemokine production; chaperone cofactor-dependent protein refolding; prostanoid metabolic process; regulation of chemokine production; regulation of ERK1 and ERK2 cascade; positive regulation of myeloid cell differentiation; positive regulation of lipid metabolic process; regulation of myeloid leukocyte differentiation; prostaglandin metabolic process; regulation of B cell apoptotic process; regulation of myeloid cell differentiation; negative regulation of hemopoiesis; positive regulation of small molecule metabolic process; regulation of type 2 immune response; unsaturated fatty acid biosynthetic process; antigen processing and presentation; monocarboxylic acid biosynthetic process; positive thymic T cell selection; positive regulation of viral entry into host cell; positive regulation by symbiont of entry into host; negative regulation of peptide secretion; negative T cell selection; positive regulation of interleukin-8 production; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; unsaturated fatty acid metabolic process; negative thymic T cell selection; negative regulation of T cell differentiation; negative regulation of B cell apoptotic process; regulation of cellular ketone metabolic process; positive regulation of chemokine (C-X-C motif) ligand 2 production; T cell activation involved in immune response; regulation of antigen processing and presentation; regulation of monocyte differentiation; chemokine (C-X-C motif) ligand 2 production; regulation of chemokine (C-X-C motif) ligand 2 production; lymphocyte mediated immunity; regulation of macrophage activation; positive regulation of lipid biosynthetic process; prostaglandin biosynthetic process; prostanoid biosynthetic process; fatty acid biosynthetic process; positive regulation of monocyte differentiation; modulation by symbiont of entry into host; positive regulation of myeloid leukocyte differentiation; negative regulation of lymphocyte differentiation"
"PGAM1",0.645996322655355,0.847190510905987,0.0103863965561703,"phosphoglycerate mutase 1",6,"Carbon metabolism; Central carbon metabolism in cancer; Biosynthesis of amino acids; Glucagon signaling pathway; Glycine, serine and threonine metabolism; Glycolysis / Gluconeogenesis",31,"purine nucleotide metabolic process; purine-containing compound metabolic process; small molecule catabolic process; monosaccharide metabolic process; hexose metabolic process; regulation of carbohydrate metabolic process; regulation of generation of precursor metabolites and energy; carbohydrate biosynthetic process; glucose metabolic process; regulation of small molecule metabolic process; pyridine-containing compound metabolic process; pyridine nucleotide metabolic process; nicotinamide nucleotide metabolic process; carbohydrate catabolic process; NADP metabolic process; pyruvate metabolic process; monosaccharide biosynthetic process; respiratory burst; regulation of carbohydrate catabolic process; NADPH regeneration; glycolytic process; hexose biosynthetic process; regulation of glycolytic process; monosaccharide catabolic process; gluconeogenesis; pentose-phosphate shunt; regulation of nucleotide metabolic process; hexose catabolic process; regulation of purine nucleotide metabolic process; glucose 6-phosphate metabolic process; glycolytic process through glucose-6-phosphate"
"ATXN7L3B",0.94554384498588,0.847190510905987,0.00614526571679234,"ataxin 7 like 3B",0,"No KEGG pathway",0,"No GO term"
