"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"ST6GALNAC6",2.44771197828271,0.999962607758184,0.000289851302896892,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",1,"Glycosphingolipid biosynthesis - ganglio series",11,"glycoprotein metabolic process; membrane lipid metabolic process; membrane lipid biosynthetic process; sphingolipid metabolic process; carbohydrate biosynthetic process; sphingolipid biosynthetic process; liposaccharide metabolic process; glycolipid metabolic process; ceramide metabolic process; glycolipid biosynthetic process; ceramide biosynthetic process"
"MYO10",-2.21180199567718,0.999962607758184,0.000666436225262455,"myosin X",3,"Fc gamma R-mediated phagocytosis; Pathogenic Escherichia coli infection; Motor proteins",10,"positive regulation of cell adhesion; regulation of cell morphogenesis; cytoskeleton-dependent intracellular transport; regulation of cell shape; regulation of cell-cell adhesion; regulation of cell projection assembly; regulation of plasma membrane bounded cell projection assembly; positive regulation of cell-cell adhesion; filopodium assembly; regulation of filopodium assembly"
"FRY",-1.43232184797436,0.999962607758184,0.00190421375598754,"FRY microtubule binding protein",0,"No KEGG pathway",7,"negative regulation of protein modification process; protein deacylation; protein deacetylation; macromolecule deacylation; regulation of protein deacetylation; tubulin deacetylation; regulation of tubulin deacetylation"
"ZNF234",1.80631776677194,0.999962607758184,0.00184145295798209,"zinc finger protein 234",0,"No KEGG pathway",0,"No GO term"
"USP54",-2.05226867201017,0.999962607758184,0.00229211444681597,"ubiquitin specific peptidase 54",0,"No KEGG pathway",0,"No GO term"
"MALL.1",-2.29059245137883,0.999962607758184,0.00231039532641623,NA,0,"No KEGG pathway",0,"No GO term"
"TAB1",1.49934283338654,0.999962607758184,0.00383343102342368,"TGF-beta activated kinase 1 (MAP3K7) binding protein 1",18,"Salmonella infection; Yersinia infection; TNF signaling pathway; NF-kappa B signaling pathway; MAPK signaling pathway; Shigellosis; Pathogenic Escherichia coli infection; Hepatitis B; Human immunodeficiency virus 1 infection; Lipid and atherosclerosis; Epstein-Barr virus infection; Osteoclast differentiation; NOD-like receptor signaling pathway; Toxoplasmosis; Alcoholic liver disease; Herpes simplex virus 1 infection; Toll-like receptor signaling pathway; Leishmaniasis",20,"in utero embryonic development; positive regulation of transferase activity; respiratory tube development; respiratory system development; lung development; regulation of protein serine/threonine kinase activity; positive regulation of kinase activity; positive regulation of protein kinase activity; positive regulation of protein serine/threonine kinase activity; positive regulation of MAPK cascade; heart morphogenesis; response to transforming growth factor beta; cellular response to transforming growth factor beta stimulus; aorta development; cardiac septum development; coronary vasculature development; cardiac chamber development; artery development; transforming growth factor beta receptor signaling pathway; transmembrane receptor protein serine/threonine kinase signaling pathway"
"FIGNL1",1.8687800638862,0.999962607758184,0.00312347509948404,"fidgetin like 1",0,"No KEGG pathway",37,"double-strand break repair; regulation of DNA repair; DNA recombination; organelle fission; recombinational repair; double-strand break repair via homologous recombination; ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; nuclear division; purine-containing compound metabolic process; purine ribonucleotide metabolic process; response to ionizing radiation; regulation of double-strand break repair; intrinsic apoptotic signaling pathway; regulation of apoptotic signaling pathway; cellular response to abiotic stimulus; cellular response to environmental stimulus; response to radiation; regulation of double-strand break repair via homologous recombination; regulation of DNA recombination; cellular response to ionizing radiation; regulation of intrinsic apoptotic signaling pathway; cellular response to radiation; nucleoside triphosphate metabolic process; negative regulation of apoptotic signaling pathway; ribonucleoside triphosphate metabolic process; purine nucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; ossification; meiotic cell cycle; negative regulation of intrinsic apoptotic signaling pathway; meiotic cell cycle process; ATP metabolic process; meiotic nuclear division; osteoblast differentiation; osteoblast proliferation"
"NPIPB11",-1.42016077787861,0.999962607758184,0.00386992453964453,"nuclear pore complex interacting protein family member B11",0,"No KEGG pathway",0,"No GO term"
"NPIPB11",-1.42016077787861,0.999962607758184,0.00386992453964453,"nuclear pore complex interacting protein family member B11",0,"No KEGG pathway",0,"No GO term"
"NPIPB11",-1.42016077787861,0.999962607758184,0.00386992453964453,"nuclear pore complex interacting protein family member B11",0,"No KEGG pathway",0,"No GO term"
"NTM",-3.24158070926895,0.999962607758184,0.00242661451706354,"neurotrimin",0,"No KEGG pathway",1,"neuron recognition"
"MED21",-1.37357774252258,0.999962607758184,0.00570405139859603,"mediator complex subunit 21",0,"No KEGG pathway",17,"in utero embryonic development; DNA-templated transcription elongation; transcription elongation by RNA polymerase II; regulation of DNA-templated transcription elongation; regulation of transcription elongation by RNA polymerase II; stem cell population maintenance; maintenance of cell number; blastocyst development; positive regulation of DNA-templated transcription, elongation; positive regulation of transcription elongation by RNA polymerase II; regulation of DNA-templated transcription initiation; regulation of transcription initiation by RNA polymerase II; positive regulation of DNA-templated transcription initiation; positive regulation of transcription initiation by RNA polymerase II; DNA-templated transcription initiation; somatic stem cell population maintenance; transcription initiation at RNA polymerase II promoter"
