"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"ZNF593",1.84870925821629,0.606267338203841,0.000107328604221461,"zinc finger protein 593",0,"No KEGG pathway",6,"ribosome biogenesis; regulation of binding; regulation of DNA binding; negative regulation of binding; negative regulation of DNA binding; regulation of transcription regulatory region DNA binding"
"SHMT2",1.84470698593621,0.606267338203841,9.90041155582585e-05,"serine hydroxymethyltransferase 2",8,"Biosynthesis of cofactors; Antifolate resistance; Carbon metabolism; One carbon pool by folate; Biosynthesis of amino acids; Glyoxylate and dicarboxylate metabolism; Folate transport and metabolism; Glycine, serine and threonine metabolism",45,"mitochondrial gene expression; mitochondrial translation; purine-containing compound metabolic process; small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; purine-containing compound biosynthetic process; cellular respiration; energy derivation by oxidation of organic compounds; amino acid metabolic process; water-soluble vitamin metabolic process; cellular modified amino acid metabolic process; protein complex oligomerization; aerobic respiration; regulation of mitochondrial gene expression; regulation of generation of precursor metabolites and energy; regulation of mitochondrial translation; protein tetramerization; protein homooligomerization; oxidative phosphorylation; alpha-amino acid metabolic process; nucleobase metabolic process; vitamin metabolic process; pteridine-containing compound metabolic process; nucleobase biosynthetic process; regulation of cellular respiration; protein homotetramerization; protein K63-linked deubiquitination; amino acid catabolic process; dicarboxylic acid metabolic process; organic acid biosynthetic process; carboxylic acid biosynthetic process; amino acid biosynthetic process; folic acid-containing compound metabolic process; protein modification by small protein removal; alpha-amino acid biosynthetic process; alpha-amino acid catabolic process; regulation of aerobic respiration; purine nucleobase biosynthetic process; tetrahydrofolate metabolic process; one-carbon metabolic process; folic acid metabolic process; purine nucleobase metabolic process; protein deubiquitination; regulation of oxidative phosphorylation"
"ALG3",1.79654466842268,0.606267338203841,0.000145819130490782,"ALG3 alpha-1,3- mannosyltransferase",2,"N-Glycan biosynthesis; Various types of N-glycan biosynthesis",12,"glycosylation; protein glycosylation; macromolecule glycosylation; glycoprotein metabolic process; glycoprotein biosynthetic process; protein N-linked glycosylation; alcohol metabolic process; polyprenol metabolic process; dolichol metabolic process; oligosaccharide-lipid intermediate biosynthetic process; dolichol-linked oligosaccharide biosynthetic process; isoprenoid metabolic process"
"RGN",1.80643172930173,0.974819625718255,0.000463982270579208,"regucalcin",3,"Biosynthesis of cofactors; Carbon metabolism; Pentose phosphate pathway",82,"positive regulation of proteolysis; negative regulation of protein modification process; regulation of proteolysis involved in protein catabolic process; microtubule-based movement; DNA biosynthetic process; regulation of microtubule-based process; glycerolipid biosynthetic process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; negative regulation of phosphorylation; regulation of DNA biosynthetic process; negative regulation of protein phosphorylation; kidney development; negative regulation of catabolic process; renal system development; glycerolipid metabolic process; positive regulation of proteolysis involved in protein catabolic process; monosaccharide metabolic process; water-soluble vitamin metabolic process; hexose metabolic process; fatty acid metabolic process; bone development; hepaticobiliary system development; negative regulation of cellular catabolic process; gland development; liver development; negative regulation of DNA metabolic process; regulation of carbohydrate metabolic process; calcium-mediated signaling; carbohydrate biosynthetic process; glucose metabolic process; reactive nitrogen species metabolic process; nitric oxide metabolic process; regulation of small molecule metabolic process; nucleobase-containing compound catabolic process; intracellular calcium ion homeostasis; vitamin metabolic process; positive regulation of ATP-dependent activity; regulation of glucose metabolic process; nitric oxide biosynthetic process; regulation of calcium-mediated signaling; second-messenger-mediated signaling; calcium ion homeostasis; organic acid biosynthetic process; regulation of ATP-dependent activity; cellular ketone metabolic process; carboxylic acid biosynthetic process; regulation of lipid metabolic process; epithelial cell proliferation; negative regulation of DNA biosynthetic process; monosaccharide biosynthetic process; vitamin biosynthetic process; regulation of nitric oxide metabolic process; water-soluble vitamin biosynthetic process; cilium movement; liver regeneration; positive regulation of carbohydrate metabolic process; regulation of nitric oxide biosynthetic process; regeneration; DNA catabolic process; L-ascorbic acid metabolic process; lactone metabolic process; regulation of microtubule-based movement; animal organ regeneration; positive regulation of lipid metabolic process; positive regulation of small molecule metabolic process; regulation of epithelial cell proliferation; triglyceride biosynthetic process; monocarboxylic acid biosynthetic process; positive regulation of triglyceride biosynthetic process; neutral lipid biosynthetic process; acylglycerol biosynthetic process; regulation of cellular ketone metabolic process; neutral lipid metabolic process; acylglycerol metabolic process; positive regulation of lipid biosynthetic process; positive regulation of glucose metabolic process; regulation of reproductive process; fatty acid biosynthetic process; regulation of cilium movement; cilium or flagellum-dependent cell motility; cilium-dependent cell motility"
"PHLDA2",1.79025521001767,0.974819625718255,0.000480078515337741,"pleckstrin homology like domain family A member 2",0,"No KEGG pathway",13,"in utero embryonic development; energy derivation by oxidation of organic compounds; embryonic placenta development; placenta development; regulation of embryonic development; regulation of carbohydrate metabolic process; embryonic organ development; regulation of generation of precursor metabolites and energy; polysaccharide metabolic process; glucan metabolic process; glycogen metabolic process; energy reserve metabolic process; regulation of polysaccharide metabolic process"
"PHLDA2",1.79025521001767,0.974819625718255,0.000480078515337741,"pleckstrin homology like domain family A member 2",0,"No KEGG pathway",13,"in utero embryonic development; energy derivation by oxidation of organic compounds; embryonic placenta development; placenta development; regulation of embryonic development; regulation of carbohydrate metabolic process; embryonic organ development; regulation of generation of precursor metabolites and energy; polysaccharide metabolic process; glucan metabolic process; glycogen metabolic process; energy reserve metabolic process; regulation of polysaccharide metabolic process"
"ATG101",1.59263092030151,0.974819625718255,0.000487355079952392,"autophagy related 101",8,"Pathways of neurodegeneration - multiple diseases; Amyotrophic lateral sclerosis; Autophagy - animal; Huntington disease; Alzheimer disease; Spinocerebellar ataxia; Longevity regulating pathway; Autophagy - other",10,"macroautophagy; regulation of autophagy; vacuole organization; positive regulation of autophagy; autophagosome organization; autophagosome assembly; protein lipidation; lipoprotein biosynthetic process; lipoprotein metabolic process; positive regulation of cellular catabolic process"
"IFT57",1.55980814011466,0.974819625718255,0.000785620748377293,"intraflagellar transport 57",2,"Pathways of neurodegeneration - multiple diseases; Huntington disease",47,"cilium organization; cilium assembly; microtubule-based transport; cytoskeleton-dependent intracellular transport; positive regulation of proteolysis; transport along microtubule; microtubule-based movement; protein-containing complex localization; epithelial tube morphogenesis; neural tube development; tube closure; neural tube closure; neural tube formation; primary neural tube formation; regulation of cysteine-type endopeptidase activity involved in apoptotic process; epithelial tube formation; tube formation; positive regulation of peptidase activity; regulation of cysteine-type endopeptidase activity; non-motile cilium assembly; intraciliary transport; embryonic epithelial tube formation; positive regulation of cysteine-type endopeptidase activity; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process; morphogenesis of embryonic epithelium; smoothened signaling pathway; positive regulation of endopeptidase activity; activation of cysteine-type endopeptidase activity involved in apoptotic process; heart morphogenesis; embryonic organ development; regulation of peptidase activity; regulation of endopeptidase activity; motile cilium assembly; epithelial cell proliferation; left/right pattern formation; intraciliary anterograde transport; negative regulation of keratinocyte proliferation; specification of symmetry; determination of bilateral symmetry; determination of left/right symmetry; embryonic heart tube development; embryonic heart tube morphogenesis; regulation of epithelial cell proliferation; regulation of keratinocyte proliferation; heart looping; keratinocyte proliferation; embryonic organ morphogenesis"
"CCT3",1.63530491363813,0.974819625718255,0.00111387994364049,"chaperonin containing TCP1 subunit 3",0,"No KEGG pathway",48,"establishment of protein localization to organelle; positive regulation of protein localization; regulation of chromosome organization; positive regulation of DNA metabolic process; protein localization to nucleus; telomere maintenance; positive regulation of establishment of protein localization; regulation of telomere maintenance; regulation of protein stability; DNA biosynthetic process; positive regulation of chromosome organization; regulation of protein localization to nucleus; RNA localization; regulation of DNA biosynthetic process; positive regulation of telomere maintenance; positive regulation of DNA biosynthetic process; regulation of telomere maintenance via telomerase; regulation of telomere maintenance via telomere lengthening; telomere maintenance via telomerase; protein stabilization; telomere maintenance via telomere lengthening; positive regulation of protein localization to nucleus; positive regulation of telomere maintenance via telomerase; telomere organization; positive regulation of telomere maintenance via telomere lengthening; RNA-templated DNA biosynthetic process; protein folding; protein localization to chromosome, telomeric region; RNA localization to Cajal body; telomerase RNA localization to Cajal body; telomerase RNA localization; RNA localization to nucleus; regulation of telomerase RNA localization to Cajal body; protein localization to chromosome; chaperone-mediated protein folding; positive regulation of telomerase RNA localization to Cajal body; establishment of protein localization to chromosome; regulation of protein localization to chromosome, telomeric region; protein localization to nucleoplasm; regulation of establishment of protein localization to chromosome; protein localization to nuclear body; positive regulation of protein localization to chromosome, telomeric region; protein localization to Cajal body; establishment of protein localization to telomere; regulation of establishment of protein localization to telomere; regulation of protein localization to Cajal body; positive regulation of protein localization to Cajal body; positive regulation of establishment of protein localization to telomere"
"HTRA2",1.48444929701534,0.974819625718255,0.00082444041488271,"HtrA serine peptidase 2",4,"Pathways of neurodegeneration - multiple diseases; Apoptosis; Parkinson disease; Apoptosis - multiple species",79,"macroautophagy; establishment of protein localization to organelle; positive regulation of protein localization; cellular component disassembly; regulation of autophagy; regulation of intracellular transport; positive regulation of proteolysis; protein targeting; positive regulation of establishment of protein localization; positive regulation of intracellular transport; regulation of intracellular protein transport; positive regulation of protein transport; organelle disassembly; response to oxidative stress; cellular response to chemical stress; selective autophagy; extrinsic apoptotic signaling pathway; negative regulation of cell cycle; intrinsic apoptotic signaling pathway; regulation of apoptotic signaling pathway; positive regulation of intracellular protein transport; protein localization to mitochondrion; establishment of protein localization to mitochondrion; cellular response to oxidative stress; regulation of mitochondrion organization; intrinsic apoptotic signaling pathway in response to DNA damage; mitochondrial transport; autophagy of mitochondrion; mitochondrion disassembly; protein targeting to mitochondrion; regulation of cysteine-type endopeptidase activity involved in apoptotic process; positive regulation of apoptotic signaling pathway; regulation of intrinsic apoptotic signaling pathway; regulation of extrinsic apoptotic signaling pathway; membrane lipid metabolic process; positive regulation of peptidase activity; protein processing; regulation of cysteine-type endopeptidase activity; positive regulation of cysteine-type endopeptidase activity; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process; neuron apoptotic process; negative regulation of apoptotic signaling pathway; positive regulation of endopeptidase activity; positive regulation of mitochondrion organization; regulation of protein targeting; sphingolipid metabolic process; regulation of peptidase activity; multicellular organism growth; regulation of developmental growth; positive regulation of extrinsic apoptotic signaling pathway; mitophagy; regulation of neuron apoptotic process; regulation of establishment of protein localization to mitochondrion; negative regulation of intrinsic apoptotic signaling pathway; positive regulation of establishment of protein localization to mitochondrion; positive regulation of protein targeting to mitochondrion; regulation of autophagy of mitochondrion; regulation of protein targeting to mitochondrion; regulation of endopeptidase activity; intrinsic apoptotic signaling pathway in response to oxidative stress; ceramide metabolic process; negative regulation of neuron apoptotic process; regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway; response to heat; response to toxic substance; forebrain development; cellular response to heat; response to temperature stimulus; response to interferon-beta; response to retinoic acid; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway; adult locomotory behavior; locomotory behavior; response to mitochondrial depolarisation; isoprenoid metabolic process; signal transduction in absence of ligand; extrinsic apoptotic signaling pathway in absence of ligand; regulation of autophagy of mitochondrion in response to mitochondrial depolarization; protein autoprocessing"
