"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"ALDH5A1",2.87304731898555,0.101333065217474,8.82916123150725e-06,"aldehyde dehydrogenase 5 family member A1",2,"Alanine, aspartate and glutamate metabolism; Butanoate metabolism",10,"small molecule catabolic process; organic acid catabolic process; carboxylic acid catabolic process; amino acid metabolic process; post-embryonic development; alpha-amino acid metabolic process; amino acid catabolic process; dicarboxylic acid metabolic process; glutamine family amino acid metabolic process; neurotransmitter catabolic process"
"TRAPPC4",2.455480569554,0.101333065217474,1.29714625214381e-05,"trafficking protein particle complex subunit 4",0,"No KEGG pathway",15,"establishment of organelle localization; vesicle organization; Golgi vesicle transport; vesicle localization; establishment of vesicle localization; vesicle targeting; dendrite development; endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle budding from membrane; vesicle tethering; vesicle coating; COPII-coated vesicle budding; vesicle targeting, to, from or within Golgi; vesicle targeting, rough ER to cis-Golgi; COPII vesicle coating"
"TRAPPC4",2.455480569554,0.101333065217474,1.29714625214381e-05,"trafficking protein particle complex subunit 4",0,"No KEGG pathway",15,"establishment of organelle localization; vesicle organization; Golgi vesicle transport; vesicle localization; establishment of vesicle localization; vesicle targeting; dendrite development; endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle budding from membrane; vesicle tethering; vesicle coating; COPII-coated vesicle budding; vesicle targeting, to, from or within Golgi; vesicle targeting, rough ER to cis-Golgi; COPII vesicle coating"
"ERAL1",2.61875938059009,0.140020188106088,2.68855967945638e-05,"Era like 12S mitochondrial rRNA chaperone 1",0,"No KEGG pathway",7,"ribosome biogenesis; non-membrane-bounded organelle assembly; ribosomal small subunit biogenesis; protein-RNA complex organization; ribosome assembly; protein-RNA complex assembly; ribosomal small subunit assembly"
"NAA10",2.50896034163299,0.17249030240304,6.74782988906769e-05,"N-alpha-acetyltransferase 10, NatA catalytic subunit",0,"No KEGG pathway",16,"regulation of chromosome organization; negative regulation of organelle organization; negative regulation of cell cycle; negative regulation of chromosome organization; negative regulation of cell cycle process; protein acylation; protein acetylation; internal protein amino acid acetylation; sister chromatid cohesion; mitotic sister chromatid cohesion; regulation of sister chromatid cohesion; maintenance of sister chromatid cohesion; maintenance of mitotic sister chromatid cohesion; centromeric sister chromatid cohesion; N-terminal protein amino acid modification; N-terminal protein amino acid acetylation"
"SLF1",2.34184108935742,0.17249030240304,7.49387727858568e-05,"SMC5-SMC6 complex localization factor 1",0,"No KEGG pathway",27,"regulation of chromosome organization; positive regulation of DNA metabolic process; double-strand break repair; regulation of protein-containing complex assembly; regulation of DNA repair; DNA recombination; recombinational repair; double-strand break repair via homologous recombination; telomere maintenance; positive regulation of protein-containing complex assembly; peptidyl-lysine modification; regulation of telomere maintenance; positive regulation of DNA repair; positive regulation of chromosome organization; regulation of double-strand break repair; positive regulation of double-strand break repair; positive regulation of cell cycle; telomere organization; protein sumoylation; sister chromatid cohesion; positive regulation of cell cycle process; mitotic sister chromatid cohesion; regulation of sister chromatid cohesion; protein localization to chromosome; maintenance of sister chromatid cohesion; maintenance of mitotic sister chromatid cohesion; chromatin looping"
"TRAPPC5",2.94727248558789,0.17249030240304,8.16097582636271e-05,"trafficking protein particle complex subunit 5",0,"No KEGG pathway",14,"establishment of organelle localization; vesicle organization; Golgi vesicle transport; vesicle localization; establishment of vesicle localization; vesicle targeting; endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle budding from membrane; vesicle tethering; vesicle coating; COPII-coated vesicle budding; vesicle targeting, to, from or within Golgi; vesicle targeting, rough ER to cis-Golgi; COPII vesicle coating"
"POLR3D",2.31035882390837,0.17249030240304,8.83206873543472e-05,"RNA polymerase III subunit D",2,"RNA polymerase; Cytosolic DNA-sensing pathway",19,"tRNA metabolic process; regulation of innate immune response; positive regulation of innate immune response; positive regulation of defense response; response to virus; positive regulation of response to biotic stimulus; ncRNA transcription; regulation of type I interferon production; type I interferon production; positive regulation of cytokine production; transcription by RNA polymerase III; defense response to virus; defense response to symbiont; interferon-beta production; regulation of interferon-beta production; positive regulation of type I interferon production; positive regulation of interferon-beta production; tRNA transcription; tRNA transcription by RNA polymerase III"
"TRABD2A",2.5282417344958,0.17249030240304,8.62522222682481e-05,"TraB domain containing 2A",0,"No KEGG pathway",7,"regulation of protein-containing complex assembly; positive regulation of protein-containing complex assembly; cell-cell signaling by wnt; Wnt signaling pathway; regulation of Wnt signaling pathway; negative regulation of Wnt signaling pathway; protein oxidation"
"TRABD2A",2.5282417344958,0.17249030240304,8.62522222682481e-05,"TraB domain containing 2A",0,"No KEGG pathway",7,"regulation of protein-containing complex assembly; positive regulation of protein-containing complex assembly; cell-cell signaling by wnt; Wnt signaling pathway; regulation of Wnt signaling pathway; negative regulation of Wnt signaling pathway; protein oxidation"
"COMMD7",2.27652639171503,0.180432623093507,0.000103935842795799,"COMM domain containing 7",0,"No KEGG pathway",6,"regulation of DNA-binding transcription factor activity; response to tumor necrosis factor; cellular response to tumor necrosis factor; negative regulation of NF-kappaB transcription factor activity; tumor necrosis factor-mediated signaling pathway; negative regulation of DNA-binding transcription factor activity"
"TMEM183A",2.41316216807145,0.202451517306836,0.000159935601021434,"transmembrane protein 183A",0,"No KEGG pathway",1,"regulation of protein stability"
"PPBP",3.50601864313184,0.202451517306836,0.000144648682172893,"pro-platelet basic protein",2,"Chemokine signaling pathway; Viral protein interaction with cytokine and cytokine receptor",24,"leukocyte migration; chemotaxis; taxis; leukocyte chemotaxis; myeloid leukocyte migration; response to lipopolysaccharide; neutrophil migration; cell chemotaxis; response to molecule of bacterial origin; granulocyte migration; granulocyte chemotaxis; neutrophil chemotaxis; regulation of cell division; cellular response to biotic stimulus; response to chemokine; cellular response to chemokine; cellular response to lipopolysaccharide; cellular response to molecule of bacterial origin; chemokine-mediated signaling pathway; carbohydrate transport; monosaccharide transmembrane transport; positive regulation of cell division; carbohydrate transmembrane transport; hexose transmembrane transport"
